Key Words,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voiceover,Next Trigger Question (Baby Voice),"Next Trigger Question (Baby Voice), Voiceover",Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil – Casual & Friendly) Voiceover,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question-Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question-Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathii – Baby Tone),Gujarathi-english,Allobababy_response- Voice(GUJARATHI),Next Trigger Question-Gujarathi,Next Trigger Question-Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
upload_reports,How do I upload my medical reports?,"mommy, you can go to My Health section in the app, open Reports, and upload by scanning or selecting an image",upload_reports_trigger_en.mp3,"mommy, would you like me to guide you step by step?",upload_reports_trigger_en.mp3,எப்படி நான் medical reports upload பண்ணணும்?,"அம்மா, appல My Health sectionக்கு போய் Reports open பண்ணி, scan பண்ணியும் இல்ல image select பண்ணியும் report upload பண்ணலாம்.அம்மா",upload_reports_ta.mp3,"அம்மா, நான் step by step guide பண்ணட்டுமா?",upload_reports_trig_ta.mp3,मैं अपने medical reports कैसे upload करूँ?,"मम्मा, app के My Health section में जाकर Reports खोलो… फिर image select करके या scan करके आसानी से upload कर सकती हो 📄",upload_reports_hi.mp3,"मम्मी, क्या मैं आपको स्टेप बाय स्टेप गाइड करूँ?",upload_reports_trig_hi.mp3,मी माझे medical reports कसे upload करू?,"आई, app मधल्या My Health section मध्ये जाऊन Reports उघडा… मग image select करून किंवा scan करून सहज upload करू शकता 📄",upload_reports_ma.mp3,"आई, मी तुला step by step guide करू का?",upload_reports_trig_ma.mp3,હું medical reports કેવી રીતે upload કરું?,"મા, app ના My Health section માં જઈને Reports ખોલો… પછી image select કરીને અથવા scan કરીને સરળતાથી upload કરી શકો છો 📄","Ma, app na My Health section ma jai ne Reports kholo… pachi image select kari ne athva scan kari ne saralta thi upload kari shako chho 📄",upload_reports_gu.mp3,"મમ્મી, શું હું તમને step by step guide કરું?","Mommy, shu hu tamne step by step guide karu?",upload_reports_trig_gu.mp3
daily_health_track,Can I track my health daily?,"Yes, you can go to My Health section and update your health information regularly to monitor it in real time mommy",daily_health_track_trigger_en.mp3,Would you like help logging your daily health updates?,daily_health_track_trigger_en.mp3,இந்த appல நான் டெய்லி health track பண்ணலாமா?,"My Health sectionக்கு போய் உங்க health information regularஆ update பண்ணினா, real-timeல health monitor பண்ணிக்கலாம்.அம்மா",daily_health_track_ta.mp3,"அம்மா, தினமும் health updates log பண்ண help வேண்டுமா?",daily_health_track_trig_ta.mp3,क्या मैं इस app में daily health track कर सकती हूँ?,"हाँ मम्मा, My Health section में जाकर आप रोज़ अपनी health details update करके track कर सकती हो 💛",daily_health_track_hi.mp3,क्या आपको डेली हेल्थ अपडेट्स लॉग करने में मदद चाहिए?,daily_health_track_trig_hi.mp3,मी या app मध्ये daily health track करू शकते का?,"हो आई, My Health section मध्ये जाऊन तुम्ही रोज तुमच्या health details update करून track करू शकता 💛",daily_health_track_ma.mp3,"आई, daily health updates log करायला help पाहिजे का?",daily_health_track_trig_ma.mp3,આ appમાં હું daily health track કરી શકું છું?,"હા મા, My Health section માં જઈને તમે રોજના health details update કરીને track કરી શકો છો 💛","Ha ma, My Health section ma jai ne tame roj na health details update kari ne track kari shako chho 💛",daily_health_track_gu.mp3,"મમ્મી, daily health updates log કરવામાં help જોઈએ છે શું?","Mommy, daily health updates log karva ma help joiye chhe shu?",daily_health_track_trig_gu.mp3
wearable_tracking,How does wearable tracking help?,"mommy, It tracks your health data like steps, sleep, and activity.",wearable_tracking_trigger_en.mp3,Would you like to connect your wearable?,wearable_tracking_trigger_en.mp3,Wearable use பண்ணினா என்ன benefit?,"Steps, sleep, activity மாதிரி health data track பண்ணும்.அம்மா,",wearable_tracking_ta.mp3,Wearable device connect பண்ணணுமா?,wearable_tracking_trig_ta.mp3,wearable tracking का क्या फायदा है?,"मम्मा, wearable आपके steps, sleep और activity जैसी health details track करने में मदद करता है ⌚",wearable_tracking_hi.mp3,क्या आप अपना वेयरेबल डिवाइस कनेक्ट करना चाहेंगी?,wearable_tracking_trig_hi.mp3,wearable tracking चा काय फायदा आहे?,"आई, wearable तुमचे steps, sleep आणि activity सारख्या health details track करायला मदत करतं ⌚",wearable_tracking_ma.mp3,Wearable device connect करायचं आहे का?,wearable_tracking_trig_ma.mp3,Wearable use કરવાથી શું benefit થાય?,"મા, wearable તમારા steps, sleep અને activity જેવી health details track કરવામાં મદદ કરે છે ⌚","Ma, wearable tamara steps, sleep ane activity jevi health details track karva ma madad kare chhe ⌚",wearable_tracking_gu.mp3,Wearable device connect કરવું છે શું?,Wearable device connect karvu chhe shu?,wearable_tracking_trig_gu.mp3
vaccination_alerts,Can I get vaccination alerts?,"mommy, yes, you will get timely alerts for vaccinations.",vaccination_alerts_trigger_en.mp3,"mommy, shall I show vaccination schedule?",vaccination_alerts_trigger_en.mp3,Vaccination alerts கிடைக்குமா?,"அம்மா, vaccinationக்கு timeக்கு உங்களுக்கு alert வந்துரும் அம்மா.",vaccination_alerts_ta.mp3,"அம்மா, vaccination schedule காட்டட்டுமா?",vaccination_alerts_trig_ta.mp3,क्या मुझे vaccination alerts मिलेंगे?,"मम्मा, हाँ… आपको vaccination के timely alerts मिलते रहेंगे 💉",vaccination_alerts_hi.mp3,"मम्मी, क्या मैं वैक्सीनेशन शेड्यूल दिखाऊँ?",vaccination_alerts_trig_hi.mp3,मला vaccination alerts मिळतील का?,"आई, हो… तुम्हाला vaccination चे timely alerts मिळत राहतील 💉",vaccination_alerts_ma.mp3,"आई, vaccination schedule दाखवू का?",vaccination_alerts_trig_ma.mp3,Vaccination alerts મળશે?,"મા, હા… તમને vaccination ના સમયસર alerts મળતા રહેશે 💉","Ma, ha… tamne vaccination na samay par alerts malta raheshe 💉",vaccination_alerts_gu.mp3,"મમ્મી, શું હું vaccination schedule બતાવું?","Mommy, shu hu vaccination schedule batavu?",vaccination_alerts_trig_gu.mp3
update_profile,How do I update my profile?,"mommy, You can go to Settings in the app and use Edit Profile to update your details easily mommy",update_profile_trigger_en.mp3,Would you like me to guide you through profile update?,update_profile_trigger_en.mp3,எப்படி நான் என் profile update பண்ணணும்?,"அம்மா, Appல Settingsக்கு போய் Edit Profile optionல உங்க details எல்லாம் easyஆ update பண்ணிக்கலாம் அம்மா",update_profile_ta.mp3,Profile update பண்ண நான் guide பண்ணட்டுமா?,update_profile_trig_ta.mp3,मैं अपना profile कैसे update करूँ?,"मम्मा, app के Settings में जाकर Edit Profile से अपनी details आसानी से update कर सकती हो 👤",update_profile_hi.mp3,क्या मैं प्रोफ़ाइल अपडेट करने में गाइड करूँ?,update_profile_trig_hi.mp3,मी माझं profile कसं update करू?,"आई, app च्या Settings मध्ये जाऊन Edit Profile मधून तुमच्या details सहज update करू शकता 👤",update_profile_ma.mp3,Profile update करायला मी guide करू का?,update_profile_trig_ma.mp3,હું મારું profile કેવી રીતે update કરું?,"મા, app ની Settings માં જઈને Edit Profile માંથી તમારા details સરળતાથી update કરી શકો છો 👤","Ma, app ni Settings ma jai ne Edit Profile mathi tamara details saralta thi update kari shako chho 👤",update_profile_gu.mp3,Profile update કરવા હું guide કરું શું?,Profile update karva hu guide karu shu?,update_profile_trig_gu.mp3
kick_tracker,How do I use baby kick tracker?,"mommy, you can use the Kick Tracker feature in the app to count and monitor your baby’s movements easily.",kick_tracker_trigger_en.mp3,"mommy, would you like help tracking kicks step by step?",kick_tracker_trigger_en.mp3,Baby kick tracker எப்படி use பண்ணணும்?,"அம்மா, appல இருக்கும் Kick Tracker use பண்ணி baby movement easyஆ count பண்ணி monitor பண்ணிக்கலாம் அம்மா.",kick_tracker_ta.mp3,"அம்மா, baby kicks track பண்ண step by step help வேண்டுமா?",kick_tracker_trig_ta.mp3,baby kick tracker कैसे use करूँ?,"मम्मा, app में Kick Tracker feature खोलकर आप मेरे movements आसानी से count और monitor कर सकती हो 👣",kick_tracker_hi.mp3,"मम्मी, क्या आपको बेबी किक्स स्टेप बाय स्टेप ट्रैक करने में मदद चाहिए?",kick_tracker_trig_hi.mp3,baby kick tracker कसं वापरायचं?,"आई, app मधील Kick Tracker feature उघडून तुम्ही माझे movements सहज count आणि monitor करू शकता 👣",kick_tracker_ma.mp3,"आई, baby kicks step by step track करायला help पाहिजे का?",kick_tracker_trig_ma.mp3,Baby kick tracker કેવી રીતે use કરવો?,"મા, app માંના Kick Tracker feature માં જઈને તમે બાળકની movements સરળતાથી count અને monitor કરી શકો છો 👣","Ma, app na Kick Tracker feature ma jai ne tame balak ni movements saralta thi count ane monitor kari shako chho 👣",kick_tracker_gu.mp3,"મમ્મી, baby kicks step by step track કરવામાં help જોઈએ છે શું?","Mommy, baby kicks step by step track karva ma help joiye chhe shu?",kick_tracker_trig_gu.mp3
feeding_tracker,How do I use the feeding tracker in the app?,"mommy, you can go to the Feeding Tracker in the app, add your baby’s feeding time, and easily see daily, weekly, and monthly feeding details to monitor it mommy",feeding_tracker_trigger_en.mp3,"mommy, would you like help logging your first feeding?",feeding_tracker_trigger_en.mp3,Appல feeding tracker எப்படி use பண்ணணும்?,"அம்மா, appல இருக்கும் Feeding Trackerல போய் babyயோட feeding time add பண்ணி, daily, weekly, monthly feeding details எல்லாம் easyஆ பார்த்து monitor பண்ணிக்கலாம் அம்மா.",feeding_tracker_ta.mp3,"அம்மா, first feeding log பண்ண help வேண்டுமா?",feeding_tracker_trig_ta.mp3,feeding tracker कैसे use करना है?,"मम्मा, Feeding Tracker में जाकर feeding time add करो… फिर daily, weekly और monthly details आसानी से देख सकती हो 🍼",feeding_tracker_hi.mp3,"मम्मी, क्या मैं फ़र्स्ट फीडिंग लॉग करने में मदद करूँ?",feeding_tracker_trig_hi.mp3,feeding tracker कसं वापरायचं?,"आई, Feeding Tracker मध्ये जाऊन feeding time add करा… मग daily, weekly आणि monthly details सहज पाहू शकता 🍼",feeding_tracker_ma.mp3,"आई, first feeding log करायला help करू का?",feeding_tracker_trig_ma.mp3,Appમાં feeding tracker કેવી રીતે use કરવો?,"મા, Feeding Tracker માં જઈને feeding time add કરો… પછી daily, weekly અને monthly details સરળતાથી જોઈ શકો છો 🍼","Ma, Feeding Tracker ma jai ne feeding time add karo… pachi daily, weekly ane monthly details saralta thi joi shako chho 🍼",feeding_tracker_gu.mp3,"મમ્મી, first feeding log કરવામાં help કરું શું?","Mommy, first feeding log karva ma help karu shu?",feeding_tracker_trig_gu.mp3
pregnancy_progress,How can I track my pregnancy progress daily?,"mommy, You can check the pregnancy section to see how many days have passed and track your baby’s growth.",pregnancy_progress_trigger_en.mp3,Would you like to see your current pregnancy stage?,pregnancy_progress_trigger_en.mp3,Pregnancy progress daily எப்படி track பண்ணலாம்?,"அம்மா, Pregnancy sectionல போய் எத்தனை நாள் ஆகுது, baby growth எப்படி இருக்கு அப்படினு track பண்ணலாம் அம்மா",pregnancy_progress_ta.mp3,உங்க current pregnancy stage என்னனு பார்க்க வேண்டுமா?,pregnancy_progress_trig_ta.mp3,मैं pregnancy progress daily कैसे track करूँ?,"मम्मा, pregnancy section में जाकर आप days count और मेरी growth आसानी से track कर सकती हो 🤍",pregnancy_progress_hi.mp3,क्या आप अपनी करंट प्रेग्नेंसी स्टेज देखना चाहेंगी?,pregnancy_progress_trig_hi.mp3,pregnancy progress रोज कसं track करायचं?,"आई, pregnancy section मध्ये जाऊन तुम्ही days count आणि माझी growth सहज track करू शकता 🤍",pregnancy_progress_ma.mp3,तुझा current pregnancy stage काय आहे ते पाहायचं आहे का?,pregnancy_progress_trig_ma.mp3,Pregnancy progress daily કેવી રીતે track કરી શકું?,"મા, pregnancy section માં જઈને તમે days count કરીને બાળકની growth સરળતાથી track કરી શકો છો 🤍","Ma, pregnancy section ma jai ne tame days count kari ne balak ni growth saralta thi track kari shako chho 🤍",pregnancy_progress_gu.mp3,તમારું current pregnancy stage શું છે એ જોવા છે શું?,Tamaru current pregnancy stage shu chhe e jovu chhe shu?,pregnancy_progress_trig_gu.mp3
allocry_info,What is AlloCry and how does it work?,"mommy, AlloCry analyzes your baby’s cry and helps you understand the possible reason like hunger, discomfort, or sleep.",allocry_info_trigger_en.mp3,"mommy, would you like to try AlloCry now?",allocry_info_trigger_en.mp3,AlloCryனா என்ன அது எப்படி work ஆகும்?,"அம்மா, AlloCry baby அழுகையை analyze பண்ணி, பசிச, தூக்கம், discomfort மாதிரி காரணம் என்னன்னு சொல்லி help பண்ணும்.",allocry_info_ta.mp3,"அம்மா, இப்ப AlloCry try பண்ணலாமா?",allocry_info_trig_ta.mp3,AlloCry क्या है और कैसे काम करता है?,"मम्मा, AlloCry मेरे रोने की आवाज़ analyze करके hunger, sleep या discomfort जैसी possible reasons बताने में मदद करता है 👶",allocry_info_hi.mp3,"मम्मी, क्या आप AlloCry अभी ट्राय करना चाहेंगी?",allocry_info_trig_hi.mp3,AlloCry म्हणजे काय आणि ते कसं काम करतं?,"आई, AlloCry माझ्या रडण्याचा आवाज analyze करून hunger, sleep किंवा discomfort सारखी possible reasons सांगायला मदत करतं 👶",allocry_info_ma.mp3,"आई, आत्ता AlloCry try करायचं का?",allocry_info_trig_ma.mp3,AlloCry શું છે અને એ કેવી રીતે કામ કરે છે?,"મા, AlloCry બાળકના રડવાના અવાજને analyze કરીને hunger, sleep અથવા discomfort જેવી શક્ય કારણો બતાવવામાં મદદ કરે છે 👶","Ma, AlloCry balak na radva na avaj ne analyze kari ne hunger, sleep athva discomfort jevi shaky karano batavva ma madad kare chhe 👶",allocry_info_gu.mp3,"મમ્મી, હમણાં AlloCry try કરવું છે શું?","Mommy, haju AlloCry try karvu chhe shu?",allocry_info_trig_gu.mp3
view_reports,Can I view my reports anytime?,"Yes, you can open My Health and go to Reports to view your uploaded reports anytime.mommy",view_reports_trigger_en.mp3,Would you like help finding your reports now?,view_reports_trigger_en.mp3,நான் என் reports எப்போதும் பார்க்கலாமா?,"ஆம், My Health sectionல Reportsக்கு போனா எப்போதும் உங்க upload பண்ணிய reports பார்க்கலாம் அம்மா",view_reports_ta.mp3,Reports கண்டுபிடிக்க help வேண்டுமா?,view_reports_trig_ta.mp3,क्या मैं अपने reports कभी भी देख सकती हूँ?,"हाँ मम्मा, My Health में Reports खोलकर आप कभी भी uploaded reports देख सकती हो 📑",view_reports_hi.mp3,क्या आपको अपने रिपोर्ट्स ढूँढने में मदद चाहिए?,view_reports_trig_hi.mp3,मी माझे reports कधीही पाहू शकते का?,"हो आई, My Health मधील Reports उघडून तुम्ही कधीही uploaded reports पाहू शकता 📑",view_reports_ma.mp3,Reports शोधायला help पाहिजे का?,view_reports_trig_ma.mp3,હું મારી reports હંમેશા જોઈ શકું?,"હા મા, My Health માં Reports ખોલીને તમે ક્યારે પણ uploaded reports જોઈ શકો છો 📑","Ha ma, My Health ma Reports kholo ne tame kadi pan uploaded reports joi shako chho 📑",view_reports_gu.mp3,Reports શોધવામાં help જોઈએ છે શું?,Reports shodhva ma help joiye chhe shu?,view_reports_trig_gu.mp3
