Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voice over,Next Trigger Question (Baby Voice),Next Trigger Question (Baby Voice) Voice over,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil) Voice Over,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
baby_growth_now,How is my baby growing now?,"mommy, every week I grow a little more. my body, brain, and tiny heart are developing beautifully.",1.mp3,"mommy, shall I tell you what I look like this week?",1.mp3,என் baby இப்ப எப்படி வளருது?,"அம்மா, ஒவ்வொரு வாரமும் நான் கொஞ்சம் கொஞ்சமாக வளர்றேன். என் body, brain, குட்டி heart எல்லாம் அழகாக வளருது.",1.mp3,"அம்மா, இந்த வாரம் நான் எப்படி இருக்கேன் தெரியணுமா?",baby_growth_now.mp3,मेरा baby अभी कैसे grow हो रहा है?,"मम्मा, हर हफ्ते मैं थोड़ा-थोड़ा बड़ा हो रहा हूँ… मेरा body, brain और tiny heart सुंदर तरीके से develop हो रहे हैं 💛",baby_growth_now_hi.mp3,"मम्मा, क्या आप जानना चाहेंगी कि इस हफ्ते मैं कैसा दिख रहा हूँ?",baby_growth_now.mp3,माझं baby आता कसं वाढतंय?,"आई, प्रत्येक आठवड्यात मी थोडा-थोडा मोठा होतोय… माझं body, brain आणि tiny heart छान develop होत आहेत 💛",baby_growth_now_ma.mp3,"आई, या आठवड्यात मी कसा दिसतोय ते जाणून घ्यायचंय का?",baby_growth_now.mp3,મારું baby અત્યારે કેવી રીતે grow થઈ રહ્યું છે?,"દર અઠવાડિયે અમ્મા, હું થોડો થોડો grow થઈ રહ્યો છું. મારું body, brain અને નાનું heart બધું સુંદર રીતે develop થઈ રહ્યું છે.","Dar athvadiye amma, hu thodo thodo grow thai rahyo chhu. Maru body, brain ane nano heart badhu sundar rite develop thai rahyu chhe.",baby_growth_now.mp3,"મા, આ અઠવાડિયે હું કેવો દેખાઉં છું એ જાણવું છે?","ma, aa athvadiye hu kevo dekhaau chu ae jaanvu chhe?",baby_growth_now.mp3
baby_hearing,When does my baby start hearing me?,"mommy, I can start hearing sounds from around the second trimester, especially your lovely voice.",2.mp3,"Mommy, would you like to know when I begin to recognize sounds?",,baby எப்போ என் குரல் கேட்க ஆரம்பிக்கும்?,"அம்மா, second டிரைமெஸ்டர்ல இருந்து நா சத்தங்களை கேட்க ஆரம்பிப்பேன், குறிப்பா உங்க குரல் எனக்கு நல்லா தெரியும் மா.",2.mp3,"அம்மா, நான் எப்போ உங்க குரலை recognize பண்ண ஆரம்பிக்கிறேன்னு தெரிஞ்சிக்க விரும்புறீங்களா?",baby_hearing.mp3,baby मेरी आवाज़ कब सुनना शुरू करेगा?,"मम्मा, second trimester के आसपास मैं आवाज़ें सुनना शुरू कर सकता हूँ… खासकर आपकी प्यारी आवाज़ 🤍",baby_hearing_hi.mp3,"मम्मा, क्या मैं आपको बताऊँ कि मैं कब आपकी आवाज पहचानना शुरू करता हूँ?",baby_hearing.mp3,baby माझा आवाज कधी ऐकायला लागेल?,"आई, second trimester च्या आसपास मी आवाज ऐकायला सुरुवात करू शकतो… विशेषतः तुमचा गोड आवाज 🤍",baby_hearing_ma.mp3,"आई, मी कधी तुझा आवाज ओळखायला सुरुवात करतो ते सांगू का?",baby_hearing.mp3,Baby ક્યારે મારી voice સાંભળવાનું શરૂ કરશે?,"Second trimester થી અમ્મા, હું અવાજો સાંભળવાનું શરૂ કરી દઈશ, ખાસ કરીને તમારી voice મને સારી રીતે ઓળખાશે.","Second trimester thi amma, hu avajo sambhalvaanu sharu kari daish, khas kari ne tamari voice mane sari rite olkhashe.",baby_hearing.mp3,"મા, હું ક્યારે તારો અવાજ ઓળખવા લાગું છું એ કહું?","ma, hu kyare taro awaaz olakhva laagu chu ae kahu?",baby_hearing.mp3
baby_emotions,Can my baby feel my emotions?,"mommy, I feel your emotions too. When you stay calm and happy, I feel safe and peaceful inside",3.mp3,"mommy, shall we relax together for a while?",3.mp3,நான் சோகமாக இருந்தா babyக்கும் தெரியுமா?,"அம்மா, உங்க Emotionsஅ நானும் feel பண்ணுவேன். நீங்க அமைதியாகவும் சந்தோஷமாகவும் இருந்தா, எனக்கும் பாதுகாப்பாகவும் நிம்மதியாகவும் இருக்கும்.",3.mp3,"அம்மா, கொஞ்சம் நேரம் நாம ரெண்டு பேரும் relax பண்ணலாமா?",baby_emotions.mp3,अगर मैं उदास हूँ तो क्या baby को महसूस होता है?,"मम्मा, मैं आपकी feelings भी महसूस करता हूँ… जब आप शांत और खुश रहती हो, तो मुझे भी safe लगता है 🥺",baby_emotions_hi.mp3,"मम्मा, क्या हम थोड़ी देर साथ में रिलैक्स करें?",baby_emotions.mp3,मी दुःखी असेन तर baby ला जाणवतं का?,"आई, मला तुमच्या feelings पण जाणवतात… तुम्ही शांत आणि आनंदी असता तेव्हा मलाही सुरक्षित वाटतं 🥺",baby_emotions_ma.mp3,"आई, आपण थोडा वेळ relax करूया का?",baby_emotions.mp3,હું દુઃખી હોઉં તો baby ને પણ ખબર પડે?,"તમારી emotions અમ્મા, હું પણ feel કરું છું. તમે શાંત અને ખુશ રહેશો તો મને પણ safe અને peaceful લાગશે.","Tamari emotions amma, hu pan feel karu chhu. Tame shant ane khush rahesho to mane pan safe ane peaceful lagse.",baby_emotions.mp3,"મા, આપણે થોડી વાર સાથે relax કરીએ?","ma, aapde thodi vaar saathe relax kariye?",baby_emotions.mp3
baby_heartbeat,When does my baby’s heartbeat start?,"mommy, my tiny heartbeat usually starts very early in pregnancy, around 6 weeks.",4.mp3,"Mommy, shall I tell you when my heartbeat first begins?",,baby heartbeat எப்போ ஆரம்பிக்கும்?,"அம்மா, pregnancy ஆரம்பத்திலேயே, பொதுவாக 6 வாரத்துக்கு அருகில் என் குட்டி heartbeat ஆரம்பிக்கும்.",4.mp3,"அம்மா, என் heartbeat எப்போ ஆரம்பிக்கும்னு நான் சொல்லட்டுமா?",baby_heartbeat.mp3,baby का heartbeat कब शुरू होता है?,"मम्मा, मेरा tiny heartbeat pregnancy के बहुत शुरुआती हफ्तों में, लगभग 6 weeks के आसपास शुरू हो जाता है ❤️",baby_heartbeat_hi.mp3,"मम्मा, क्या मैं आपको बताऊँ कि मेरा heartbeat कब शुरू होता है?",baby_heartbeat.mp3,baby चं heartbeat कधी सुरू होतं?,"आई, माझं tiny heartbeat pregnancy च्या सुरुवातीच्या आठवड्यांत, साधारण 6 weeks च्या आसपास सुरू होतं ❤️",baby_heartbeat_ma.mp3,"आई, माझं heartbeat कधी सुरू होतं ते मी सांगू का?",baby_heartbeat.mp3,Baby નું heartbeat ક્યારે શરૂ થાય?,"Pregnancy ની શરૂઆતમાં જ અમ્મા, સામાન્ય રીતે લગભગ 6 અઠવાડિયા આસપાસ મારું નાનું heartbeat શરૂ થઈ જાય છે.","Pregnancy ni sharuat ma j amma, samanya rite lagbhag 6 athvadiya aaspaas maru nano heartbeat sharu thai jaay chhe.",baby_heartbeat.mp3,"મા, મારું heartbeat ક્યારે શરૂ થાય છે એ કહું?","ma, maaru heartbeat kyare start thay chhe ae kahu?",baby_heartbeat.mp3
baby_size,How big is my baby now?,"mommy, my size changes every week. sometimes like a fruit, sometimes like a tiny toy.",5.mp3,"mommy, shall I tell you which fruit I’m like this week?",5.mp3,என் baby இப்ப எவ்வளவு பெருசா இருக்கு?,"அம்மா, ஒவ்வொரு வாரமும் என் size மாறும்—சில நேரம் ஒரு பழம் மாதிரி, சில நேரம் ஒரு குட்டி toy மாதிரி.",5.mp3,"அம்மா, இந்த வாரம் நான் எந்த பழம் மாதிரி இருக்கேன்னு சொல்லட்டுமா?",baby_size.mp3,मेरा baby अभी कितना बड़ा है?,"मम्मा, मैं हर हफ्ते grow करता हूँ… कभी किसी fruit जितना, तो कभी छोटे toy जितना 👶",baby_size_hi.mp3,"मम्मा, क्या मैं बताऊँ कि इस हफ्ते मैं किस फल जैसा लग रहा हूँ?",baby_size.mp3,माझं baby आता किती मोठं आहे?,"आई, मी प्रत्येक आठवड्यात grow होतोय… कधी एखाद्या fruit एवढा, तर कधी छोट्या toy एवढा 👶",baby_size_ma.mp3,"आई, या आठवड्यात मी कोणत्या फळासारखा दिसतोय ते सांगू का?",baby_size.mp3,મારું baby અત્યારે કેટલું મોટું છે?,"દર અઠવાડિયે અમ્મા, મારું size બદલાતું રહે છે — ક્યારેક કોઈ fruit જેટલું, તો ક્યારેક નાનકડા toy જેટલું.","Dar athvadiye amma, maru size badaltu rahe chhe — kyarek koi fruit jetlu, to kyarek nanakda toy jetlu.",baby_size.mp3,"મા, આ અઠવાડિયે હું કયા ફળ જેવો લાગે છું એ કહું?","ma, aa athvadiye hu kaya fal jevo lagu chu ae kahu?",baby_size.mp3
baby_body_form,When do baby’s hands and legs form?,"mommy, my tiny hands and legs start forming andi'm keep growing stronger.",6.mp3,"Mommy, would you like to know how my tiny hands and legs start forming?",,baby கை கால் எப்போ உருவாகும்?,"அம்மா, pregnancy ஆரம்பத்திலேயே என் குட்டி கை கால் உருவாக ஆரம்பித்து, மெதுவாக வலிமையாகும்.",6.mp3,"அம்மா, என் சின்ன கைகள், கால்கள் எப்படி உருவாகுதுன்னு தெரியணுமா?",baby_body_form.mp3,baby के हाथ और पैर कब बनते हैं?,"मम्मा, मेरे tiny हाथ और पैर धीरे-धीरे बनने लगते हैं… और मैं हर दिन stronger हो रहा हूँ 🤍",baby_body_form_hi.mp3,"मम्मा, क्या आप जानना चाहेंगी कि मेरे छोटे हाथ-पैर कैसे बन रहे हैं?",baby_body_form.mp3,baby चे हात-पाय कधी तयार होतात?,"आई, माझे tiny हात-पाय हळूहळू तयार होतात… आणि मी रोज stronger होत आहे 🤍",baby_body_form_ma.mp3,"आई, माझे छोटे हात-पाय कसे तयार होतायत ते जाणून घ्यायचंय का?",baby_body_form.mp3,Baby ના હાથ પગ ક્યારે develop થશે?,"Pregnancy ની શરૂઆતથી જ અમ્મા, મારા નાના હાથ અને પગ develop થવા લાગે છે અને ધીમે ધીમે strong બને છે.","Pregnancy ni sharuat thi j amma, mara nana hath ane pag develop thava lage chhe ane dhime dhime strong bane chhe.",baby_body_form.mp3,"મા, મારા નાના હાથ-પગ કેવી રીતે બની રહ્યા છે એ જાણવું છે?","ma, mara nana haath-paag kevi rite bani rahya chhe ae jaanvu chhe?",baby_body_form.mp3
baby_sleep,Does my baby sleep inside?,"Yes mommy, I sleep and wake up too! I already have little sleep patterns inside your tummy.",7.mp3,"mommy, did you notice when I’m most active?",7.mp3,baby உள்ளே தூங்குமா?,"ஆமா அம்மா, நானும் தூங்குவேன், எந்திரிப்பேன்! உங்க வயிற்றுக்குள்ளே எனக்கும் சிறிய தூக்க பழக்கம் இருக்கும்.",7.mp3,"அம்மா, நான் எப்போ அதிகமா activeஆ இருக்கேன்னு நீங்க notice பண்ணீங்களா?",baby_sleep.mp3,क्या baby पेट के अंदर सोता है?,"हाँ मम्मा, मैं भी सोता हूँ और उठता हूँ… मेरे छोटे-छोटे sleep patterns भी बनने लगते हैं 😴",baby_sleep_hi.mp3,"मम्मा, क्या आपने notice किया कि मैं कब सबसे ज्यादा active रहता हूँ?",baby_sleep.mp3,baby पोटात झोपतं का?,"हो आई, मी पण झोपतो आणि उठतो… माझे छोटे-छोटे sleep patterns पण तयार होतात 😴",baby_sleep_ma.mp3,"आई, मी कधी जास्त active असतो ते तू notice केलंयस का?",baby_sleep.mp3,Baby અંદર ઊંઘતું હશે?,"હા અમ્મા, હું પણ ઊંઘું છું અને જાગું છું! તમારા પેટની અંદર મારી પણ નાની sleep routine હોય છે.","Ha amma, hu pan uthu chhu ane jagu chhu! tamara pet ni andar mari pan nani sleep routine hoy chhe.",baby_sleep.mp3,"મા, હું ક્યારે વધારે active રહું છું એ તું notice કર્યું છે?","ma, hu kyare vadhu active rahu chu ae te notice karyu chhe?",baby_sleep.mp3
baby_taste,Can my baby taste food?,"mommy, I can slowly sense flavors from the food you eat through the amniotic fluid.",8.mp3,"mommy, shall i suggest some foods to support my growth?",8.mp3,நான் சாப்பிடுறதை baby taste பண்ணுமா?,"அம்மா, நீங்க சாப்பிடும் உணவின் சுவையை amniotic fluid மூலம் நான் மெதுவாக உணர ஆரம்பிப்பேன்.",8.mp3,"அம்மா, என் growthக்கு உதவும் foods சில suggest பண்ணட்டுமா?",baby_taste.mp3,क्या baby मेरे खाने का taste महसूस कर सकता है?,"मम्मा, मैं धीरे-धीरे आपके खाने के flavors को amniotic fluid के through महसूस कर सकता हूँ 🍎",baby_taste_hi.mp3,"मम्मा, क्या मैं आपको मेरे growth के लिए अच्छे foods suggest करूँ?",baby_taste.mp3,मी जे खातेय त्याची चव baby ला कळते का?,"आई, मी हळूहळू तुमच्या खाण्याचे flavors amniotic fluid मधून जाणवू शकतो 🍎",baby_taste_ma.mp3,"आई, माझ्या growth साठी उपयोगी foods सुचवू का?",baby_taste.mp3,હું જે ખાઉં છું તેનો taste baby ને ખબર પડે?,"તમે જે food ખાઓ છો અમ્મા, તેનો taste હું amniotic fluid દ્વારા ધીમે ધીમે feel કરવાનું શરૂ કરું છું.","Tame je food khavo chho amma, eno taste hu amniotic fluid dvara dhime dhime feel karvaanu sharu karu chhu.",baby_taste.mp3,"મા, મારી growth માટે સારા foods suggest કરું?","ma, mari growth mate sara foods suggest karu?",baby_taste.mp3
baby_full_growth,When is my baby fully developed?,"mommy, I keep growing throughout pregnancy, and by the final weeks, I get ready to meet you.",9.mp3,"mommy, are you excited to meet me?",9.mp3,baby முழுமையாக எப்போ வளர்ந்து இருக்கும்?,"அம்மா, pregnancy முழுக்க நான் வளர்ந்து கொண்டே இருப்பேன். கடைசி வாரங்களில் உங்களை சந்திக்க தயாராகிடுவேன்.",9.mp3,"அம்மா, என்னை சந்திக்க உங்களுக்கு ரொம்ப ஆசையா இருக்கா?",baby_full_growth.mp3,baby पूरी तरह कब develop होता है?,"मम्मा, मैं पूरी pregnancy में grow करता रहता हूँ… और आखिरी हफ्तों में आपसे मिलने के लिए तैयार हो जाता हूँ 💕",baby_full_growth_hi.mp3,"मम्मा, क्या आप मुझसे मिलने के लिए excited हैं?",baby_full_growth.mp3,baby पूर्णपणे कधी develop होतं?,"आई, मी संपूर्ण pregnancy मध्ये grow होत राहतो… आणि शेवटच्या आठवड्यांत तुम्हाला भेटायला तयार होतो 💕",baby_full_growth_ma.mp3,"आई, मला भेटायला तू excited आहेस का?",baby_full_growth.mp3,Baby સંપૂર્ણ રીતે ક્યારે develop થઈ જશે?,"આખી pregnancy દરમિયાન અમ્મા, હું grow થતો જ રહીશ. છેલ્લાં અઠવાડિયામાં તમને મળવા માટે ready થઈ જઈશ.","Aakhi pregnancy darmiyan amma, hu grow thato j rahish. chella athvadiya ma tamne malva mate ready thai jaish.",baby_full_growth.mp3,"મા, તને મને મળવા માટે excitement છે?","ma, tane mane malva mate excitement chhe?",baby_full_growth.mp3
baby_growth_movement,I’m not sure if the baby is growing well.,"I am growing well inside your tummy, mom.",baby_growth_movement.mp3,"Mommy, would you like to know how I am growing inside your tummy every week?",baby_growth_movement.mp3,baby நல்லா வளருதானு தெரியல.,"அம்மா, நான் உங்க tummyக்குள்ள நல்லாவே வளர்ந்து கொண்டிருக்கேன் ",baby_growth_movement.mp3,"அம்மா, நான் உங்க tummy உள்ளே எப்படி வளர்றேன்னு வார வாரம் சொல்லட்டுமா?",baby_growth_movement.mp3,मुझे समझ नहीं आ रहा कि बच्चा अच्छी तरह बढ़ रहा है या नहीं।,"मैं आपके पेट के अंदर अच्छे से बढ़ रहा हूँ, माँ।",baby_growth_movement.mp3,"मम्मा, क्या मैं आपको बताऊँ कि मैं हर हफ्ते कैसे बढ़ रहा हूँ?",baby_growth_movement.mp3,बाळ नीट वाढत आहे का याची खात्री वाटत नाही.,"मी तुमच्या पोटात छान वाढत आहे, आई.",baby_growth_movement.mp3,"आई, मी आठवड्यागणिक कसा वाढतोय ते सांगू का?",baby_growth_movement.mp3,Baby સારી રીતે grow થઈ રહ્યું છે કે નહીં એ સમજાતું નથી.,"હું તમારા tummy માં અમ્મા, સારી રીતે grow થઈ રહ્યો છું.","Hu tamara tummy ma amma, sari rite grow thai rahyo chhu.",baby_growth_movement.mp3,"મા, હું દર અઠવાડિયે કેવી રીતે વધું છું એ કહું?","ma, hu dar athvadiye kevi rite vadhyu chu ae kahu?",baby_growth_movement.mp3
