Keyword,Mother's question (English),Allobaby Response (English),Allobaby Response (English Voiceover),Next Trigger Question (Baby Voice),next trigger english voice over,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil Voiceover),Next Trigger Question-Tamil(Baby Voice),Next trigger question Tamil(Voiceover),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobaby Response (Hindi)-Voice over,Next Trigger Question-Hindi(Baby Voice),Next trigger question Hindi (Voiceover),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobaby Response (Marathi)-Voice over,Next Trigger Question-Marathi(Baby Voice),Next trigger question Marathi (Voiceover),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobaby Response (Gujarathi)-Voice over,Next Trigger Question-Gujarathi(Baby Voice),Next Trigger question-Gujarathi-English,Next trigger question Gujarathi (Voiceover)
eatspinach,Can I eat spinach during pregnancy?,"Yes, Mom! Spinach is safe during pregnancy and is rich in iron, folate, and fiber that support your health and your baby's growth.",eatspinach_eng - Copy.mp3,"mommy, would you like to know how much spinach is safe to eat during pregnancy?",spinach.mp3,கர்ப்பமாக இருக்கும்போது கீரை சாப்பிடலாமா?,"ஆம் அம்மா! கீரை கர்ப்ப காலத்தில் சாப்பிட பாதுகாப்பானது. இதில் இரும்புச்சத்து, ஃபோலேட் மற்றும் நார்ச்சத்து நிறைந்துள்ளது.",spinach.mp3,"அம்மா, உங்கள் இரும்புச்சத்தை அதிகரிக்க கீரை எப்படி உதவுகிறது என்று தெரிந்துகொள்ள விரும்புகிறீர்களா?",spinach.mp3,क्या मैं गर्भावस्था में पालक खा सकती हूँ?,"मम्मी, हाँ! पालक गर्भावस्था में सुरक्षित है और इसमें आयरन, फोलेट और फाइबर होते हैं।",spinach.mp3,"मम्मी, क्या आप जानना चाहेंगी कि पालक आपके आयरन स्तर को कैसे बेहतर बनाता है?",spinach.mp3,मी गर्भधारणेदरम्यान पालक खाऊ शकते का?,"आई, हो! पालक सुरक्षित आहे आणि त्यात लोह, फोलेट आणि फायबर भरपूर असते.",spinach.mp3,"आई, पालक तुमच्या लोहाच्या पातळीला कशी मदत करतो हे जाणून घ्यायचे आहे का",spinach.mp3,Shu hu garbhavastha darmiyan palak khai shaku?,"મમ્મી, હા! પાલક ગર્ભાવસ્થા દરમિયાન સુરક્ષિત છે અને તેમાં આયર્ન, ફોલેટ અને ફાઇબર હોય છે.","Mammi, haa! Palak garbhavastha darmiyan surakshit chhe ane tema iron, folate ane fiber hoy chhe.",spinach.mp3,"મમ્મી, શું તમે જાણવા માંગો છો કે પાલક તમારા આયર્ન સ્તરને કેવી રીતે મદદ કરે છે?","Mammi, shu tame jaanva maango cho ke palak tamara iron star ne kevi rite madad kare chhe?",spinach trig.mp3
eatbrocolli,Is broccoli good for pregnant women?,"Yes, Mom! Broccoli is a healthy choice during pregnancy and provides folate, vitamin C, and fiber",brocoli.mp3,"mommy, would you like to learn more pregnancy-friendly vegetables?",broccoli.mp3,கர்ப்ப காலத்தில் ப்ரோக்கோலி சாப்பிடலாமா?,ஆம் அம்மா! ப்ரோக்கோலி உங்களுக்கும் குழந்தைக்கும் தேவையான பல சத்துக்களை வழங்குகிறது.,brocolli.mp3,"அம்மா, கர்ப்ப காலத்திற்கு ஏற்ற மற்ற ஆரோக்கியமான காய்கறிகளைப் பற்றி அறிய விரும்புகிறீர்களா?",brocolli.mp3,क्या ब्रोकोली गर्भवती महिलाओं के लिए अच्छी है?,"मम्मी, हाँ! ब्रोकोली गर्भावस्था के दौरान एक स्वस्थ विकल्प है और इसमें फोलेट, विटामिन सी और फाइबर होता है।",brocolli.mp3,"मम्मी, क्या आप गर्भावस्था के लिए अन्य स्वस्थ सब्जियों के बारे में जानना चाहेंगी?",brocolli.mp3,ब्रोकोली गर्भवती महिलांसाठी चांगली आहे का?,"आई, हो! ब्रोकोली हा गर्भधारणेदरम्यान आरोग्यदायी पर्याय आहे.",brocoll.mp3,"आई, गर्भधारणेसाठी इतर पौष्टिक भाज्यांबद्दल जाणून घ्यायचे आहे का?",brocolli.mp3,Shu broccoli garbhavati mahilao maate saari chhe?,"મમ્મી, હા! બ્રોકોલી ગર્ભાવસ્થા દરમિયાન એક આરોગ્યપ્રદ પસંદગી છે","Mammi, haa! Broccoli garbhavastha darmiyan ek aarogyaprad pasandagi chhe.",brocolli.mp3,"મમ્મી, શું તમે ગર્ભાવસ્થા માટેની અન્ય આરોગ્યપ્રદ શાકભાજી વિશે જાણવા માંગો છો?","Mammi, shu tame garbhavastha maate ni anya aarogyaprad shakbhaji vishe jaanva maango cho?",brocolli trig.mp3
eatcabbage,Can I eat cabbage while pregnant?,"Yes, Mom! Cabbage is safe during pregnancy when washed properly and can be part of a healthy diet.",cabbage.mp3,"mommy, would you like to know the best way to prepare cabbage during pregnancy?",cabbage.mp3,கர்ப்பமாக இருக்கும்போது முட்டைக்கோஸ் சாப்பிடலாமா?,ஆம் அம்மா! நன்றாக கழுவி சாப்பிட்டால் முட்டைக்கோஸ் பாதுகாப்பானது.,cabbage.mp3,"அம்மா, முட்டைக்கோஸை பாதுகாப்பாக சமைப்பது எப்படி என்று தெரிந்துகொள்ள விரும்புகிறீர்களா?",cabbage.mp3,क्या मैं गर्भावस्था में पत्ता गोभी खा सकती हूँ?,"मम्मी, हाँ! पत्ता गोभी को अच्छी तरह धोकर खाया जाए तो यह सुरक्षित है।",cabbage.mp3,"मम्मी, क्या आप पत्ता गोभी को सुरक्षित तरीके से तैयार करना सीखना चाहेंगी?",cabbage.mp3,मी गर्भधारणेदरम्यान कोबी खाऊ शकते का?,"आई, हो! कोबी व्यवस्थित धुवून खाल्ल्यास सुरक्षित आहे.",cabbage.mp3,"आई, कोबी सुरक्षितपणे कसा तयार करावा हे जाणून घ्यायचे आहे का?",cabbage.mp3,Shu hu garbhavastha darmiyan kobi khai shaku?,"મમ્મી, હા! કોબીને સારી રીતે ધોઈને ખાવાથી તે સુરક્ષિત છે.","Mammi, haa! Kobine saari rite dhoine khavathi te surakshit chhe.",cabbage.mp3,"મમ્મી, શું તમે કોબી સુરક્ષિત રીતે કેવી રીતે તૈયાર કરવી તે જાણવા માંગો છો?","Mammi, shu tame kobi surakshit rite kevi rite taiyar karvi te jaanva maango cho?",cabbage trig.mp3
eatcarrot,Are carrots safe during pregnancy?,"Yes, Mom! Carrots are safe during pregnancy and provide vitamin A that supports your baby's development.",carrot.mp3,"mommy, would you like to know other vegetables that support your baby's growth?",carrot.mp3,"ஆம், கேரட் கர்ப்ப காலத்தில் பாதுகாப்பானது. இதில் வைட்டமின் A உள்ளது",ஆம் அம்மா! கேரட் கர்ப்ப காலத்தில் பாதுகாப்பானது மற்றும் வைட்டமின் A-ஐ வழங்குகிறது.,carrot.mp3,"அம்மா, குழந்தை வளர்ச்சிக்கு உதவும் மற்ற காய்கறிகளைப் பற்றி அறிய விரும்புகிறீர்களா?",carrot.mp3,क्या गाजर गर्भावस्था में सुरक्षित है?,"मम्मी, हाँ! गाजर सुरक्षित है और इसमें विटामिन A होता है जो आपके बच्चे के विकास में मदद करता है।",carrot.mp3,"मम्मी, क्या आप बच्चे के विकास में मदद करने वाली अन्य सब्जियों के बारे में जानना चाहेंगी?",carrot.mp3,गर्भधारणेदरम्यान गाजर खाणे सुरक्षित आहे का?,"आई, हो! गाजर सुरक्षित आहे आणि त्यातील व्हिटॅमिन A बाळाच्या विकासास मदत करते.",carrot.mp3,"आई, बाळाच्या वाढीस मदत करणाऱ्या इतर भाज्यांबद्दल जाणून घ्यायचे आहे का?",carrot.mp3,Shu gajar garbhavastha darmiyan surakshit chhe?,"મમ્મી, હા! ગાજર સુરક્ષિત છે અને તેમાં રહેલું વિટામિન A બાળકના વિકાસમાં મદદ કરે છે.","Mammi, haa! Gajar surakshit chhe ane tema rahelu Vitamin A balak na vikas ma madad kare chhe.",carrot.mp3,"મમ્મી, શું તમે બાળકના વિકાસ માટે ઉપયોગી અન્ય શાકભાજી વિશે જાણવા માંગો છો?","Mammi, shu tame balak na vikas maate upyogi anya shakbhaji vishe jaanva maango cho?",carrot trig.mp3
eatbeetroot,Can I eat beetroot every day during pregnancy?,"Yes, Mom! Beetroot is safe during pregnancy and contains folate and iron that help support healthy blood levels.",beetroot.mp3,"mommy, would you like to know more iron-rich foods for pregnancy?",beetroot.mp3,"ஆம், பீட்ரூட் கர்ப்ப காலத்தில் பாதுகாப்பானது. இதில் ஃபோலேட் மற்றும் இரும்புச்சத்து உள்ளது.","ஆம் அம்மா! பீட்ரூட்டில் ஃபோலேட் மற்றும் இரும்புச்சத்து உள்ளது, இது ஆரோக்கியமான ரத்த அளவை ஆதரிக்க உதவுகிறது.",beetroot.mp3,"அம்மா, இரும்புச்சத்து அதிகம் உள்ள மற்ற உணவுகளைப் பற்றி தெரிந்துகொள்ள விரும்புகிறீர்களா?",beetroot.mp3,क्या मैं गर्भावस्था में रोज़ चुकंदर खा सकती हूँ?,"मम्मी, हाँ! चुकंदर सुरक्षित है और इसमें फोलेट और आयरन होता है।",beetroot.mp3,"मम्मी, क्या आप आयरन से भरपूर अन्य खाद्य पदार्थों के बारे में जानना चाहेंगी?",beetroot.mp3,मी गर्भधारणेदरम्यान रोज बीटरूट खाऊ शकते का?,"आई, हो! बीटरूट सुरक्षित आहे आणि त्यात फोलेट व लोह असते.",beetroot.mp3,"आई, लोहयुक्त इतर अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",beetroot.mp3,Shu hu garbhavastha darmiyan darroj beetroot khai shaku?,"મમ્મી, હા! બીટરૂટ સુરક્ષિત છે અને તેમાં ફોલેટ તથા આયર્ન હોય છે.","Mammi, haa! Beetroot surakshit chhe ane tema folate tatha iron hoy chhe.",beetroot.mp3,"મમ્મી, શું તમે આયર્નથી ભરપૂર અન્ય ખાદ્ય પદાર્થો વિશે જાણવા માંગો છો?","Mammi, shu tame iron thi bharpur anya khadya padartho vishe jaanva maango cho?",beetroot trig.mp3
eatokra,Can I eat okra during pregnancy?,"mommy, yes! Okra is safe during pregnancy and contains folate, fiber, and vitamins that support your baby's development",okra.mp3,"mommy, would you like to know more foods that are rich in folate?",okra.mp3,கர்ப்ப காலத்தில் வெண்டைக்காய் சாப்பிடலாமா?,"அம்மா, ஆம்! வெண்டைக்காய் கர்ப்ப காலத்தில் பாதுகாப்பானது. இதில் ஃபோலேட், நார்ச்சத்து மற்றும் வைட்டமின்கள் உள்ளன.",okra.mp3,"அம்மா, ஃபோலேட் நிறைந்த மற்ற உணவுகளைப் பற்றி தெரிந்துகொள்ள விரும்புகிறீர்களா?",okra.mp3,क्या मैं गर्भावस्था में भिंडी खा सकती हूँ?,"मम्मी, हाँ! भिंडी गर्भावस्था में सुरक्षित है और इसमें फोलेट, फाइबर और विटामिन होते हैं।",okra.mp3,"मम्मी, क्या आप फोलेट से भरपूर अन्य खाद्य पदार्थों के बारे में जानना चाहेंगी?",okra.mp3,मी गर्भधारणेदरम्यान भेंडी खाऊ शकते का?,"आई, हो! भेंडी सुरक्षित आहे आणि त्यात फोलेट, फायबर आणि जीवनसत्त्वे असतात.",okra.mp3,"आई, फोलेटयुक्त इतर अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",okra.mp3,Shu hu garbhavastha darmiyan bhinda khai shaku?,"મમ્મી, હા! ભીંડા ગર્ભાવસ્થા દરમિયાન સુરક્ષિત છે અને તેમાં ફોલેટ, ફાઇબર અને વિટામિન્સ હોય છે.","Mammi, haa! Bhinda garbhavastha darmiyan surakshit chhe ane tema folate, fiber ane vitamins hoy chhe.",okra.mp3,"મમ્મી, શું તમે ફોલેટથી ભરપૂર અન્ય ખાદ્ય પદાર્થો વિશે જાણવા માંગો છો?","Mammi, shu tame folate thi bharpur anya khadya padartho vishe jaanva maango cho?",okra trig.mp3
eatsweetpotato,Is sweet potato good for pregnancy?,"mommy, yes! Sweet potato is a nutritious choice during pregnancy and provides vitamin A, fiber, and antioxidants",sweetpotato.mp3,"mommy, would you like to learn about other vitamin A-rich foods?",sweetpotato.mp3,கர்ப்ப காலத்தில் சர்க்கரைவள்ளிக்கிழங்கு நல்லதா?,"அம்மா, ஆம்! சர்க்கரைவள்ளிக்கிழங்கு கர்ப்ப காலத்தில் சத்தான உணவாகும். இதில் வைட்டமின் A, நார்ச்சத்து மற்றும் ஆன்டி-ஆக்ஸிடென்ட்கள் உள்ளன.",sweetpotato.mp3,"அம்மா, வைட்டமின் A நிறைந்த மற்ற உணவுகளைப் பற்றி அறிய விரும்புகிறீர்களா?",sweetpotato.mp3,क्या शकरकंद गर्भावस्था में अच्छा है?,"मम्मी, हाँ! शकरकंद गर्भावस्था में पौष्टिक विकल्प है और इसमें विटामिन A, फाइबर और एंटीऑक्सीडेंट होते हैं।",sweetpotato.mp3,"मम्मी, क्या आप विटामिन A से भरपूर अन्य खाद्य पदार्थों के बारे में जानना चाहेंगी?",sweetpotato.mp3,रताळे गर्भधारणेदरम्यान चांगले आहे का?," आई, हो! रताळे पौष्टिक आहे आणि त्यात व्हिटॅमिन A, फायबर आणि अँटीऑक्सिडंट्स असतात.",sweetpotato.mp3,"आई, व्हिटॅमिन A युक्त इतर अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",sweetpotato.mp3,Shu shakkariya garbhavastha maate saari chhe?,"મમ્મી, હા! શક્કરિયા પૌષ્ટિક પસંદગી છે અને તેમાં વિટામિન A, ફાઇબર અને એન્ટીઑક્સિડન્ટ્સ હોય છે.","Mammi, haa! Shakkariya poshak pasandagi chhe ane tema Vitamin A, fiber ane antioxidants hoy chhe.",sweetpotato.mp3,"મમ્મી, શું તમે વિટામિન A થી ભરપૂર અન્ય ખોરાક વિશે જાણવા માંગો છો?","Mammi, shu tame Vitamin A thi bharpur anya khorak vishe jaanva maango cho?",sweetpotato trig.mp3
eatbellpepper,Can I eat bell peppers while pregnant?,"mommy, yes! Bell peppers are safe during pregnancy and are rich in vitamin C, which helps your body absorb iron.",bellpepper.mp3,"mommy, would you like to know which foods help improve iron absorption?",bell pepper.mp3,கர்ப்ப காலத்தில் குடைமிளகாய் சாப்பிடலாமா?,"அம்மா, ஆம்! குடைமிளகாய் பாதுகாப்பானது மற்றும் வைட்டமின் C நிறைந்தது",bellpepper.mp3,"அம்மா, இரும்புச்சத்து உறிஞ்சுதலுக்கு உதவும் உணவுகளைப் பற்றி தெரிந்துகொள்ள விரும்புகிறீர்களா?",bellpepper.mp3,क्या मैं गर्भावस्था में शिमला मिर्च खा सकती हूँ?,"मम्मी, हाँ! शिमला मिर्च सुरक्षित है और इसमें विटामिन C भरपूर मात्रा में होता है।",bellpepper.mp3,"मम्मी, क्या आप जानना चाहेंगी कि कौन से खाद्य पदार्थ आयरन के अवशोषण में मदद करते हैं?",bellpepper.mp3,मी गर्भधारणेदरम्यान ढोबळी मिरची खाऊ शकते का?,"आई, हो! ढोबळी मिरची सुरक्षित आहे आणि त्यात व्हिटॅमिन C भरपूर असते.",bellpepper.mp3,"आई, लोहाचे शोषण वाढवणाऱ्या अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",bellpepper.mp3,Shu hu garbhavastha darmiyan shimla marcha khai shaku?,"મમ્મી, હા! શિમલા મરચાં સુરક્ષિત છે અને તેમાં વિટામિન C ભરપૂર પ્રમાણમાં હોય છે.","Mammi, haa! Shimla marcha surakshit chhe ane tema Vitamin C bharpur matra ma hoy chhe.",bellpepper.mp3,"મમ્મી, શું તમે જાણવા માંગો છો કે કયા ખોરાક આયર્નના શોષણમાં મદદ કરે છે?","Mammi, shu tame jaanva maango cho ke kaya khorak iron na absorption ma madad kare chhe?",bellpepper trig.mp3
eatbottleguard,Can I eat bottle gourd during pregnancy?,"mommy, yes! Bottle gourd is safe during pregnancy and helps keep you hydrated while providing essential nutrients.",bottleguard.mp3,"mommy, would you like to learn about more hydrating foods during pregnancy?",bottlegourd.mp3,கர்ப்ப காலத்தில் சுரைக்காய் சாப்பிடலாமா?,"அம்மா, ஆம்! சுரைக்காய் பாதுகாப்பானது மற்றும் உடலை நீர்ச்சத்துடன் வைத்திருக்க உதவுகிறது",bottlegourd.mp3,"அம்மா, நீர்ச்சத்தை அதிகரிக்கும் மற்ற உணவுகளைப் பற்றி அறிய விரும்புகிறீர்களா?",bottlegourd.mp3,क्या मैं गर्भावस्था में लौकी खा सकती हूँ?,"मम्मी, हाँ! लौकी सुरक्षित है और शरीर को हाइड्रेटेड रखने में मदद करती है।",bottlegourd.mp3,"मम्मी, क्या आप गर्भावस्था में शरीर को हाइड्रेटेड रखने वाले अन्य खाद्य पदार्थों के बारे में जानना चाहेंगी?",bottlegour.mp3,मी गर्भधारणेदरम्यान दुधी भोपळा खाऊ शकते का?,"आई, हो! दुधी भोपळा सुरक्षित आहे आणि शरीरातील पाण्याचे प्रमाण टिकवून ठेवण्यास मदत करतो.",bottlegourd.mp3,"आई, शरीर हायड्रेट ठेवणाऱ्या इतर अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",bottlegourd.mp3,Shu hu garbhavastha darmiyan dudhi khai shaku?,"મમ્મી, હા! દૂધી સુરક્ષિત છે અને શરીરને હાઇડ્રેટેડ રાખવામાં મદદ કરે છે.","Mammi, haa! Dudhi surakshit chhe ane sharir ne hydrated rakhvama madad kare chhe.",bottlegourd.mp3,"મમ્મી, શું તમે હાઇડ્રેશન માટે ઉપયોગી અન્ય ખોરાક વિશે જાણવા માંગો છો?","Mammi, shu tame hydration maate upyogi anya khorak vishe jaanva maango cho?",bottlegourd trig.mp3
eatdrumstick,Can I eat drumstick during pregnancy?,"mommy, yes! Drumstick is safe during pregnancy and contains iron, calcium, and vitamins that support maternal health.",drumstick.mp3,"mommy, would you like to know about other calcium-rich foods for pregnancy",drumstick.mp3,கர்ப்ப காலத்தில் முருங்கைக்காய் சாப்பிடலாமா?,"அம்மா, ஆம்! முருங்கைக்காய் பாதுகாப்பானது மற்றும் இரும்புச்சத்து, கால்சியம், வைட்டமின்கள் கொண்டுள்ளது.",drumstick.mp3,"அம்மா, கால்சியம் நிறைந்த மற்ற உணவுகளைப் பற்றி தெரிந்துகொள்ள விரும்புகிறீர்களா?",drumstick.mp3,क्या मैं गर्भावस्था में सहजन की फली खा सकती हूँ?,"मम्मी, हाँ! सहजन की फली सुरक्षित है और इसमें आयरन, कैल्शियम और विटामिन होते हैं।",drumstick.mp3,"मम्मी, क्या आप कैल्शियम से भरपूर अन्य खाद्य पदार्थों के बारे में जानना चाहेंगी?",drumstick.mp3,मी गर्भधारणेदरम्यान शेवग्याच्या शेंगा खाऊ शकते का?,"आई, हो! शेवग्याच्या शेंगा सुरक्षित आहेत आणि त्यात लोह, कॅल्शियम आणि जीवनसत्त्वे असतात",drumstick.mp3,"आई, कॅल्शियमयुक्त इतर अन्नपदार्थांबद्दल जाणून घ्यायचे आहे का?",drumstick.mp3,Shu hu garbhavastha darmiyan saragva ni sing khai shaku?,"મમ્મી, હા! સરગવાની શીંગ સુરક્ષિત છે અને તેમાં આયર્ન, કેલ્શિયમ અને વિટામિન્સ હોય છે.","Mammi, haa! Saragva ni sing surakshit chhe ane tema iron, calcium ane vitamins hoy chhe.",drumstick.mp3,"મમ્મી, શું તમે કેલ્શિયમથી ભરપૂર અન્ય ખાદ્ય પદાર્થો વિશે જાણવા માંગો છો?","Mammi, shu tame calcium thi bharpur anya khadya padartho vishe jaanva maango cho?",drumstick trig.mp3
