 ,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voice over,Next Trigger Question (Baby Voice),Next Trigger Question (Baby Voice) Voice over,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil) Voice Over  ,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),0,Next Trigger Question (Marathi),Next Trigger Question (Baby Voice over Marathi),Mother's Question (Gujarathi-Natural),Allobaby Response(Gujarathi - Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Trigger question(Gujarathi-English),Next Trigger Question (Baby Voice over Gujarathi)
pregnancy_food,What should I eat during pregnancy?,"mommy, healthy meals with vegetables, fruits, rice, dal, eggs, and plenty of water help both of us stay strong.",1.mp3,"mommy, shall I suggest a simple daily meal plan for us?",1.mp3,pregnancyல நான் என்னல்லாம் சாப்பிடணும்?,"அம்மா, காய்கறி, பழம், சாதம், பருப்பு, முட்டை, தண்ணீர் நிறைய எடுத்துக்கொண்டா நம்ம இருவரும் ஆரோக்கியமாக இருப்போம்.",1.mp3,"அம்மா, நமக்காக ஒரு simple daily meal plan நான் suggest பண்ணட்டுமா?",pregnancy_food_trig_ta.mp3,प्रेग्नेंसी में मुझे क्या खाना चाहिए?,"मम्मा, vegetables, fruits, dal, rice, eggs और खूब पानी… ये सब हमें दोनों को strong और healthy रखेंगे 💛",pregnancy_food_hi.mp3,"मम्मा, क्या मैं हमारे लिए एक simple daily meal plan suggest करूँ?",pregnancy_food_trig_hi.mp3,pregnancy मध्ये मी काय खायला हवं?,"आई, vegetables, fruits, dal, rice, eggs आणि भरपूर पाणी… हे सगळं आपल्याला दोघांनाही strong आणि healthy ठेवेल 💛",pregnancy_food_ma.mp3,"आई, आपल्या साठी simple daily meal plan suggest करू का?",pregnancy_food_trig_ma.mp3,ગર્ભાવસ્થા દરમિયાન હું શું શું ખાવું જોઈએ?,"શાકભાજી, ફળ, ભાત, દાળ, ઈંડા અને ઘણું પાણી લેશો અમ્મા, તો આપણાં બન્નેનું health સારું રહેશે.","Shakbhaji, fruit, bhat, dal, anda ane ghanu pani lesho amma, to apdanu banne nu health saaru rehse.",pregnancy_food_gu.mp3,"મા, શું હું આપણા માટે simple daily meal plan suggest કરું?","ma, shu hu aapna mate simple daily meal plan suggest karu?",pregnancy_food_trig_gu.mp3
spicy_food,Can I eat spicy food?,"mommy, a little spicy food is okay if it feels comfortable for you. Too much may cause discomfort.",2.mp3,"mommy, would you like to know which foods make me happiest?",2.mp3,காரமான சாப்பாடு சாப்பிடலாமா?,"அம்மா, கொஞ்சம் காரமான சாப்பாடு பரவாயில்லை. அதிக காரம்  சாப்பிட்டா சிரமம் ஏற்படலாம்.",2.mp3,"அம்மா, என்ன happyஆ வைக்கிற foods எது தெரியணுமா?",spicy_food_trig_ta.mp3,क्या मैं spicy food खा सकती हूँ?,"मम्मा, थोड़ा spicy खाना ठीक है अगर आपको comfortable लगे… लेकिन ज़्यादा खाने से discomfort हो सकता है 🌶️",spicy_food_hi.mp3,"मम्मा, क्या आप जानना चाहेंगी कि मुझे कौन-से foods सबसे ज्यादा खुश रखते हैं?",spicy_food_trig_hi.mp3,मी spicy food खाऊ शकते का?,"आई, थोडंसं spicy खाणं ठीक आहे जर तुम्हाला comfortable वाटत असेल… पण जास्त खाल्लं तर त्रास होऊ शकतो 🌶️",spicy_food_ma.mp3,"आई, मला कोणते foods जास्त happy ठेवतात ते जाणून घ्यायचंय का?",spicy_food_trig_ma.mp3,મસાલેદાર ખોરાક ખાઈ શકું?,"થોડું મસાલેદાર ખાશો અમ્મા, તો ચાલે. બહુ વધારે મસાલેદાર ખાશો તો તકલીફ થઈ શકે.","Thodu masaledar khashho amma, to chale. Bahu vadhu masaledar khasho to taklif thai shake.",spicy_food_gu.mp3,"મા, શું તને ખબર છે કે કયા foods મને સૌથી વધારે ખુશ રાખે છે?","ma, shu tane khabar chhe ke kaya foods mane sauthi vadhu khush rakhe chhe?",spicy_food_trig_gu.mp3
skip_meals,Is it okay to skip meals?,"mommy, skipping meals can make you weak. Small regular meals help keep your energy steady.",3.mp3,"mommy, shall I remind you to eat on time?",3.mp3,சாப்பாடு skip பண்ணலாமா?,"அம்மா, சாப்பாடு skip பண்ணினா பலவீனம் வரும். கொஞ்சம் கொஞ்சமாக அடிக்கடி சாப்பிட்டா உடம்பு நல்லா இருக்கும்.",3.mp3,"அம்மா, timeக்கு சாப்பிட நான் remind பண்ணட்டுமா?",skip_meals_trig_ta.mp3,क्या मैं meals skip कर सकती हूँ?,"मम्मा, meals skip करने से आपको weakness हो सकती है… थोड़ा-थोड़ा regular खाना बेहतर रहेगा 🤍",skip_meals_hi.mp3,"मम्मा, क्या मैं आपको टाइम पर खाने के लिए remind करूँ?",skip_meals_trig_hi.mp3,मी जेवण skip करू शकते का?,"आई, जेवण skip केल्याने तुम्हाला weakness येऊ शकते… थोडं-थोडं regular खाणं चांगलं राहील 🤍",skip_meals_ma.mp3,"आई, वेळेवर खायला remind करू का?",skip_meals_trig_ma.mp3,ભોજન skip કરી શકું?,"ખાવાનું skip કરશો અમ્મા, તો નબળાઈ આવશે. થોડું થોડું કરીને વારંવાર ખાશો તો body સારું રહેશે.","Khavanu skip karsho amma, to nablaai avse. Thodu thodu kari ne vaaram vaar khasho to body saari rehse.",skip_meals_gu.mp3,"મા, શું હું તને સમયસર ખાવાનું remind કરું?","ma, shu hu tane samay sar khavanun remind karu?",skip_meals_trig_gu.mp3
water_intake,How much water should I drink?,"mommy, drinking enough water helps your body and keeps both of us healthy.",4.mp3,"mommy, shall I remind you to drink water ?",4.mp3,நான் எவ்வளவு தண்ணீர் குடிக்கணும்?,"அம்மா, போதுமான தண்ணீர் குடித்தா உங்க bodyக்கும் நமக்கும் நல்லது.",4.mp3,"அம்மா, தண்ணீர் குடிக்க நான் remind பண்ணட்டுமா?",water_intake_trig_ta.mp3,मुझे कितना पानी पीना चाहिए?,"मम्मा, enough पानी पीने से आपका शरीर healthy रहेगा… और मैं भी खुश रहूँगा 💧",water_intake_hi.mp3,"मम्मा, क्या मैं आपको पानी पीने के लिए remind करूँ?",water_intake_trig_hi.mp3,मला किती पाणी प्यायला हवं?,"आई, पुरेसं पाणी प्यायल्याने तुमचं शरीर healthy राहील… आणि मी पण आनंदी राहीन 💧",water_intake_ma.mp3,"आई, पाणी प्यायला remind करू का?",water_intake_trig_ma.mp3,હું કેટલું પાણી પીવું જોઈએ?,"પૂરતું પાણી પીશો અમ્મા, તો તમારા body ને પણ અને બેબીને પણ સારું રહેશે.","Purtu pani pivosho amma, to tamara body ne pan ane baby ne pan saaru rehse.",water_intake_gu.mp3,"મા, શું હું તને પાણી પીવાનું remind કરું?","ma, shu hu tane pani pivanu remind karu?",water_intake_trig_gu.mp3
coffee_tea,Can I drink coffee or tea?,"mommy, a little is usually okay, but too much caffeine is not good during pregnancy.",5.mp3,"mommy, would you like healthier drink options for us?",5.mp3,coffee அல்லது tea குடிக்கலாமா?,"அம்மா, கொஞ்சம் coffee அல்லது tea பரவாயில்லை. ஆனால் அதிக caffeine நல்லது இல்லை.",5.mp3,"அம்மா, நமக்காக healthier drink options சொல்லட்டுமா?",coffee_tea_trig_ta.mp3,क्या मैं coffee या tea पी सकती हूँ?,"मम्मा, थोड़ा coffee या tea usually ठीक होता है… लेकिन ज़्यादा caffeine pregnancy में अच्छा नहीं होता ☕",coffee_tea_hi.mp3,"मम्मा, क्या मैं हमारे लिए कुछ healthier drink options बताऊँ?",coffee_tea_trig_hi.mp3,मी coffee किंवा tea पिऊ शकते का?,"आई, थोडी coffee किंवा tea सामान्यतः ठीक असते… पण जास्त caffeine pregnancy मध्ये चांगलं नसतं ☕",coffee_tea_ma.mp3,"आई, आपल्या साठी काही healthier drink options सांगू का?",coffee_tea_trig_ma.mp3,coffee અથવા tea પી શકું?,"થોડું coffee અથવા tea પીશો અમ્મા, તો ચાલે. પણ વધારે caffeine સારું નથી.","Thodu coffee athva tea pivosho amma, to chale. Pan vadhu caffeine saaru nathi.",coffee_tea_gu.mp3,"મા, શું હું આપણા માટે કેટલાક healthier drink options કહું?","ma, shu hu aapna mate ketlak healthier drink options kahu?",coffee_tea_trig_gu.mp3
food_cravings,Why am I craving strange foods?,"mommy, cravings are common during pregnancy because of hormonal changes. It happens to many moms.",6.mp3,"Mommy, can I share some healthier options for your cravings?",6.mp3,ஏன் வித்தியாசமான சாப்பாடு ஆசை வருது?,"அம்மா, hormone மாற்றத்தால் cravings வருவது சாதாரணம். பல அம்மாக்களுக்கும் இப்படித்தான் இருக்கும்.",6.mp3,"அம்மா, cravingsக்கு healthier options சில share பண்ணட்டுமா?",food_cravings_trig_ta.mp3,मुझे अजीब-अजीब खाने की craving क्यों हो रही है?,"मम्मा, pregnancy में hormones बदलते हैं ना… इसलिए cravings आना बहुत common है 😋",food_cravings_hi.mp3,"मम्मा, क्या मैं cravings के लिए कुछ healthier options share करूँ?",food_cravings_trig_hi.mp3,मला वेगवेगळ्या खाण्याची craving का होतेय?,"आई, pregnancy मध्ये hormones बदलतात ना… त्यामुळे cravings येणं खूप सामान्य आहे 😋",food_cravings_ma.mp3,"आई, cravings साठी काही healthier options share करू का?",food_cravings_trig_ma.mp3,શા માટે અલગ અલગ ખાવાની ઈચ્છા થાય છે?,Hormone changes ના કારણે cravings આવવી normal છે અમ્મા. ઘણી મમ્મીઓને આવું થાય છે.,Hormone changes na karane cravings avvi normal chhe amma. Ghani mamiyo ne aavu thay chhe.,food_cravings_gu.mp3,"મા, cravings માટે કેટલાક healthier options share કરું?","ma, cravings mate ketlak healthier options share karu?",food_cravings_trig_gu.mp3
papaya_pineapple,Can I eat papaya or pineapple?,"mommy, it’s best to ask your doctor based on your pregnancy stage. Safe eating depends on your health too.",7.mp3,"mommy, would you like me to help you make a safe food list?",7.mp3,papaya அல்லது pineapple சாப்பிடலாமா?,"அம்மா, pregnancy stageக்கு ஏற்ப doctor கிட்ட கேட்டு சாப்பிடுவது நல்லது.",7.mp3,"அம்மா, safe food list உருவாக்க நான் help பண்ணட்டுமா?",papaya_pineapple_trig_ta.mp3,क्या मैं papaya या pineapple खा सकती हूँ?,"मम्मा, ये आपकी pregnancy stage और health पर depend करता है… डॉक्टर से पूछकर खाना safest रहेगा 🍍",papaya_pineapple_hi.mp3,"मम्मा, क्या मैं आपके लिए एक safe food list बनाने में मदद करूँ?",papaya_pineapple_trig_hi.mp3,मी papaya किंवा pineapple खाऊ शकते का?,"आई, हे तुमच्या pregnancy stage आणि health वर depend करतं… डॉक्टरांना विचारून खाल्लं तर safest राहील 🍍",papaya_pineapple_ma.mp3,"आई, safe food list बनवायला help करू का?",papaya_pineapple_trig_ma.mp3,papaya અથવા pineapple ખાઈ શકું?,"Pregnancy ના stage પ્રમાણે doctor ને પૂછીને ખાવું અમ્મા, સારું રહેશે.","Pregnancy na stage pramane doctor ne puchine khavu amma, saaru rehse.",papaya_pineapple_gu.mp3,"મા, શું હું safe food list બનાવવામાં મદદ કરું?","ma, shu hu safe food list banavva ma madad karu?",papaya_pineapple_trig_gu.mp3
baby_growth_food,What foods help my baby grow?,"mommy, foods with protein, iron, calcium, fruits, and vegetables help me grow strong and healthy.",8.mp3,"mommy, shall I tell you my favorite healthy foods?",8.mp3,baby நல்லா வளர என்ன சாப்பிடணும்?,"அம்மா, protein, iron, calcium, பழம், காய்கறி உள்ள உணவுகள் baby நல்லா வளர உதவும்.",8.mp3,"அம்மா, எனக்கு பிடித்த healthy foods என்னன்னு சொல்லட்டுமா?",baby_growth_food_trig_ta.mp3,मेरे baby की growth के लिए क्या खाना चाहिए?,"मम्मा, protein, iron, calcium, fruits और vegetables मुझे strong और healthy बनने में मदद करेंगे 👶",baby_growth_food_hi.mp3,"मम्मा, क्या मैं आपको बता दूँ कि मुझे कौन-से healthy foods पसंद हैं?",baby_growth_food_trig_hi.mp3,baby चांगलं वाढण्यासाठी काय खायला हवं?,"आई, protein, iron, calcium, fruits आणि vegetables मला strong आणि healthy वाढायला मदत करतील 👶",baby_growth_food_ma.mp3,"आई, मला कोणते healthy foods आवडतात ते सांगू का?",baby_growth_food_trig_ma.mp3,બેબી સારી રીતે વધે માટે શું ખાવું જોઈએ?,"Protein, iron, calcium, fruits અને vegetables વાળું food અમ્મા, બેબી ને સારી રીતે grow થવામાં મદદ કરે છે.","Protein, iron, calcium, fruits ane vegetables valu food amma, baby ne saari rite grow thava ma madad kare chhe.",baby_growth_food_gu.mp3,"મા, શું હું તને કહું કે મને કયા healthy foods ગમે છે?","ma, shu hu tane kahu ke mane kaya healthy foods game chhe?",baby_growth_food_trig_gu.mp3
hungry_often,Why do I feel hungry all the time?,"mommy, your body needs extra energy now because your baby is growing every day.",9.mp3,"mommy, shall I suggest healthy snacks for our little hunger?",9.mp3,ஏன் எப்போவும் பசிச்சிகிட்டே இருக்கு?,"அம்மா, baby தினமும் வளருது, அதனால் bodyக்கு extra energy தேவைப்படுகிறது.",9.mp3,"அம்மா, நம்ம little hungerக்கு healthy snacks suggest பண்ணட்டுமா?",hungry_often_trig_ta.mp3,मुझे हर समय भूख क्यों लग रही है?,"मम्मा, मैं हर दिन grow कर रहा हूँ ना… इसलिए आपके शरीर को extra energy चाहिए 🍎",hungry_often_hi.mp3,"मम्मा, क्या मैं हमारी छोटी भूख के लिए healthy snacks suggest करूँ?",hungry_often_trig_hi.mp3,मला सतत भूक का लागतेय?,"आई, मी रोज वाढतोय ना… त्यामुळे तुमच्या शरीराला extra energy लागते 🍎",hungry_often_ma.mp3,"आई, आपल्या little hunger साठी काही healthy snacks suggest करू का?",hungry_often_trig_ma.mp3,શા માટે હંમેશા ભૂખ લાગી રહે છે?,"બેબી રોજ grow થાય છે અમ્મા, એટલે body ને extra energy જોઈએ છે.","Baby roj grow thay chhe amma, etle body ne extra energy joiye chhe.",hungry_often_gu.mp3,"મા, આપણા little hunger માટે healthy snacks suggest કરું?","ma, aapna little hunger mate healthy snacks suggest karu?",hungry_often_trig_gu.mp3
no_appetite,Is it okay if I don’t feel like eating?,"mommy, sometimes Vomiting can reduce your appetite. Small light meals can help you feel better.",10.mp3,"mommy, shall I suggest foods that feel easier to Digest?",10.mp3,சாப்பிடத் தோணலன்னா இது normalஆ?,"அம்மா, சில நேரம் வாந்தி உணர்வால் சாப்பிட முடியாது. light foods try பண்ணுங்க.",10.mp3,"அம்மா, easyஆ digest ஆகும் foods suggest பண்ணட்டுமா?",no_appetite_trig_ta.mp3,अगर मुझे खाने का मन नहीं करे तो क्या ये normal है?,"मम्मा, कभी-कभी vomiting की वजह से ऐसा हो सकता है… छोटे-छोटे light meals आपको better feel करवाएंगे 🤍",no_appetite_hi.mp3,"मम्मा, क्या मैं ऐसे foods बताऊँ जो आसानी से digest हो जाएँ?",no_appetite_trig_hi.mp3,मला खायची इच्छा नाही झाली तर हे normal आहे का?,"आई, कधी कधी vomiting मुळे असं होऊ शकतं… छोटे-छोटे light meals खाल्ल्यावर तुम्हाला बरं वाटेल 🤍",no_appetite_ma.mp3,"आई, easy digest होणारे foods suggest करू का?",no_appetite_trig_ma.mp3,ખાવાનું મન ન થાય તો આ normal છે?,ક્યારેક ઉબકા કે મન ખરાબ થવાને કારણે ખાઈ નથી શકાતું અમ્મા. Light food try કરો.,Kyarek ubaka ke man kharab thavane karane khai nathi shakai amma. Light food try karo.,no_appetite_gu.mp3,"મા, easy digest થતી foods suggest કરું?","ma, easy digest thati foods suggest karu?",no_appetite_trig_gu.mp3
