Keywords,Question (English) ,Allobaby - English,Allobaby - English voice over,Next Question,Trigger Question Voice Over,Question (Tamil) ,Allobaby - Tamil,Allobaby - Tamil Voice over,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
emergency_symptoms,Which symptoms require immediate consultation with a doctor?,"mommy, some symptoms need quick attention… like heavy bleeding, severe pain, high fever, breathing difficulty, or reduced baby movement. It’s always safer to check early.",1.mp3,Do you want a simple list of danger signs to remember?,1.mp3,எந்த எந்த அறிகுறிகள் வந்தால் உடனே Doctorரை பார்க்கனும்?,"அம்மா, சில அறிகுறிகள் வந்த உடனே டாக்டர பார்க்கணும்… அதிக இரத்தப்போக்கு, கடுமையான வலி, அதிக காய்ச்சல், மூச்சு விட கஷ்டம், குழந்தை அசைவு குறையிற மாதிரி இருந்தா உடனே டாக்டர பார்க்கணும்.",1.mp3,"மம்மி, danger signs நினைவில் வைக்க ஒரு simple list வேண்டுமா?",emergency_symptoms_trig_ta.mp3,कौन से symptoms होने पर तुरंत doctor के पास जाना चाहिए?,"मम्मा, कुछ symptoms को जल्दी attention चाहिए… जैसे heavy bleeding, तेज दर्द, high fever, सांस लेने में तकलीफ़ या baby movement कम होना। जल्दी check करवाना हमेशा safer होता है 🚑",emergency_symptoms_hi.mp3,"मम्मी, क्या danger signs याद रखने की simple list चाहिए?",emergency_symptoms_trig_hi.mp3,कोणती लक्षणं दिसली तर लगेच doctor कडे जावं?,"आई, काही symptoms ना लगेच attention लागते… जसं heavy bleeding, तीव्र वेदना, high fever, श्वास घ्यायला त्रास किंवा baby movement कमी होणं. लवकर check करणं नेहमी safer असतं 🚑",emergency_symptoms_ma.mp3,"आई, danger signs लक्षात ठेवायला simple list हवी का?",emergency_symptoms_trig_ma.mp3,કયા કયા લક્ષણો આવે તો તરત જ ડોક્ટરને બતાવવું જોઈએ?,"મા, કેટલાક લક્ષણો આવે તો તરત ડોક્ટરને બતાવવું જોઈએ… વધારે bleeding, તીવ્ર દુખાવો, વધારે તાવ, શ્વાસ લેવામાં તકલીફ, અથવા બાળકની હલચલ ઓછી લાગે તો તરત હોસ્પિટલ જવું જોઈએ.","mummi, jo tamne koi lakshano dekhay, to tamare tatkalik doctorno sampark karvo joiae... jo tamne vadhare raktastrav thay, tivra dukhavo thay, taav aave, shvas levama taklif thay, athva jo tamarun balak haltun na hoy, to tamare tatkalik hospitalman javu joiae.",emergency_symptoms_gu.mp3,"મમ્મી, danger signs યાદ રાખવા માટે simple list જોઈએ છે?","Mummy, danger signs yaad rakhva mate simple list joie chhe?",emergency_symptoms_trig_gu.mp3
heavy_bleeding_help,What immediate actions should I take if I experience heavy bleeding?,"mommy, heavy bleeding is serious… please go to the hospital immediately and don’t wait. ",2.mp3,Are you able to reach a hospital quickly?,2.mp3,அதிகப்படியான இரத்தப்போக்கு ஏற்பட்டால் நான் உடனடியாக என்ன பண்ணனும்?,"அம்மா, அதிக இரத்தப்போக்கு வந்தா அது அவசரம்… உடனே Hospital போங்க.",2.mp3,"மம்மி, நீங்க உடனே hospitalக்கு போக முடியுமா?",heavy_bleeding_help_trig_ta.mp3,अगर बहुत ज़्यादा bleeding हो तो मुझे तुरंत क्या करना चाहिए?,"मम्मा, heavy bleeding serious हो सकता है… please तुरंत hospital जाओ और इंतज़ार मत करो 🥺",heavy_bleeding_help_hi.mp3,"मम्मी, क्या तुम अभी जल्दी hospital पहुंच सकती हो?",heavy_bleeding_help_trig_hi.mp3,खूप bleeding झालं तर मला लगेच काय करायला हवं?,"आई, heavy bleeding गंभीर असू शकतं… कृपया लगेच hospital ला जा आणि वाट पाहू नका 🥺",heavy_bleeding_help_ma.mp3,"आई, तू लगेच hospital ला जाऊ शकतेस का?",heavy_bleeding_help_trig_ma.mp3,વધારે bleeding થાય તો હું તરત શું કરું?,"મા, વધારે bleeding થાય તો એ emergency છે… સીધા હોસ્પિટલ જજો.","mummi, jo vadhare raktastrav thay, to te katokati chhe... tatkalik hospitalman jao.",heavy_bleeding_help_gu.mp3,"મમ્મી, તું તરત hospital પહોંચી શકે છે?","Mummy, tu tarat hospital pahonchi shake chhe?",heavy_bleeding_help_trig_gu.mp3
dangerous_headache,When does a headache become dangerous?,"mommy, if the headache is very severe, sudden, or comes with blurred vision or swelling, it could be serious. Don’t ignore it.",3.mp3,Are you having any other symptoms with the headache?,3.mp3,எப்போது தலைவலி ஆபத்தான மாறும்?,"அம்மா, தலைவலி ரொம்ப கடுமையாக இருந்தா, பார்வை மங்கல் அல்லது உடல்ல வீக்கமும் சேர்ந்தா அது ஆபத்தாக இருக்கலாம். உடனே கவனிக்கணும்.",3.mp3,"மம்மி, தலைவலி கூட வேற எந்த symptoms இருக்கா?",dangerous_headache_trig_ta.mp3,सिरदर्द कब dangerous माना जाता है?,"मम्मा, अगर headache बहुत तेज हो, अचानक शुरू हो, या blurred vision और swelling के साथ हो, तो इसे ignore मत करना 🤍",dangerous_headache_hi.mp3,"मम्मी, क्या सिरदर्द के साथ कोई और symptoms भी हैं?",dangerous_headache_trig_hi.mp3,डोकेदुखी कधी धोकादायक मानली जाते?,"आई, जर headache खूप तीव्र असेल, अचानक सुरू झाला असेल किंवा blurred vision आणि swelling सोबत असेल, तर त्याकडे दुर्लक्ष करू नका 🤍",dangerous_headache_ma.mp3,"आई, डोकेदुखी सोबत अजून काही symptoms आहेत का?",dangerous_headache_trig_ma.mp3,માથાનો દુખાવો ક્યારે ખતરનાક બને છે?,"મા, બહુ તીવ્ર માથાનો દુખાવો હોય, સાથે vision ધૂંધળી થવી કે શરીરમાં સોજો હોય તો એ ખતરનાક હોઈ શકે છે. તરત ધ્યાન આપવું.","mummi, jo tamne khoob j tivra mathano dukhavo, zankhi drashti, athva sharirma sojo aave, to te khatarnak bani shake chhe. tatkalik dhyan aapo.",dangerous_headache_gu.mp3,"મમ્મી, માથાના દુખાવા સાથે બીજાં કોઈ symptoms છે?","Mummy, matha na dukhava saathe bijaa koi symptoms chhe?",dangerous_headache_trig_gu.mp3
sudden_swelling,What could sudden swelling in the hands or face be a warning sign of?,"mommy, sudden swelling can sometimes be a warning sign, especially if it comes with headache or vision problems. It’s better to check with a doctor.",4.mp3,Did the swelling appear suddenly or gradually?,4.mp3,கைகள் அல்லது முகத்தில் திடீர்னு வீக்கம் வந்தா அது எதுக்கான warning signஆ இருக்கலாம்?,"அம்மா, கைகள் அல்லது முகத்தில் திடீர் வீக்கம் வந்தா அது ஒரு எச்சரிக்கை இருக்கலாம், குறிப்பாக தலைவலி அல்லது பார்வை பிரச்சனை இருந்தா. டாக்டரை பார்க்கணும்.",4.mp3,"மம்மி, swelling திடீர்னு வந்ததா இல்ல மெதுவா வந்ததா?",sudden_swelling_trig_ta.mp3,हाथ या चेहरे पर अचानक सूजन आना किस बात का संकेत हो सकता है?,"मम्मा, अचानक swelling कभी-कभी warning sign हो सकता है… खासकर headache या vision problems के साथ। Doctor से check करवाना बेहतर है 💛",sudden_swelling_hi.mp3,"मम्मी, swelling अचानक आई या धीरे-धीरे बढ़ी?",sudden_swelling_trig_hi.mp3,हात किंवा चेहऱ्यावर अचानक सूज येणं कशाचं warning sign असू शकतं?,"आई, अचानक swelling कधी कधी warning sign असू शकतं… विशेषतः headache किंवा vision problems सोबत असेल तर. Doctor कडे check करणं चांगलं 💛",sudden_swelling_ma.mp3,"आई, swelling अचानक आली की हळूहळू वाढली?",sudden_swelling_trig_ma.mp3,હાથ કે ચહેરા પર અચાનક સોજો આવે તો એ કઈ warning sign હોઈ શકે?,"મા, હાથ કે ચહેરા પર અચાનક સોજો આવે તો એ warning sign હોઈ શકે છે, ખાસ કરીને માથાનો દુખાવો કે vision problem સાથે હોય તો ડોક્ટરને બતાવવું.","mummi, jo tamne achanak tamara haath ke chahera par sojo aave, to te chetavanino sanket hoi shake chhe, khas karine jo teni saathe mathano dukhavo athva drashtini samasya hoy, to tamare doctorne malvun joiae.",sudden_swelling_gu.mp3,"મમ્મી, swelling અચાનક આવી કે ધીમે ધીમે વધ્યો?","Mummy, swelling achanak aavi ke dhime dhime vadho?",sudden_swelling_trig_gu.mp3
reduced_movement,Should I go to the hospital if I feel reduced baby movement?,"mommy, yes… if you feel the baby is moving less than usual, it’s important to get checked immediately.",5.mp3,When did you last feel normal baby movement?,5.mp3,குழந்தை அசைவு குறைவாக இருந்தால் உடனே மருத்துவமனைக்கு போகணுமா?,"அம்மா, ஆம்… குழந்தை அசைவு குறைவாக இருந்தா உடனே Hospital போய் பார்க்கணும்.",5.mp3,"மம்மி, last எப்போ normal baby movement feel பண்ணீங்க?",reduced_movement_trig_ta.mp3,अगर baby movement कम लगे तो क्या तुरंत hospital जाना चाहिए?,"हाँ मम्मा… अगर baby usual से कम move करे, तो तुरंत check करवाना बहुत important है 👶",reduced_movement_hi.mp3,"मम्मी, आखिरी बार baby movement normal कब feel हुआ था?",reduced_movement_trig_hi.mp3,baby movement कमी वाटली तर लगेच hospital ला जावं का?,"हो आई… जर baby नेहमीपेक्षा कमी move करत असेल, तर लगेच check करणं खूप महत्त्वाचं आहे 👶",reduced_movement_ma.mp3,"आई, शेवटचं normal baby movement कधी feel केलं होतंस?",reduced_movement_trig_ma.mp3,બાળકની હલચલ ઓછી થાય તો તરત હોસ્પિટલ જવું જોઈએ?,"મા, હા… બાળકની હલચલ ઓછી લાગે તો તરત હોસ્પિટલ જઈને ચેક કરાવવું જોઈએ.","mummi, haa... jo tamarun balak haltun nathi, to tamare tatkalik hospitalman jaine tapas karavvi joiae.",reduced_movement_gu.mp3,"મમ્મી, છેલ્લે normal baby movement ક્યારે feel થયો હતો?","Mummy, chelle normal baby movement kyare feel thayu hatu?",reduced_movement_trig_gu.mp3
high_fever,Is high fever during pregnancy an emergency?,"mommy, high fever is not something to ignore… it can affect both you and the baby. Please consult a doctor quickly.",6.mp3,How high is your fever right now?,6.mp3,Pregnancy ல அதிக காய்ச்சல் வந்தால் அது Emergency ஆ?,"அம்மா, அதிக காய்ச்சல் வந்தா அதை கவனிக்காமல் இருக்கக்கூடாது… அது உங்களுக்கும் குழந்தைக்கும் பாதிப்பு தரலாம். உடனே டாக்டரை பார்க்கணும்.",6.mp3,"மம்மி, இப்போ காய்ச்சல் எவ்வளவு இருக்கு?",high_fever_trig_ta.mp3,pregnancy में high fever emergency है क्या?,"मम्मा, high fever को ignore नहीं करना चाहिए… ये आप दोनों को affect कर सकता है। जल्दी doctor से मिलो 🌡️",high_fever_hi.mp3,"मम्मी, अभी बुखार कितना है?",high_fever_trig_hi.mp3,pregnancy मध्ये high fever emergency असू शकतो का?,"आई, high fever कडे दुर्लक्ष करू नये… तो तुम्हा दोघांनाही affect करू शकतो. लवकर doctor ना भेटा 🌡️",high_fever_ma.mp3,"आई, आत्ता ताप किती आहे?",high_fever_trig_ma.mp3,pregnancy માં વધારે તાવ આવે તો એ emergency છે?,"મા, વધારે તાવ આવે તો ignore ન કરવો… તે તમને અને બાળકને અસર કરી શકે છે. તરત ડોક્ટરને બતાવવું.","mummi, jo tamne khoob taav aave, to tene avaganasho nahin... te tamne ane tamara balakne asar kari shake chhe. tatkalik doctorne malo.",high_fever_gu.mp3,"મમ્મી, અત્યારે તાવ કેટલો છે?","Mummy, atyare taav ketlo chhe?",high_fever_trig_gu.mp3
continuous_vomiting,Is continuous vomiting a dangerous symptom?,"mommy, occasional vomiting is common… but if it keeps happening and you can’t eat or drink, it needs medical attention.",7.mp3,Are you able to drink fluids properly?,7.mp3,தொடர்ந்து வாந்தி வந்தா அது ஆபத்தா?,"அம்மா, சில நேரம் வாந்தி வருவது சாதாரணம்… ஆனா தொடர்ந்து இருந்தா, சாப்பிட முடியல்னா டாக்டரை பாருங்க.",7.mp3,"மம்மி, நீங்க தண்ணி சரியா குடிக்க முடியுதா?",continuous_vomiting_trig_ta.mp3,लगातार vomiting होना dangerous है क्या?,"मम्मा, थोड़ी vomiting common है… लेकिन अगर लगातार हो और आप खा-पी ना पाओ, तो medical help ज़रूरी है 💧",continuous_vomiting_hi.mp3,"मम्मी, क्या तुम ठीक से पानी पी पा रही हो?",continuous_vomiting_trig_hi.mp3,सतत vomiting होणं धोकादायक आहे का?,"आई, थोडी vomiting सामान्य आहे… पण सतत होत असेल आणि तुम्हाला खाता-पिता येत नसेल, तर medical help गरजेची आहे 💧",continuous_vomiting_ma.mp3,"आई, तू व्यवस्थित पाणी पिऊ शकतेस का?",continuous_vomiting_trig_ma.mp3,લગાતાર ઊલટી થાય તો એ જોખમ છે?,"મા, ક્યારેક ઊલટી થવી સામાન્ય છે… પણ સતત રહે અને ખાવું ન થઈ શકે તો ડોક્ટરને બતાવવું.","mummi, kyarek ultee thavi saamanya chhe... parantu jo te chalu rahe ane tame khaai na shako, to doctorne malo.",continuous_vomiting_gu.mp3,"મમ્મી, તું પૂરતું પાણી પી શકે છે?","Mummy, tu purtu pani pi shake chhe?",continuous_vomiting_trig_gu.mp3
blurred_vision,What should I do if I suddenly experience blurred vision?,"mommy, sudden blurred vision can be serious… please don’t ignore it and consult a doctor immediately.",8.mp3,Are you also having headache or dizziness?,8.mp3,திடீர்னு பார்வை மங்கினால் நான் என்ன செய்ய வேண்டும்?,"அம்மா, திடீர்னு பார்வை மங்கினா அது முக்கியமான அறிகுறி… கவனிக்காமல் விடாதீங்க, உடனே டாக்டரை பாருங்க.",8.mp3,"மம்மி, தலைச்சுற்றல் அல்லது dizziness இருக்கா?",blurred_vision_trig_ta.mp3,अगर अचानक धुंधला दिखने लगे तो क्या करना चाहिए?,"मम्मा, अचानक blurred vision serious हो सकता है… please इसे ignore मत करना और तुरंत doctor से बात करो 🩺",blurred_vision_hi.mp3,"मम्मी, क्या चक्कर या dizziness भी हो रहा है?",blurred_vision_trig_hi.mp3,अचानक धूसर दिसायला लागलं तर काय करावं?,"आई, अचानक blurred vision गंभीर असू शकतं… कृपया त्याकडे दुर्लक्ष करू नका आणि लगेच doctor शी बोला 🩺",blurred_vision_ma.mp3,"आई, चक्कर किंवा dizziness येतोय का?",blurred_vision_trig_ma.mp3,અચાનક નજર ધૂંધળી થઈ જાય તો હું શું કરું?,"મા, અચાનક vision ધૂંધળી થઈ જાય તો એ important warning sign છે… તરત ડોક્ટરને બતાવવું.","mummi, jo tamari drashti achanak zankhi thai jay, to te ek mahatvapurn chetavanino sanket chhe... tatkalik doctorne malo.",blurred_vision_gu.mp3,"મમ્મી, ચક્કર કે dizziness આવે છે?","Mummy, chakkar ke dizziness aave chhe?",blurred_vision_trig_gu.mp3
breathing_emergency,Is difficulty in breathing a dangerous symptom?,"mommy, yes… breathing difficulty is serious. Please seek medical help immediately.",9.mp3,Are you able to breathe comfortably right now?,9.mp3,சுவாசிக்க அல்லது மூச்சுவிட கஷ்டமாக உணர்ந்தால் அது ஆபத்தான அறிகுறியா?, ஆமா அம்மா… மூச்சு விட கஷ்டமா இருந்தா அது ஆபத்தானது. உடனே Hospital போகணும்.,9.mp3,"மம்மி, இப்போ மூச்சு சரியா விட முடியுதா?",breathing_emergency_trig_ta.mp3,सांस लेने में दिक्कत होना dangerous symptom है क्या?,"मम्मा, हाँ… breathing difficulty serious हो सकती है। तुरंत medical help लेना ज़रूरी है 🚑",breathing_emergency_hi.mp3,"मम्मी, क्या अभी ठीक से सांस ले पा रही हो?",breathing_emergency_trig_hi.mp3,श्वास घ्यायला त्रास होणं धोकादायक symptom आहे का?,"आई, हो… breathing difficulty गंभीर असू शकते. लगेच medical help घेणं गरजेचं आहे 🚑",breathing_emergency_ma.mp3,"आई, आत्ता नीट श्वास घेता येतोय का?",breathing_emergency_trig_ma.mp3,શ્વાસ લેવામાં તકલીફ થાય તો એ ખતરનાક લક્ષણ છે?,હા મા… શ્વાસ લેવામાં તકલીફ હોય તો એ ખતરનાક છે. તરત હોસ્પિટલ જવું જોઈએ.,"haa, mummi... jo tamne shvas levama taklif thati hoy, to te khatarnak chhe. tamare tatkalik hospital javu joiae.",breathing_emergency_gu.mp3,"મમ્મી, અત્યારે સારી રીતે શ્વાસ લઈ શકાય છે?","Mummy, atyare saras rite shwas lai shakai chhe?",breathing_emergency_trig_gu.mp3
severe_backpain,Is sudden severe back pain dangerous?,"mommy, sudden severe back pain should not be ignored, especially if it’s strong or continuous. It’s better to check with a doctor.",10.mp3,Is the pain coming and going or constant?,10.mp3,திடீரென கடுமையான முதுகு வலி வந்தால் அது ஆபத்தானதா?,"அம்மா, திடீரென கடுமையான முதுகு வலி வந்தா அதை கவனிக்கணும், குறிப்பாக தொடர்ந்து இருந்தா டாக்டர பார்க்கணும் .",10.mp3,"மம்மி, இந்த வலி இடையிடையா வருதா இல்ல constantஆ இருக்கா?",severe_backpain_trig_ta.mp3,अचानक बहुत तेज़ back pain होना dangerous है क्या?,"मम्मा, अचानक severe back pain को ignore नहीं करना चाहिए… खासकर अगर दर्द बहुत तेज या लगातार हो 🥺",severe_backpain_hi.mp3,"मम्मी, दर्द आता-जाता है या लगातार है?",severe_backpain_trig_hi.mp3,अचानक खूप तीव्र पाठदुखी होणं धोकादायक आहे का?,"आई, अचानक severe back pain कडे दुर्लक्ष करू नये… विशेषतः वेदना खूप तीव्र किंवा सतत असेल तर 🥺",severe_backpain_ma.mp3,"आई, हा त्रास येतो-जातोय की सतत आहे?",severe_backpain_trig_ma.mp3,અચાનક ભારે પીઠનો દુખાવો થાય તો એ જોખમ છે?,"મા, અચાનક ભારે પીઠનો દુખાવો હોય તો ધ્યાન આપવું જોઈએ, ખાસ કરીને સતત રહે તો ડોક્ટરને બતાવવું.","mummi, jo tamne achanak tivra pithno dukhavo thay, to tamare dhyan aapvu joiae, khas karine jo te satat raheto hoy, to tamare doctorne malvun joiae.",severe_backpain_gu.mp3,"મમ્મી, આ દુખાવો આવે છે-જાય છે કે સતત છે?","Mummy, aa dukhavo aave chhe-jaay chhe ke satat chhe?",severe_backpain_trig_gu.mp3
