Keywords,Question (English) ,Allobaby - English,allobaby response English voiceover,Next Question,Next Trigger Question Eng Voiceover,Question (Tamil) ,Allobaby - Tamil,allobaby response tamil voiceover,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
miscarriage_signs,How can I tell if something might be wrong or if I’m having a miscarriage?,"mommy, if you notice symptoms like bleeding, strong pain, or feeling that something isn’t right… it’s important to get checked. Trust your body and don’t ignore these signs.",1.mp3,Are you noticing any specific symptoms right now?,1.mp3,எனக்கு ஏதோ சரியாக இல்லை போலத் தோன்றினால் அல்லது கருச்சிதைவு நடக்கிறதா என்று எப்படி உணரலாம்?,"அம்மா, ரத்தப்போக்கு, கடுமையான வலி அல்லது ஏதோ சரியில்லை போல தோன்றினால் கவனிக்கணும்… உடனே டாக்டரை பார்க்கலாம். உங்க body சொல்லுறதை நம்புங்க.",1.mp3,"அம்மா, இப்போ உங்களுக்கு ஏதாவது குறிப்பிட்ட அறிகுறிகள் தெரிகிறதா?",miscarriage_signs_trig_hi.mp3,"अगर मुझे लगे कि कुछ ठीक नहीं है या miscarriage हो रहा है, तो मैं कैसे समझूँ?","मम्मा, अगर bleeding, तेज दर्द या कुछ गलत महसूस हो… तो इसे ignore मत करना। अपने शरीर की बात सुनो और जल्दी check करवाओ 🥺",miscarriage_signs_hi.mp3,"मम्मी, क्या अभी तुम्हें कोई specific symptoms लग रहे हैं?",miscarriage_signs_trig_hi.mp3,मला काहीतरी बरोबर नाही किंवा miscarriage होत आहे असं वाटलं तर कसं ओळखायचं?,"आई, जर bleeding, तीव्र वेदना किंवा काहीतरी चुकीचं वाटत असेल… तर त्याकडे दुर्लक्ष करू नका. तुमच्या शरीराचं ऐका आणि लवकर check करा 🥺",miscarriage_signs_ma.mp3,"आई, आत्ता तुला काही specific symptoms जाणवत आहेत का?",miscarriage_signs_trig_ma.mp3,મને લાગે છે કે કંઈક ઠીક નથી અથવા miscarriage થઈ રહ્યું છે એવું કેવી રીતે સમજાય?,"મા, જો bleeding, તીવ્ર દુખાવો અથવા કંઈક ખોટું લાગે… તો એને ignore ન કરશો. તમારા શરીરની વાત સાંભળો અને વહેલું check કરાવો 🥺","Ma, jo bleeding, tivra dukhavo athva kai khotu lage… to ene ignore na karsho. Tamaru sharir ni vaat sambhlo ane vahelu check karavo 🥺",miscarriage_signs_gu.mp3,"મમ્મી, અત્યારે તને કોઈ specific symptoms લાગે છે?","Mummy, atyare tane koi specific symptoms lage chhe?",miscarriage_signs_trig_gu.mp3
pregnancy_bleeding,"If I notice any bleeding during pregnancy, what would be the right thing to do?","mommy, any bleeding should be taken seriously… even if it’s light. It’s always safer to consult a doctor and stay calm.",2.mp3,Is the bleeding light or heavy?,2.mp3,"கர்ப்ப காலத்தில் ரத்தப்போக்கு இருந்தால், நான் அமைதியாக என்ன செய்ய வேண்டும்?","அம்மா, கர்ப்ப காலத்தில் எந்த அளவிலான ரத்தப்போக்காக இருந்தாலும் கவனிக்கணும்… லேசானதாயிருந்தாலும் டாக்டரை பார்க்கலாம். அமைதியா இருங்க.",2.mp3,"அம்மா, இரத்தப்போக்கு லைட்டா இருக்கா அல்லது அதிகமா இருக்கா?",pregnancy_bleeding_trig_hi.mp3,pregnancy में bleeding हो तो मुझे क्या करना चाहिए?,"मम्मा, pregnancy में किसी भी तरह की bleeding को seriously लेना चाहिए… चाहे हल्की ही क्यों ना हो। शांत रहो और doctor से जल्दी consult करो 🤍",pregnancy_bleeding_hi.mp3,"मम्मी, bleeding हल्की है या ज्यादा है?",pregnancy_bleeding_trig_hi.mp3,pregnancy मध्ये bleeding झालं तर मला काय करायला हवं?,"आई, pregnancy मध्ये कोणत्याही प्रकारच्या bleeding ला seriously घ्यायला हवं… जरी ती हलकी असली तरी. शांत राहा आणि doctor ना लवकर consult करा 🤍",pregnancy_bleeding_ma.mp3,"आई, bleeding हलकी आहे की जास्त आहे?",pregnancy_bleeding_trig_ma.mp3,pregnancy દરમિયાન bleeding હોય તો હું શાંતિથી શું કરું?,"મા, pregnancyમાં કોઈપણ પ્રકારનું bleeding ગંભીરતાથી લેવું જોઈએ… ભલે હળવું હોય તો પણ. શાંત રહો અને doctorને વહેલું consult કરો 🤍","Ma, pregnancy ma koi pan prakar nu bleeding gambhirta thi levu joie… bhale halvu hoy to pan. Shant raho ane doctor ne vahelu consult karo 🤍",pregnancy_bleeding_gu.mp3,"મમ્મી, bleeding હળવી છે કે વધારે છે?","Mummy, bleeding halvi chhe ke vadhu chhe?",pregnancy_bleeding_trig_gu.mp3
hospital_when,When should I consider going to the hospital if I feel something isn’t right?,"mommy, if you feel something is off, or symptoms like pain, bleeding, or dizziness appear… don’t wait. It’s better to go early and be safe.",3.mp3,What symptoms are you feeling right now?,3.mp3,"ஏதோ சரியாக இல்லையென தோன்றினால், எப்போது மருத்துவமனைக்கு போவது நல்லது?","அம்மா, ஏதோ சரியில்லை போல தோன்றினால், வலி, ரத்தப்போக்கு அல்லது மயக்கம் இருந்தால் காத்திருக்காதீங்க… உடனே மருத்துவமனைக்கு போங்க.",3.mp3,"அம்மா, இப்போ நீங்கள் என்ன அறிகுறிகள் உணர்கிறீர்கள்?",hospital_when_trig_hi.mp3,अगर मुझे लगे कि कुछ ठीक नहीं है तो hospital कब जाना चाहिए?,"मम्मा, अगर दर्द, bleeding, चक्कर या कुछ unusual लगे… तो इंतज़ार मत करो। जल्दी जाना safer होता है 🚑",hospital_when_hi.mp3,"मम्मी, अभी तुम क्या symptoms feel कर रही हो?",hospital_when_trig_hi.mp3,काहीतरी बरोबर नाही असं वाटलं तर hospital ला कधी जावं?,"आई, जर वेदना, bleeding, चक्कर किंवा काही unusual वाटत असेल… तर वाट पाहू नका. लवकर जाणं safer असतं 🚑",hospital_when_ma.mp3,"आई, आत्ता तू काय symptoms feel करते आहेस?",hospital_when_trig_ma.mp3,કંઈક ઠીક નથી એવું લાગે તો ક્યારે હોસ્પિટલ જવું સારું?,"મા, જો દુખાવો, bleeding, ચક્કર અથવા કંઈ unusual લાગે… તો રાહ ન જુઓ. વહેલું જવું વધારે safe છે 🚑","Ma, jo dukhavo, bleeding, chakkar athva kai unusual lage… to rah na juvo. Vahelu javu vadhu safe chhe 🚑",hospital_when_gu.mp3,"મમ્મી, અત્યારે તું શું symptoms feel કરે છે?","Mummy, atyare tu shu symptoms feel kare chhe?",hospital_when_trig_gu.mp3
recovery_warning,"After a miscarriage, what symptoms should I not ignore and get checked immediately?","mommy, please don’t ignore heavy bleeding, high fever, foul-smelling discharge, or severe pain. These need immediate medical care.",4.mp3,Are you experiencing any of these symptoms now?,4.mp3,கருச்சிதைவுக்கு பிறகு எந்த அறிகுறிகளை கவனிக்காமல் விடக்கூடாது?,"அம்மா, அதிக இரத்தப்போக்கு, அதிக காய்ச்சல், துர்நாற்றம் உள்ள வெளியேற்றம், கடுமையான வலி இருந்தா கவனிக்காம விடாதீங்க… உடனே டாக்டரை பார்க்கணும்.",4.mp3,"அம்மா, இப்போ இந்த அறிகுறிகள் உங்களுக்கு இருக்கிறதா?",recovery_warning_trig_hi.mp3,miscarriage के बाद कौन से symptoms को ignore नहीं करना चाहिए?,"मम्मा, heavy bleeding, high fever, bad-smelling discharge या severe pain को ignore मत करना… इन्हें तुरंत medical care चाहिए 🩺",recovery_warning_hi.mp3,"मम्मी, क्या अभी ये symptoms तुम्हें हो रहे हैं?",recovery_warning_trig_hi.mp3,miscarriage नंतर कोणती लक्षणं दुर्लक्ष करू नयेत?,"आई, heavy bleeding, high fever, bad-smelling discharge किंवा severe pain कडे दुर्लक्ष करू नका… त्यांना त्वरित medical care लागते 🩺",recovery_warning_ma.mp3,"आई, आत्ता हे symptoms तुला होत आहेत का?",recovery_warning_trig_ma.mp3,miscarriage પછી કયા લક્ષણોને ignore ન કરવા જોઈએ?,"મા, heavy bleeding, high fever, bad-smelling discharge અથવા severe pain ને ignore ન કરશો… તેને તરત medical care જોઈએ 🩺","Ma, heavy bleeding, high fever, bad-smelling discharge athva severe pain ne ignore na karsho… tene tarat medical care joiye 🩺",recovery_warning_gu.mp3,"મમ્મી, અત્યારે આ symptoms તને થાય છે?","Mummy, atyare aa symptoms tane thay chhe?",recovery_warning_trig_gu.mp3
recovery_time,"After a miscarriage, how long does it usually take for my body to feel normal again?","mommy, your body usually takes a few weeks to recover… but everyone is different. Give yourself time and rest gently",5.mp3,Would you like to know how to support your recovery?,5.mp3,"கருச்சிதைவுக்கு பிறகு, என் உடல் மீண்டும் பழைய நிலைக்கு வர பொதுவாக எவ்வளவு நேரம் ஆகும்?","அம்மா, உடல் மீண்டும் சீராக ஆக சில வாரங்கள் ஆகலாம்… ஒவ்வொருவருக்கும் வேறுபடும். மெதுவாக ஓய்வு எடுத்துக்கொள்ளுங்க.",5.mp3,"அம்மா, குணமடைவதற்கு என்ன மாதிரி உதவி வேண்டும் என்று தெரிஞ்சுக்கலாமா?",recovery_time_trig_hi.mp3,miscarriage के बाद शरीर को normal होने में कितना समय लगता है?,"मम्मा, शरीर को ठीक होने में कुछ हफ्ते लग सकते हैं… हर किसी का recovery अलग होता है। खुद को थोड़ा समय और आराम दो 🤍",recovery_time_hi.mp3,"मम्मी, क्या recovery के लिए किसी मदद की जरूरत है?",recovery_time_trig_hi.mp3,miscarriage नंतर शरीर normal व्हायला किती वेळ लागतो?,"आई, शरीराला recover व्हायला काही आठवडे लागू शकतात… प्रत्येकाची recovery वेगळी असते. स्वतःला थोडा वेळ आणि आराम द्या 🤍",recovery_time_ma.mp3,"आई, recovery साठी काही help हवी आहे का?",recovery_time_trig_ma.mp3,miscarriage પછી શરીર ફરી normal થવામાં સામાન્ય રીતે કેટલો સમય લાગે?,"મા, શરીરને recover થવામાં થોડા અઠવાડિયા લાગી શકે છે… દરેકની recovery અલગ હોય છે. પોતાને થોડો સમય અને આરામ આપો 🤍","Ma, sharir ne recover thavama thoda athvadiya lagi shake chhe… darek ni recovery alag hoy chhe. Potane thodu samay ane aaram aapo 🤍",recovery_time_gu.mp3,"મમ્મી, recovery માટે કોઈ help જોઈએ છે?","Mummy, recovery mate koi help joie chhe?",recovery_time_trig_gu.mp3
recovery_cramps,Is it normal to have some pain or cramping after a miscarriage?,"mommy, yes… mild pain or cramping can be normal as your body heals. But if it becomes severe, please consult a doctor.",6.mp3,Is the pain mild or getting stronger?,6.mp3,சிறிது வலி அல்லது பிடிப்பு இருப்பது சாதாரணமா?,"அம்மா, ஆம்… லேசான வலி அல்லது பிடிப்பு சாதாரணம். ஆனா அது கடுமையாக இருந்தா டாக்டரை பார்க்கணும்.",6.mp3,"அம்மா, வலி லேசா இருக்கா இல்ல இன்னும் அதிகமாகுதா?",recovery_cramps_trig_hi.mp3,क्या miscarriage के बाद हल्का दर्द या cramping normal है?,"मम्मा, हाँ… शरीर heal होते समय हल्का pain या cramping हो सकता है। लेकिन अगर बहुत ज़्यादा हो, तो doctor से मिलो 🥺",recovery_cramps_hi.mp3,"मम्मी, दर्द हल्का है या बढ़ रहा है?",recovery_cramps_trig_hi.mp3,miscarriage नंतर हलका दुखणं किंवा cramping normal आहे का?,"आई, हो… शरीर heal होत असताना हलकं दुखणं किंवा cramping होऊ शकतं. पण खूप जास्त असेल तर doctor ना भेटा 🥺",recovery_cramps_ma.mp3,"आई, pain हलका आहे की वाढतोय?",recovery_cramps_trig_ma.mp3,થોડો દુખાવો કે cramp થવો normal છે?,"મા, હા… શરીર heal થતું હોય ત્યારે હળવો દુખાવો અથવા cramping થઈ શકે છે. પણ બહુ વધારે હોય તો doctorને મળો 🥺","Ma, ha… sharir heal thato hoy tyare halvo dukhavo athva cramping thai shake chhe. Pan bahu vadhu hoy to doctor ne maljo 🥺",recovery_cramps_gu.mp3,"મમ્મી, દુખાવો હળવો છે કે વધી રહ્યો છે?","Mummy, dukhavo halvo chhe ke vadhi rahyo chhe?",recovery_cramps_trig_gu.mp3
recovery_care,What are some gentle ways I can take care of myself during recovery?,"mommy, take rest, eat nourishing food, drink enough fluids, and talk to someone you trust. Be kind to yourself during this time.",7.mp3,Want a simple daily routine for recovery?,7.mp3,இந்த நேரத்தில் என்னை மெதுவாக எப்படி கவனித்துக்கொள்ளலாம்?,"அம்மா, நல்லா ஓய்வு எடுத்துக்கொள்ளுங்க, சத்தான உணவு சாப்பிடுங்க, தண்ணீர் குடிங்க, நம்பிக்கையுள்ள யாரிடமாவது பேசுங்க. உங்களை மெதுவாக கவனிச்சுக்கொள்ளுங்க.",7.mp3,"அம்மா, குணமடைவதற்கு ஒரு சிம்பிள் தினசரி ரோட்டீன் வேண்டுமா?",recovery_care_trig_hi.mp3,recovery के दौरान मैं अपना ध्यान कैसे रखूँ?,"मम्मा, आराम करो, अच्छा खाना खाओ, fluids पियो और किसी भरोसे वाले इंसान से बात करो। इस समय खुद के साथ नरमी से रहो 💕",recovery_care_hi.mp3,"मम्मी, क्या recovery के लिए simple daily routine चाहिए?",recovery_care_trig_hi.mp3,recovery दरम्यान स्वतःची काळजी कशी घ्यावी?,"आई, आराम करा, चांगलं खा, fluids प्या आणि विश्वासू व्यक्तीशी बोला. या काळात स्वतःशी प्रेमाने वागा 💕",recovery_care_ma.mp3,"आई, recovery साठी simple daily routine हवी का?",recovery_care_trig_ma.mp3,આ સમયે મારી કાળજી ધીમે કેવી રીતે રાખવી?,"મા, આરામ કરો, સારું ખાઓ, fluids પીવો અને કોઈ વિશ્વાસુ વ્યક્તિ સાથે વાત કરો. આ સમયે પોતાને પ્રેમથી રાખો 💕","Ma, aaram karo, saaru khao, fluids pivo ane koi vishvasu vyakti sathe vaat karo. Aa samay potane prem thi rakho 💕",recovery_care_gu.mp3,"મમ્મી, recovery માટે simple daily routine જોઈએ છે?","Mummy, recovery mate simple daily routine joie chhe?",recovery_care_trig_gu.mp3
pregnancy_again,When would it be safe to think about trying for pregnancy again?,"mommy, it’s usually advised to wait until your body and mind feel ready… and after talking to your doctor. Don’t rush.",8.mp3,Would you like to know signs that your body is ready?,8.mp3,மீண்டும் கர்ப்பம் முயற்சிக்க எப்போது பாதுகாப்பாக இருக்கும்?,"அம்மா, உடலும் மனமும் தயாராக இருக்கும் வரை காத்திருக்கணும்… டாக்டரிடம் ஆலோசனை எடுத்த பிறகு தான் முயற்சிக்கலாம். அவசரப்படாதீங்க.",8.mp3,"அம்மா, உடல் ரெடியா ஆகுறதைக் காட்டும் அறிகுறிகள் தெரிஞ்சுக்கலாமா?",pregnancy_again_trig_hi.mp3,दोबारा pregnancy try करना कब safe होगा?,"मम्मा, जब आपका शरीर और मन दोनों ready महसूस करें… और doctor से बात हो जाए, तब धीरे-धीरे सोच सकते हो। जल्दी मत करो 🤍",pregnancy_again_hi.mp3,"मम्मी, क्या शरीर के ready होने के signs जानने हैं?",pregnancy_again_trig_hi.mp3,पुन्हा pregnancy try करणं कधी safe असेल?,"आई, जेव्हा तुमचं शरीर आणि मन दोन्ही ready वाटतील… आणि doctor शी बोलणं होईल, तेव्हा हळूहळू विचार करू शकता. घाई करू नका 🤍",pregnancy_again_ma.mp3,"आई, body ready होत असल्याची signs जाणून घ्यायची आहेत का?",pregnancy_again_trig_ma.mp3,ફરીથી pregnancy try કરવું ક્યારે safe છે?,"મા, જ્યારે તમારું શરીર અને મન બંને ready લાગે… અને doctor સાથે વાત થઈ જાય, ત્યારે ધીમે ધીમે વિચાર કરી શકો. ઉતાવળ ન કરશો 🤍","Ma, jyare tamaru sharir ane man banne ready lage… ane doctor sathe vaat thai jai, tyare dhime dhime vichar kari shako. Utavali na karsho 🤍",pregnancy_again_gu.mp3,"મમ્મી, body ready થવાના signs જાણવા છે?","Mummy, body ready thavana signs jaanva chhe?",pregnancy_again_trig_gu.mp3
emotional_changes,Are emotional ups and downs normal after a miscarriage?,"mommy, yes… it’s completely normal to feel sad, confused, or overwhelmed. Your feelings are valid.",9.mp3,Do you want to talk about how you’re feeling?,9.mp3,மனதில் ஏற்ற இறக்கங்கள் வருவது சாதாரணமா?,"அம்மா, ஆம்… மனதில் ஏற்ற இறக்கங்கள் வருவது மிகவும் சாதாரணம். துக்கம், குழப்பம் எல்லாம் உணர்வது சரிதான்.",9.mp3,"அம்மா, இப்போ உங்கள் உணர்வுகளைப் பற்றி பேசலாமா?",emotional_changes_trig_hi.mp3,miscarriage के बाद emotions बदलना normal है?,"मम्मा, हाँ… उदासी, confusion या overwhelmed feel करना पूरी तरह normal है। आपकी feelings important हैं 🥺",emotional_changes_hi.mp3,"मम्मी, क्या तुम अपनी feelings के बारे में बात करना चाहती हो?",emotional_changes_trig_hi.mp3,miscarriage नंतर emotions बदलणं normal आहे का?,"आई, हो… दुःख, confusion किंवा overwhelmed वाटणं पूर्णपणे normal आहे. तुमच्या feelings महत्त्वाच्या आहेत 🥺",emotional_changes_ma.mp3,"आई, तुझ्या feelings बद्दल बोलायचं आहे का?",emotional_changes_trig_ma.mp3,મનના mood બદલાતા રહે એ normal છે?,"મા, હા… દુઃખ, confusion અથવા overwhelmed લાગવું સંપૂર્ણ રીતે normal છે. તમારી લાગણીઓ મહત્વની છે 🥺","Ma, ha… dukh, confusion athva overwhelmed lagvu sampurna rite normal chhe. Tamari laganio mahatvni chhe 🥺",emotional_changes_gu.mp3,"મમ્મી, તારી feelings વિશે વાત કરવી છે?","Mummy, tari feelings vishe vaat karvi chhe?",emotional_changes_trig_gu.mp3
weak_afterwards,Is it common to feel tired or weak for some time afterward?,"mommy, yes… your body has gone through a lot. Feeling tired or weak for some time is normal. Give yourself rest.",10.mp3,Are you able to rest well these days?,10.mp3,சில நாட்கள் சோர்வாக அல்லது பலவீனமாக உணர்வது சாதாரணமா?,"அம்மா, ஆம்… உங்க உடல் நிறைய மாற்றங்கள் பார்த்திருக்குது. சில நாட்கள் சோர்வா இருப்பது சாதாரணம். ஓய்வு எடுத்துக்கொள்ளுங்க.",10.mp3,"அம்மா, நீங்கள் நல்லா ஓய்வு எடுத்திருக்கீங்களா?",weak_afterwards_trig_hi.mp3,क्या कुछ समय तक थकान या कमजोरी महसूस होना normal है?,"मम्मा, हाँ… आपके शरीर ने बहुत कुछ सहा है। कुछ समय तक tired या weak feel होना normal है। थोड़ा आराम करो 💛",weak_afterwards_hi.mp3,"मम्मी, क्या तुम ठीक से rest ले पा रही हो?",weak_afterwards_trig_hi.mp3,काही दिवस थकवा किंवा कमजोरी जाणवणं normal आहे का?,"आई, हो… तुमच्या शरीराने खूप काही सहन केलं आहे. काही दिवस tired किंवा weak वाटणं normal आहे. थोडा आराम करा 💛",weak_afterwards_ma.mp3,"आई, तू नीट rest घेते आहेस का?",weak_afterwards_trig_ma.mp3,કેટલાક દિવસો થાક અથવા weakness લાગવી normal છે?,"મા, હા… તમારા શરીરે ઘણું સહન કર્યું છે. થોડા દિવસો થાક અથવા weakness લાગવું normal છે. થોડો આરામ કરો 💛","Ma, ha… tamara sharire ghanu sahen karyu chhe. Thoda divas thaak athva weakness lagvu normal chhe. Thodu aaram karo 💛",weak_afterwards_gu.mp3,"મમ્મી, તું સારી રીતે rest લઈ રહી છે?","Mummy, tu sari rite rest lai rahi chhe?",weak_afterwards_trig_gu.mp3
