Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby - English voice over,Next Trigger Question (Baby Voice),Next Trigger Question Voice over,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil) Voice Over,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
labor_signs,How do I know labor has started?,"mommy, continuous contractions and lower abdomen pain are common signs. Sometimes water may break too.",1.mp3,"mommy, would you like me to understand contraction timing?",1.mp3,எப்படி எனக்கு labor start ஆயிருச்சுனு தெரியும்?,"அம்மா, continuous ஆ வரும் வலி, கீழ் வயிற்று tight ஆகுறது, சில நேரம் water break ஆகுறது இது எல்லாம் labor signs தான்.",1.mp3,"அம்மா, contraction timing எப்படி கணக்கிடணும்னு நான் சொல்லட்டுமா?",labor_signs_trig_ta.mp3,मुझे कैसे पता चलेगा कि labor शुरू हो गया है?,"मम्मा, लगातार contractions और नीचे पेट में दर्द labor के common signs हैं… कभी-कभी पानी भी निकल सकता है 👶",labor_signs_hi.mp3,"मम्मी, क्या मैं आपको बता दूँ कि contraction का timing कैसे calculate करते हैं?",labor_signs_trig_hi.mp3,labor सुरू झालंय हे मला कसं कळेल?,"आई, सतत contractions आणि खालच्या पोटात दुखणं हे labor चे common signs आहेत… कधी कधी पाणीही जाऊ शकतं 👶",labor_signs_ma.mp3,"आई, contraction timing कसा मोजायचा ते मी सांगू का?",labor_signs_trig_ma.mp3,મને કેવી રીતે ખબર પડે કે labor શરૂ થઈ ગયું છે?,"મા, સતત contractions અને નીચેના પેટમાં દુખાવો એ labor ના common signs છે… ક્યારેક પાણી પણ જઈ શકે છે 👶","Ma, satat contractions ane niche na pet ma dukhavo ae labor na common signs chhe… kyarek pani pan jai shake chhe 👶",labor_signs_gu.mp3,"મા, contraction timing કેમ માપવો એ હું સમજાવું શું?","Ma, shu hu tamne contraction timing kem mapvu e samjhau shu?",labor_signs_trig_gu.mp3
hospital_timing,When should I go to the hospital?,"mommy, if contractions are regular every 5–10 minutes or water breaks, you should go to the hospital immediately",2.mp3,"mommy, shall I help you decide the right time to leave?",2.mp3,எப்போ நான் hospital போகணும்?,"அம்மா, 5 to 10 நிமிஷத்துக்கு ஒருமுறை pain வந்தா இல்ல water break ஆன உடனே hospital போங்க மா",2.mp3,"அம்மா, hospital-க்கு சரியான நேரத்துல எப்போ கிளம்பணும்னு decide பண்ண நான் help பண்ணட்டுமா?",hospital_timing_trig_ta.mp3,मुझे hospital कब जाना चाहिए?,"मम्मा, अगर contractions हर 5–10 मिनट में regular आने लगें या पानी निकल जाए, तो तुरंत hospital जाओ 🚑",hospital_timing_hi.mp3,"मम्मी, क्या मैं बताऊँ कि hospital कब जाना सही रहेगा ये decide कैसे करें?",hospital_timing_trig_hi.mp3,मला hospital ला कधी जायला हवं?,"आई, जर contractions प्रत्येक 5–10 मिनिटांनी regular येत असतील किंवा पाणी गेलं असेल, तर लगेच hospital ला जा 🚑",hospital_timing_ma.mp3,"आई, हॉस्पिटलला कधी जायचं हे योग्य वेळ कसा ओळखायचा ते मी सांगू का?",hospital_timing_trig_ma.mp3,મારે ક્યારે હોસ્પિટલ જવું જોઈએ?,"મા, જો contractions દરેક 5–10 મિનિટે નિયમિત આવે છે અથવા પાણી જઈ ગયું હોય, તો તરત જ hospital જાઓ 🚑","Ma, jo contractions darek 5–10 minute e regular ave chhe athva pani jai gayu hoy, to tarat j hospital jajo 🚑",hospital_timing_gu.mp3,"મા, હોસ્પિટલ ક્યારે જવું એ સાચો સમય કેવી રીતે ઓળખવો એ હું કહું શું?","Ma, shu hu tamne kahu ke hospital kyare javu eno sacho samay kem olkhaay?",hospital_timing_trig_gu.mp3
hospital_bag,What should I pack for the hospital?,"mommy, pack clothes, baby items, diapers, medical records, and basic toiletries.",3.mp3,"mommy, would you like a simple hospital bag checklist?",3.mp3,நான் hospitalக்குHospitalக்கு என்னெல்லாம் எடுத்துக்கிட்டு போகணும்?,"அம்மா, clothes, baby dress, diapers, medical records, toiletries எல்லாம் readyஆ pack பண்ணிக்கோங்க மா.",3.mp3,"அம்மா, ஒரு simple hospital bag checklist வேண்டுமா?",hospital_bag_trig_ta.mp3,hospital के लिए क्या pack करना चाहिए?,"मम्मा, clothes, baby items, diapers, medical records और basic toiletries ready रखना 👜",hospital_bag_hi.mp3,"मम्मी, एक simple hospital bag checklist चाहिए क्या?",hospital_bag_trig_hi.mp3,hospital साठी काय pack करायला हवं?,"आई, clothes, baby items, diapers, medical records आणि basic toiletries तयार ठेवा 👜",hospital_bag_ma.mp3,"आई, एक simple hospital bag checklist हवी का?",hospital_bag_trig_ma.mp3,હોસ્પિટલ જતાં સમયે શું શું લઈને જવું જોઈએ?,"મા, clothes, baby items, diapers, medical records અને basic toiletries તૈયાર રાખો 👜","Ma, clothes, baby items, diapers, medical records ane basic toiletries taiyar rakho 👜",hospital_bag_gu.mp3,"મા, એક simple hospital bag checklist જોઈએ છે શું?","Ma, shu tamne ek simple hospital bag checklist joiye chhe?",hospital_bag_trig_gu.mp3
delivery_pain,Will delivery be very painful?a,"mommy, yes there will be pain, but your body will able to handle it, and doctors will support you.",4.mp3,"mommy, shall I share ways to manage labor pain?",4.mp3,டெலிவரி ரொம்ப painfulஆ இருக்குமா?,"அம்மா, pain இருக்கும், ஆனா உங்க body அதைக் handle பண்ணிரும்; doctors help பண்ணுவாங்க அம்மா",4.mp3,"அம்மா, labor pain manage பண்ண சில வழிகள் சொல்லட்டுமா?",delivery_pain_trig_ta.mp3,क्या delivery बहुत painful होगी?,"मम्मा, हाँ… pain होगा, लेकिन आपका शरीर इसे handle कर सकता है। Doctors भी आपके साथ रहेंगे 🤍",delivery_pain_hi.mp3,"मम्मी, labor pain manage करने के कुछ तरीके बताऊँ क्या?",delivery_pain_fear_trig_hi.mp3,delivery खूप painful असेल का?,"आई, हो… pain होईल, पण तुमचं शरीर ते handle करू शकतं. Doctors पण तुमच्यासोबत असतील 🤍",delivery_pain_ma.mp3,"आई, labor pain manage करण्याचे काही सोपे उपाय सांगू का?",delivery_pain_trig_ma.mp3,ડિલિવરી બહુ દુખાવાવાળી હશે?,"મા, હા… દુખાવો થશે, પણ તમારું શરીર એ handle કરી શકે છે. Doctors પણ તમારી સાથે રહેશે 🤍","Ma, ha… dukhavo thase, pan tamaru sharir ae handle kari shake chhe. Doctors pan tamari sathe raheshe 🤍",delivery_pain_gu.mp3,"મા, labor pain manage કરવા માટે થોડા સરળ ઉપાય કહું શું?","Ma, shu hu labor pain manage karva mate thoda saral upay kahu?",delivery_pain_trig_gu.mp3
delivery_emergency,What are the signs of emergency?,"mommy, heavy bleeding, low baby movement, or severe pain needs immediate doctor attention",5.mp3,"mommy, would you like me to list emergency signs clearly?",5.mp3,என்ன symptoms வந்தா emergencyனு நினைக்கணும்?,"அம்மா, அதிக bleeding, baby movement கம்மியா இருந்தா, severe pain இருந்தா உடனே doctor கிட்ட போங்க மா",5.mp3,"அம்மா, emergency signs என்னன்னு clear-ஆ சொல்லட்டுமா?",delivery_emergency_trig_ta.mp3,कौन से symptoms emergency माने जाते हैं?,"मम्मा, heavy bleeding, baby movement कम होना या बहुत तेज pain को तुरंत doctor को दिखाना चाहिए 🩺",delivery_emergency_hi.mp3,"मम्मी, emergency signs क्या होते हैं वो clearly बता दूँ क्या?",delivery_emergency_trig_hi.mp3,कोणती symptoms emergency मानली जातात?,"आई, heavy bleeding, baby movement कमी होणं किंवा खूप तीव्र pain असेल तर लगेच doctor ना दाखवा 🩺",delivery_emergency_ma.mp3,"आई, emergency signs काय असतात ते स्पष्ट सांगू का?",delivery_emergency_trig_ma.mp3,કયા symptoms આવે તો એને emergency માનવું જોઈએ?,"મા, heavy bleeding, baby movement ઓછું થવું અથવા બહુ તેજ દુખાવો હોય તો તરત doctor ને બતાવો 🩺","Ma, heavy bleeding, baby movement ochhu thavu athva bahu tej dukhavo hoy to tarat doctor ne batavo 🩺",delivery_emergency_gu.mp3,"મા, emergency signs શું હોય છે એ સ્પષ્ટ કહી દઉં શું?","Ma, shu hu emergency signs shu hoy chhe e spashṭ rite samjhau?",delivery_emergency_trig_gu.mp3
hospital_documents,What documents should I carry?,"mommy, carry all medical reports, scan reports, and ID proof.",6.mp3,"mommy, shall I give a checklist for documents?",6.mp3,என்ன documents எல்லாம் எடுத்துட்டு போகணும்?,"அம்மா, medical reports, scan reports, ID proof எல்லாம் எடுத்துக்கோங்க.",6.mp3,"அம்மா, documents checklist வேண்டுமா?",hospital_documents_trig_ta.mp3,मुझे कौन-कौन से documents साथ ले जाने चाहिए?,"मम्मा, सारे medical reports, scan reports और ID proof साथ रखना 📄",hospital_documents_hi.mp3,"मम्मी, documents की checklist चाहिए क्या?",hospital_documents_trig_hi.mp3,कोणते documents सोबत घ्यायला हवेत?,"आई, सगळे medical reports, scan reports आणि ID proof सोबत ठेवा 📄",hospital_documents_ma.mp3,"आई, documents ची checklist हवी का?",hospital_documents_trig_ma.mp3,કયા documents લઈને જવા જોઈએ?,"મા, બધા medical reports, scan reports અને ID proof સાથે રાખજો 📄","Ma, badha medical reports, scan reports ane ID proof sathe rakho 📄",hospital_documents_gu.mp3,"મા, documents ની checklist જોઈએ છે શું?","Ma, shu tamne documents ni checklist joiye chhe?",hospital_documents_trig_gu.mp3
before_hospital,What should I do before leaving for hospital?,"Check your bag, keep documents ready and handle calmly  ",7.mp3,Would you like a quick leaving checklist?,7.mp3,Hospital போறதுக்கு முன்னாடி என்ன பண்ணணும்?,"அம்மா, bag check பண்ணுங்க, documents எடுத்துக்கோங்க, calmஆ handle பண்ணுங்க மா",7.mp3,Quick-ஆ hospital-க்கு கிளம்புற checklist வேண்டுமா?,before_hospital_trig_ta.mp3,hospital जाने से पहले मुझे क्या करना चाहिए?,"मम्मा, अपना bag check करो, documents ready रखो और जितना हो सके calm रहो 💛",before_hospital_hi.mp3,Quick hospital जाने के लिए एक checklist चाहिए क्या?,before_hospital_trig_hi.mp3,hospital ला जाण्यापूर्वी काय करावं?,"आई, तुमची bag check करा, documents ready ठेवा आणि शक्य तितकं calm राहा 💛",before_hospital_ma.mp3,Quick हॉस्पिटलला जाण्यासाठी checklist हवी का?,before_hospital_trig_ma.mp3,હોસ્પિટલ જતાં પહેલા શું કરવું જોઈએ?,"મા, તમારું bag ચેક કરો, documents ready રાખો અને શક્ય હોય તો calm રહો 💛","Ma, tamaru bag check karo, documents ready rakho ane shaky hoy to calm raho 💛",before_hospital_gu.mp3,Quick hospital જવા માટે checklist જોઈએ છે શું?,Quick hospital java mate checklist joiye chhe?,before_hospital_trig_gu.mp3
emergency_contacts,Should I keep emergency numbers ready?,"mommy, yes, keep doctor, ambulance, and family contacts easily accessible.",8.mp3,"mommy, shall I help you organize contacts?",8.mp3,Emergency numbers readyஆ வச்சுக்கணுமா?,"அம்மா, doctor, ambulance, family numbers எல்லாம் easyஆ கிடைக்குற மாதிரி வைத்துக்கோங்க.அம்மா",8.mp3,"அம்மா, contacts organize பண்ண help பண்ணட்டுமா?",emergency_contacts_trig_ta.mp3,क्या emergency numbers ready रखना चाहिए?,"मम्मा, हाँ… doctor, ambulance और family contacts आसानी से मिल जाएँ ऐसे ready रखना 📱",emergency_contacts_hi.mp3,"मम्मी, contacts organize करने में help करूँ क्या?",emergency_contacts_trig_hi.mp3,emergency numbers ready ठेवायला हवेत का?,"आई, हो… doctor, ambulance आणि family contacts सहज मिळतील असे ready ठेवा 📱",emergency_contacts_ma.mp3,"आई, contacts organize करायला help करू का?",emergency_contacts_trig_ma.mp3,Emergency numbers તૈયાર રાખવા જોઈએ?,"મા, હા… doctor, ambulance અને family contacts સરળતાથી મળે એ રીતે ready રાખો 📱","Ma, ha… doctor, ambulance ane family contacts saral rite male ae rite ready rakho 📱",emergency_contacts_gu.mp3,"મા, contacts organize કરવામાં help કરું શું?","Ma, shu hu contacts organize karva ma help karu?",emergency_contacts_trig_gu.mp3
night_labor,What if labor starts at night?,"Don’t panic, go to hospital immediately and inform your doctor.",9.mp3,Would you like a night-time emergency plan?,9.mp3,Nightல labor start ஆயிட்டா என்ன பண்ணணும்?,"அம்மா பயப்படாதீங்க, உடனே hospital போய் doctorக்கு Inform பண்ணுங்க.",9.mp3,Night time emergency plan வேண்டுமா?,night_labor_trig_ta.mp3,अगर रात में labor शुरू हो जाए तो क्या करूँ?,"मम्मा, panic मत करो… तुरंत hospital जाओ और doctor को inform करो 🌙",night_labor_hi.mp3,Night time emergency plan बनाना है क्या?,night_labor_trig_hi.mp3,रात्री labor सुरू झालं तर काय करावं?,"आई, panic होऊ नका… लगेच hospital ला जा आणि doctor ना inform करा 🌙",night_labor_ma.mp3,Night time emergency plan बनवायचा आहे का?,night_labor_trig_ma.mp3,રાત્રે labor શરૂ થાય તો શું કરવું જોઈએ?,"મા, panic ન કરો… તરત hospital જાઓ અને doctor ને inform કરો 🌙","Ma, panic na karo… tarat hospital jajo ane doctor ne inform karo 🌙",night_labor_gu.mp3,Night time emergency plan બનાવવો છે શું?,Night time emergency plan banavvu chhe?,night_labor_trig_gu.mp3
labor_bath,Can I take a bath when pain starts?,"mommy, if time permits, quick bath is okay, but don’t delay.",10.mp3,"mommy, shall I guide what to do first?",10.mp3,Pain ஆரம்பிச்சதும் bath எடுத்துக்கலாமா?,"அம்மா, time இருந்தா quick bath எடுத்துக்கலாம், ஆனா late ஆக்காதீங்க",10.mp3,"அம்மா, first என்ன பண்ணணும்னு நான் guide பண்ணட்டுமா?",labor_bath_trig_ta.mp3,pain शुरू होने पर क्या मैं bath ले सकती हूँ?,"मम्मा, अगर समय हो तो जल्दी से bath लेना okay है… लेकिन hospital जाने में देर मत करना 🚿",labor_bath_hi.mp3,"मम्मी, सबसे पहले क्या करना है वो guide कर दूँ क्या?",labor_bath_trig_hi.mp3,pain सुरू झाल्यावर मी bath घेऊ शकते का?,"आई, वेळ असेल तर पटकन bath घेणं okay आहे… पण hospital ला जायला उशीर करू नका 🚿",labor_bath_ma.mp3,"आई, आधी काय करायचं ते मी guide करू का?",labor_bath_trig_ma.mp3,પીડા શરૂ થાય ત્યારે bath લઈ શકાય?,"મા, સમય હોય તો ઝડપથી bath લઈ શકો છો… પણ hospital જવામાં મોડું ન કરશો 🚿","Ma, samay hoy to jaldi thi bath lai shako chho… pan hospital java ma modu na karsho 🚿",labor_bath_gu.mp3,"મા, પહેલા શું કરવું એ હું guide કરું શું?","Ma, shu hu pela shu karvu e guide karu?",labor_bath_trig_gu.mp3
