Key words,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voice over,Next Trigger Question (Baby Voice),Next Trigger Question (Baby Voice over),Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil ) Voice Over,Next Trigger Question (Baby Voice) tamil ,Next Trigger Question (tamil Baby Voice over),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (gujarathi– Natural),Allobaby Response (gujarathi– Casual & Friendly),Allobaby Response (gujarathi– Casual & Friendly),Allobaby Response (gujarathi) Voice Over,Next Trigger Question (gujarathi Baby Voice over),Next Trigger Question (gujarathi Baby Voice over),Next Trigger Question (Baby Voice)gujarathi 
back_pain,Why is my back hurting?,"mommy, as your baby grows, your body changes and back pain can happen. It is common during pregnancy.",q1.mp3,"mommy, shall I share some easy ways to feel better?",k1.mp3,எனக்கு ஏன் முதுகு வலி இருக்கு?,"அம்மா, baby வளர வளர bodyல மாற்றங்கள் வரும். அதனால் முதுகு வலி வரலாம். இது சாதாரணம் தான்.",h1.mp3,"அம்மா, உங்களுக்கு நல்லா feel ஆக சில easy ways நான் சொல்லட்டுமா?",1.mp3,मेरी पीठ में दर्द क्यों हो रहा है?,"मम्मा, जैसे-जैसे मैं बड़ा हो रहा हूँ, आपका शरीर बदल रहा है… इसलिए पीठ दर्द होना pregnancy में बहुत common है 🤍",back_pain_hi.mp3,"मम्मा, क्या मैं आपको अच्छा feel करने के कुछ easy तरीके बताऊँ?",back_pain_trig_hi.mp3,माझ्या पाठीला दुखतंय का?,"आई, जसं जसं मी मोठा होतोय, तसं तुमचं शरीर बदलतंय… त्यामुळे पाठदुखी होणं pregnancy मध्ये खूप सामान्य आहे 🤍",back_pain_ma.mp3,"आई, तुला बरं वाटण्यासाठी काही easy उपाय सांगू का?",back_pain_trig_ma.mp3,મને કમરમાં દુખાવો કેમ થાય છે?,"મમ્મી, baby વધતા વધતા bodyમાં ફેરફારો આવે છે. તેથી કમરમાં દુખાવો થઈ શકે. આ સામાન્ય છે.","Mummy, baby vadhata vadhata bodyma ferfaro aave chhe. Tethi kamar ma dukhavo thai shake. Aa saamanya chhe.",1.mp3,"મમ્મી, તમને સારું feel થાય માટે થોડા easy ways હું કહું?","Mummy, tamne saarun feel thay maate thoda easy ways hu kahu?",1.mp3
leg_swelling,Why are my legs swelling?,"mommy, mild swelling can happen during pregnancy, especially in the later months.",q2.mp3,"mommy, would you like to know when swelling needs attention?",k2.mp3,என் கால்களில் ஏன் வீக்கமா இருக்கு?,"அம்மா, pregnancyல குறிப்பாக கடைசி மாதங்களில் லேசான வீக்கம் வரலாம்.",h2.mp3,"அம்மா, swelling எப்போ கவனிக்கணும்னு தெரிஞ்சிக்க விரும்புறீங்களா?",2.mp3,मेरे पैरों में सूजन क्यों आ रही है?,"मम्मा, pregnancy में खासकर आखिरी महीनों में पैरों में हल्की सूजन आ सकती है… थोड़ा आराम करने से अच्छा लगेगा 💛",leg_swelling_hi.mp3,"मम्मा, क्या आप जानना चाहेंगी कि swelling को कब seriously लेना चाहिए?",leg_swelling_trig_hi.mp3,माझ्या पायांना सूज का येतेय?,"ICE, pregnancy मध्ये विशेषतः शेवटच्या महिन्यांत पायांना थोडी सूज येऊ शकते… थोडा आराम केल्यावर बरं वाटेल 💛",leg_swelling_ma.mp3,"आई, swelling कधी लक्ष द्यायची असते हे जाणून घ्यायचं आहे का?",leg_swelling_trig_ma.mp3,મારા પગમાં સોજો કેમ આવે છે?,"મમ્મી, pregnancyમાં ખાસ કરીને છેલ્લાં મહિનાઓમાં હળવો સોજો આવી શકે.","Mummy, pregnancyma khas karine chellana mahinaoma halvo sojo aavi shake.a",2.mp3,"મમ્મી, swelling ક્યારે ધ્યાન આપવાની જરૂર હોય છે એ જાણવું છે?","Mummy, swelling kyare dhyan aapvani jarur hoy chhe e jaanvu chhe?",2.mp3
breathless,Why do I feel breathless?,"mommy, as your baby grows, it can press upward and make you feel breathless sometimes.",q3.mp3,"mommy, shall I tell you when to talk to the doctor?",k3.mp3,எனக்கு ஏன் மூச்சு வாங்க கஷ்டமா இருக்கு?,"அம்மா, baby வளரும்போது மேலே அழுத்தம் வரும், அதனால் சில நேரம் மூச்சு வாங்க கஷ்டமாக இருக்கும்.",h3.mp3,"அம்மா, doctor கிட்ட எப்போ பேசணும்னு நான் சொல்லட்டுமா?",3.mp3,मुझे सांस लेने में तकलीफ़ क्यों हो रही है?,"मम्मा, जैसे-जैसे मैं grow कर रहा हूँ, कभी-कभी आपको सांस फूलने जैसा महसूस हो सकता है 🤍",breathless_hi.mp3,"मम्मा, क्या मैं बताऊँ कि doctor से कब बात करनी चाहिए?",breathless_trig_hi.mp3,मला श्वास घ्यायला त्रास का होतोय?,"आई, जसं जसं मी वाढतोय, तसं कधी कधी तुम्हाला श्वास घ्यायला त्रास होऊ शकतो 🤍",breathless_ma.mp3,"आई, doctor शी कधी बोलायचं ते मी सांगू का?",breathless_trig_ma.mp3,મને શ્વાસ લેવામાં તકલીફ કેમ થાય છે?,"મમ્મી, baby વધતા ઉપર દબાણ આવે છે, તેથી ક્યારેક શ્વાસ લેવામાં તકલીફ થઈ શકે.","Mummy, baby vadhata upar daban aave chhe, tethi kyarek shwas levama taklif thai shake.",3.mp3,"મમ્મી, doctor સાથે ક્યારે વાત કરવી જોઈએ એ હું કહું?","Mummy, doctor sathe kyare vaat karvi joie e hu kahu?",3.mp3
frequent_urine,Why do I have frequent urination?,"mommy, this is common in pregnancy because your body is changing and your baby is growing.",q4.mp3,"mommy, would you like some comfort tips for this?",k4.mp3,ஏன் அடிக்கடி urine போகணும் போல இருக்கு?,"அம்மா, pregnancy time ல body மாற்றங்களாலும் baby வளர்ச்சியாலும் இது சாதாரணம்.",h4.mp3,"அம்மா, இதுக்காக சில comfort tips வேண்டுமா?",4.mp3,मुझे बार-बार urine क्यों जाना पड़ रहा है?,"मम्मा, pregnancy में ऐसा होना बहुत common है… आपका शरीर बदल रहा है ना, और मैं भी बड़ा हो रहा हूँ 👶",frequent_urine_hi.mp3,"मम्मा, क्या आपको इसके लिए कुछ comfort tips चाहिए?",frequent_urine_trig_hi.mp3,मला वारंवार urine ला का जावंसं वाटतंय?,"आई, pregnancy मध्ये असं होणं खूप सामान्य आहे… तुमचं शरीर बदलतंय ना, आणि मी पण मोठा होतोय 👶",frequent_urine_ma.mp3,"आई, यासाठी काही comfort tips हवेत का?",frequent_urine_trig_ma.mp3,મને વારંવાર urine જવાનું કેમ લાગે છે?,"મમ્મી, pregnancy timeમાં bodyના ફેરફારો અને babyની વૃદ્ધિને કારણે આ સામાન્ય છે.","Mummy, pregnancy timema bodyna ferfaro ane babyni vruddhine kaarane aa saamanya chhe.",4.mp3,"મમ્મી, આ માટે થોડા comfort tips જોઈએ છે?","Mummy, aa maate thoda comfort tips joie chhe?",4.mp3
dizzy,Why do I feel dizzy?,"mommy, dizziness can happen due to hormonal changes or low energy. Rest and healthy food help.",q5.mp3,"mommy, shall I tell you what helps me stay strong?",k5.mp3,எனக்கு ஏன் தலைசுத்துற மாதிரி இருக்கு?,"அம்மா, hormone மாற்றம் அல்லது energy குறைவால் தலைசுற்றல் வரலாம். ஓய்வும் நல்ல உணவும் உதவும்.",h5.mp3,"அம்மா, என்ன strongஆ வைத்திருக்க என்ன உதவுதுன்னு சொல்லட்டுமா?",5.mp3,मुझे चक्कर जैसा क्यों महसूस हो रहा है?,"मम्मा, hormones बदलने या कमजोरी की वजह से चक्कर आ सकते हैं… थोड़ा आराम और healthy खाना मदद करेगा 💕",dizzy_hi.mp3,"मम्मा, क्या मैं बताऊँ कि मुझे strong रखने में क्या मदद करता है?",dizzy_trig_hi.mp3,मला चक्कर का येतेय?,"आई, hormones बदलल्यामुळे किंवा कमजोरीमुळे चक्कर येऊ शकते… थोडा आराम आणि healthy खाणं मदत करेल 💕",dizzy_ma.mp3,"आई, मला strong ठेवायला काय मदत करतं ते सांगू का?",dizzy_trig_ma.mp3,મને ચક્કર આવતાં હોય એવું કેમ લાગે છે?,"મમ્મી, hormone બદલાવ અથવા energy ઓછી હોવાથી ચક્કર આવી શકે. આરામ અને સારું ખાવું મદદરૂપ થશે.","Mummy, hormone badlav athva energy ochhi hovane karane chakkar aavi shake. Aaram ane saarun khavun madadrup thashe",5.mp3,"મમ્મી, મને strong રાખવામાં શું મદદ કરે છે એ હું કહું?","Mummy, mane strong rakhvama shu madad kare chhe e hu kahu?",5.mp3
skin_changes,Why is my skin changing?,"mommy, skin changes like glow, dryness, or dark patches can happen during pregnancy.",q6.mp3,"mommy, would you like some simple skin care tips?",k6.mp3,என் skin ஏன் மாறுற மாதிரி இருக்கு?,"அம்மா, pregnancyல skin glow, dryness அல்லது கருமை போன்ற மாற்றங்கள் வரலாம்.",h6.mp3,"அம்மா, சில simple skin care tips வேண்டுமா?",6.mp3,मेरी skin क्यों बदल रही है?,"मम्मा, pregnancy में skin में glow, dryness या dark patches आ सकते हैं… ये बहुत common है ✨",skin_changes_hi.mp3,"मम्मा, क्या आपको कुछ simple skin care tips चाहिए?",skin_changes_trig_hi.mp3,माझी skin का बदलतेय?,"आई, pregnancy मध्ये skin मध्ये glow, dryness किंवा dark patches येऊ शकतात… हे खूप सामान्य आहे ✨",skin_changes_ma.mp3,"आई, तुला काही simple skin care tips हव्यात का?",skin_changes_trig_ma.mp3,મારી skin કેમ બદલાઈ રહી હોય એવું લાગે છે?,"મમ્મી, pregnancyમાં skin glow, dryness અથવા કાળાશ જેવા ફેરફારો આવી શકે.","Mummy, pregnancyma skin glow, dryness athva kaalash jeva ferfaro aavi shake.",6.mp3,"મમ્મી, થોડા simple skin care tips જોઈએ છે?","Mummy, thoda simple skin care tips joie chhe?",6.mp3
constipation,Why do I have constipation?,"mommy, constipation is common during pregnancy. Drinking water and eating fiber-rich foods can help.",q7.mp3,"mommy, shall I suggest foods that help us?",k7.mp3,ஏன் motion சரியாக வரல?,"அம்மா, pregnancyல constipation சாதாரணம். தண்ணீர் அதிகம் குடிப்பதும் நார்ச்சத்து நிறைந்த உணவும் உதவும்.",h7.mp3,"அம்மா, நமக்கு உதவும் foods நான் suggest பண்ணட்டுமா?",7.mp3,मुझे constipation क्यों हो रहा है?,"मम्मा, pregnancy में motion थोड़ा मुश्किल हो सकता है… पानी ज़्यादा पीना और fiber वाला खाना मदद करेगा 🍎",constipation_hi.mp3,"मम्मा, क्या मैं हमारे लिए कुछ helpful foods suggest करूँ?",constipation_trig_hi.mp3,मला constipation का होतंय?,"आई, pregnancy मध्ये motion थोडं कठीण होऊ शकतं… जास्त पाणी पिणं आणि fiber असलेलं खाणं मदत करेल 🍎",constipation_ma.mp3,"आई, आपल्याला मदत करणारे काही healthy foods सुचवू का?",constipation_trig_ma.mp3,motion સારું કેમ નથી થતું?,"મમ્મી, pregnancyમાં constipation સામાન્ય છે. વધારે પાણી પીવું અને fiberવાળું ખાવું મદદરૂપ થશે.","Mummy, pregnancyma constipation saamanya chhe. Vadhare paani pivun ane fibervalu khavun madadrup thashe.",7.mp3,"મમ્મી, આપણને મદદ કરે એવા foods હું suggest કરું?","Mummy, aapne madad kare eva foods hu suggest karu?",7.mp3
body_heat,Why do I feel body heat?,"mommy, body heat can increase because of hormonal changes and extra blood flow during pregnancy.",q8.mp3,"mommy, would you like cooling food suggestions?",k8.mp3,உடம்பு ஏன் ரொம்ப heat ஆ இருக்கு?,"அம்மா, hormone மாற்றமும் ரத்த ஓட்டமும் அதிகரிப்பதால் body heat கூடலாம்.",h8.mp3,"அம்மா, cooling foods பற்றி சில suggestions வேண்டுமா?",8.mp3,मेरे शरीर में इतनी गर्मी क्यों लग रही है?,"मम्मा, pregnancy में hormones और blood flow बढ़ने की वजह से body heat बढ़ सकती है ☀️",body_heat_hi.mp3,"मम्मा, क्या आपको cooling foods के बारे में कुछ suggestions चाहिए?",body_heat_trig_hi.mp3,शरीर इतकं गरम का वाटतंय?,"आई, pregnancy मध्ये hormones आणि blood flow वाढल्यामुळे body heat वाढू शकते ☀️",body_heat_ma.mp3,"आई, cooling foods बद्दल काही suggestions हव्यात का?",body_heat_trig_ma.mp3,શરીર એટલું ગરમ કેમ લાગે છે?,"મમ્મી, hormone બદલાવ અને blood circulation વધવાથી body heat વધી શકે.","Mummy, hormone badlav ane blood circulation vadhvathi body heat vadhi shake.",8.mp3,"મમ્મી, cooling foods વિશે થોડા suggestions જોઈએ છે?","Mummy, cooling foods vishe thoda suggestions joie chhe?",8.mp3
breast_pain,Why do my breasts feel sore?,"mommy, breast tenderness is common because your body is preparing to feed your baby.",q9.mp3,"mommy, shall I explain more about these changes?",k9.mp3,மார்பு ஏன் வலிக்கிற மாதிரி இருக்கு?,"அம்மா, babyக்கு பால் கொடுக்க body தயாராகும் போது மார்பில் வலி வரலாம்.",h9.mp3,"அம்மா, இந்த changes பற்றி இன்னும் explain பண்ணட்டுமா?",9.mp3,मेरे breasts में दर्द क्यों हो रहा है?,"मम्मा, आपका शरीर मुझे दूध पिलाने की तैयारी कर रहा है… इसलिए soreness महसूस हो सकती है 🤍",breast_pain_hi.mp3,"मम्मा, क्या मैं इन changes के बारे में थोड़ा और explain करूँ?",breast_pain_trig_hi.mp3,माझ्या छातीत दुखतंय का?,"आई, तुमचं शरीर मला दूध पाजायची तयारी करतंय… त्यामुळे soreness जाणवू शकते 🤍",breast_pain_ma.mp3,"आई, या changes बद्दल अजून थोडं explain करू का?",breast_pain_trig_ma.mp3,છાતીમાં દુખાવો કેમ થાય છે?,"મમ્મી, babyને દૂધ પીવડાવવા body તૈયાર થતી વખતે breastમાં દુખાવો થઈ શકે.","Mummy, babyne dudh pivadavava body taiyar thati vakhat breastma dukhavo thai shake.",9.mp3,"મમ્મી, આ changes વિશે વધુ explain કરું?","Mummy, aa changes vishe vadhu explain karu?",9.mp3
pelvic_pain,Why do I feel pelvic pain?,"mommy, mild pelvic pain can happen as your body stretches and prepares for your growing baby.",q10.mp3,"mommy, would you like to know when pain needs medical attention?",k10.mp3,கீழ் வயிற்றில் ஏன் வலி இருக்கு?,"அம்மா, baby வளர body stretch ஆகும்போது கீழ் வயிற்றில் லேசான வலி வரலாம்.",h10.mp3,"அம்மா, pain எப்போ medical attention தேவைப்படும்னு தெரிஞ்சிக்க விரும்புறீங்களா?",10.mp3,नीचे पेट में दर्द क्यों हो रहा है?,"मम्मा, आपका शरीर मेरे लिए stretch हो रहा है… इसलिए हल्का pelvic pain होना common है 👶",pelvic_pain_hi.mp3,"मम्मा, क्या आप जानना चाहेंगी कि pain कब medical attention मांगता है?",pelvic_pain_trig_hi.mp3,खालच्या पोटात दुखतंय का?,"आई, तुमचं शरीर माझ्यासाठी stretch होतंय… त्यामुळे हलकं pelvic pain होणं सामान्य आहे 👶",pelvic_pain_ma.mp3,"आई, pain कधी medical attention मागतं हे जाणून घ्यायचं आहे का?",pelvic_pain_trig_ma.mp3,નીચેના પેટમાં દુખાવો કેમ થાય છે?,"મમ્મી, baby વધતા body stretch થવાથી નીચેના પેટમાં હળવો દુખાવો થઈ શકે.","Mummy, baby vadhata body stretch thavathi nichena petma halvo dukhavo thai shake.",10.mp3,"મમ્મી, pain ક્યારે medical attention માંગે છે એ જાણવું છે?","Mummy, pain kyare medical attention mange chhe e jaanvu chhe?",10.mp3
