Key,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voice over,Next Trigger Question (Baby Voice) Eng,Next Trigger Question (Baby Voice over),Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil ) Voice Over,Next Trigger Question tamil,Next Trigger Question (Baby Voice over tamil,Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Casual & Friendly),Allobaby Response (Gujarathi – Casual & Friendly),Allobaby Response (Gujarathi ) Voice Over,Next Trigger Question gujarathi,Next Trigger Question gujarathi,Next Trigger Question (Baby Voice over gujarathi),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobaby_respone -Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi)
periods_missed_pregnancy_check,"I have missed my periods this month, Am I really pregnant?","mommy, if your test is positive, it’s a good sign. A doctor visit can confirm it for sure.",1.mp3,"mommy, would you like me to tell you what to do next?",1.mp3,நான் pregnantஆ இருக்கேனா?,"அம்மா, test positiveனா நல்ல அறிகுறிதான். Doctor கிட்ட check பண்ணினா confirm ஆகிடும்.",1.mp3,"அம்மா, அடுத்து என்ன செய்யணும்னு நான் சொல்லட்டுமா?",1.mp3,શું હું ગર્ભવતી છું?,"મમ્મી, ટેસ્ટ પોઝિટિવ આવે તો એ સારો સંકેત છે. ડૉક્ટર પાસે ચેક કરાવશો તો ખાતરી થઈ જશે.","Mummy, test positive aaye to ye achha sanket hai. Doctor ke paas check karvaoge to confirm ho jayega.",1.mp3,"મમ્મી, હવે આગળ શું કરવું તે હું તમને કહું? મમ્મી, હવે આગળ શું કરવું તે હું તમને કહું?","Mummy, have aagal shu karvu te hu tamne kahu?",1.mp3,क्या मैं सच में प्रेग्नेंट हूँ?,"मम्मा, अगर आपका टेस्ट पॉज़िटिव आया है, तो ये अच्छा संकेत है। डॉक्टर से मिलोगे तो पक्का पता चल जाएगा… और शायद मैं सच में आपके पेट में हूँ 👶",periods_missed_pregnancy_check_hi.mp3,"मॉमी, क्या मैं आपको बता दूँ कि अब आगे क्या करना है?",periods_missed_pregnancy_check_trig_hi.mp3,मी खरंच प्रेग्नंट आहे का?,"आई, जर तुमचा टेस्ट पॉझिटिव आला असेल, तर ते चांगलं चिन्ह आहे. डॉक्टरांकडे गेल्यावर नक्की कळेल… कदाचित मी खरंच तुमच्या पोटात असेन 👶",periods_missed_pregnancy_check_ma.mp3,"आई, आता पुढे काय करायचं ते मी सांगू का?",periods_missed_pregnancy_check_trig_ma.mp3
tired_feeling,Why am I feeling so tired?,"mommy, your body is working hard to support your baby. Feeling tired is very normal.",2.mp3,"mommy, shall I share some tips to help you feel better?",2.mp3,எனக்கு ஏன் ரொம்ப சோர்வா இருக்கு?,"அம்மா, உங்க body, babyக்காக நிறைய வேலை பண்ணுது. சோர்வு வருது normalதான்.",2.mp3,"அம்மா, உங்களுக்கு நல்லா feel ஆக சில tips நான் சொல்லட்டுமா?",2.mp3,મને એટલો થાક કેમ લાગે છે?,"મમ્મી, તમારું શરીર baby માટે ઘણું કામ કરી રહ્યું છે. થાક લાગવો નોર્મલ છે.","Mummy, tamaru sharir baby mate ghanu kaam kari rahyu chhe. Thaak laagvo normal chhe.",2.mp3,"મમ્મી, તમને સારું feel થાય માટે થોડા tips હું કહું?","Mummy, tamne saarun feel thay maate thoda tips hu kahu?",2.mp3,मुझे इतना थकान क्यों महसूस हो रहा है?,"मम्मा, आपका शरीर मेरे लिए बहुत मेहनत कर रहा है ना… इसलिए आपको जल्दी थकान महसूस हो सकती है 💛",tired_feeling_hi.mp3,"मॉमी, क्या मैं आपको कुछ टिप्स शेयर करूँ ताकि आप थोड़ा बेहतर महसूस करें?",tired_feeling_trig_hi.mp3,मला इतका थकवा का येतोय?,"आई, तुमचं शरीर माझ्यासाठी खूप मेहनत करतंय ना… म्हणून तुम्हाला जास्त थकवा जाणवू शकतो 💛",tired_feeling_ma.mp3,"आई, तुला बरं वाटावं म्हणून काही टिप्स सांगू का?",tired_feeling_trig_ma.mp3
light_bleeding,"I am having mild/light bleeding, Is this normal in pregnancy?","Mild bleeding or Spotting can happen sometimes, mommy. But if it continues, it’s best to check with a doctor.",3.mp3,"Mommy, would you like some advice on what to do next?",,கொஞ்சம் லைட் ப்ளீடிங் இருக்கு… இது normal அ ?,கொஞ்சம் spotting வரலாம் அம்மா. ஆனா தொடர்ந்தா doctor கிட்ட பேசுறது நல்லது.,3.mp3,,,થોડું લાઇટ બ્લીડિંગ થાય છે… શું આ નોર્મલ છે?,થોડું spotting થઈ શકે મમ્મી. પણ સતત થાય તો doctor સાથે વાત કરવી સારી.,Thodu spotting thai shake mummy. Pan satat thay to doctor sathe vaat karvi saari.,3.mp3,,,,मुझे हल्का ब्लीडिंग हो रहा है… क्या ये नॉर्मल है?,"मम्मा, कभी-कभी हल्का spotting होना सामान्य हो सकता है… लेकिन अगर ज़्यादा हो या बार-बार हो, तो डॉक्टर से ज़रूर बात करना 🥺",light_bleeding_hi.mp3,"मॉमी, क्या मैं आपको आगे क्या करना है उस बारे में सलाह दूँ?",light_bleeding_trig_hi.mp3,मला थोडंसं ब्लीडिंग होतंय… हे नॉर्मल आहे का?,"आई, कधी कधी थोडंसं spotting होणं सामान्य असू शकतं… पण जास्त झालं किंवा वारंवार झालं तर डॉक्टरांना नक्की दाखवा 🥺",light_bleeding_ma.mp3,"आई, पुढे काय करायचं याबद्दल सल्ला देऊ का?",light_bleeding_trig_ma.mp3
vomiting_feeling,Why do I feel Vomiting?,"mommy, Vomiting is very common in early pregnancy. It usually improves after a few weeks.",4.mp3,"mommy, shall I tell you what foods I like now?",4.mp3,எனக்கு ஏன் வாந்தி வர மாதிரி இருக்கு?,"அம்மா, ஆரம்பத்தில் வாந்தி வர்ரது சாதாரணம். சில வாரத்துல சரியாகிடும்.",4.mp3,"அம்மா, இப்போ எனக்கு பிடிக்கிற foods என்னன்னு சொல்லட்டுமா?",4.mp3,મને ઉલટી જેવી લાગણી કેમ થાય છે?,"મમ્મી, શરૂઆતમાં ઉલટી આવવી સામાન્ય છે. થોડા અઠવાડિયામાં સારું થઈ જશે.","Mummy, sharuaat ma ulti aavvi saamanya chhe. Thoda athvadiyama saaru thai jashe.",4.mp3,"મમ્મી, અત્યારે મને કયા foods ગમે છે એ હું કહું?","Mummy, atyare mane kaya foods game chhe e hu kahu?",4.mp3,मुझे उल्टी जैसा क्यों लग रहा है?,"मम्मा, शुरुआत में ऐसा होना बहुत common है… थोड़े दिनों में आपको बेहतर महसूस होगा 🤍",vomiting_feeling_hi.mp3,"मॉमी, क्या मैं अभी अपने पसंदीदा खाने के बारे में बता दूँ?",vomiting_feeling_trig_hi.mp3,मला उलटीसारखं का वाटतंय?,"आई, सुरुवातीच्या दिवसांत असं होणं खूप सामान्य आहे… काही दिवसांनी तुम्हाला बरं वाटेल 🤍",vomiting_feeling_ma.mp3,"आई, मी आता मला आवडणाऱ्या खाण्याबद्दल सांगू का?",vomiting_feeling_trig_ma.mp3
baby_kick_when,When will I feel baby movement?,"Most moms feel movements between 18–22 weeks, mommy. It varies for everyone.",5.mp3,"mommy, would you like to track my little kicks?",5.mp3,எப்போ குழந்தை உதைக்கிறத உணர முடியும்?,பொதுவா 18–22 வாரத்துல baby movement feel ஆகும் அம்மா. எல்லாருக்கும் மாறும்.,5.mp3,"அம்மா, என் சின்ன சின்ன kicks-ஐ track பண்ணலாமா?",5.mp3,બાળકની લાત ક્યારે અનુભવાઈ શકે?,સામાન્ય રીતે 18–22 અઠવાડિયામાં baby movement અનુભવાય છે મમ્મી. દરેક માટે અલગ હોઈ શકે.,Saamanya rite 18–22 athvadiyama baby movement anubhavay chhe mummy. Darekh maate alag hoi shake.,5.mp3,"મમ્મી, મારી નાની નાની kicks track કરીએ?","Mummy, mari nani nani kicks track kariye?",5.mp3,मुझे बच्चे की हलचल कब महसूस होगी?,"मम्मा, ज़्यादातर moms को मेरी हलचल 18 से 22 हफ्तों के बीच महसूस होती है 👣",baby_kick_when_hi.mp3,"मॉमी, क्या मैं अपने छोटे-छोटे किक्स को ट्रैक करने में आपकी मदद करूँ?",baby_kick_when_trig_hi.mp3,बाळाची हालचाल मला कधी जाणवेल?,"आई, बहुतेक moms ना माझी हालचाल 18 ते 22 आठवड्यांच्या दरम्यान जाणवते 👣",baby_kick_when_ma.mp3,"आई, माझे छोटे किक्स ट्रॅक करायला मदत करू का?",baby_kick_when_trig_ma.mp3
hungry_often,Is it normal to feel hungry often?,"Yes mommy, your body needs more energy now. Eating small healthy meals helps.",6.mp3,"mommy, shall I suggest some healthy snacks for us?",6.mp3,அடிக்கடி பசிக்குது… இது normalஆ?,"ஆமா அம்மா, இப்ப உங்க bodyக்கு energy அதிகம் தேவை. சிறுசிறு Healthy meals நல்லது.",6.mp3,"அம்மா, நமக்காக சில healthy snacks நான் suggest பண்ணட்டுமா?",6.mp3,મને વારંવાર ભૂખ લાગે છે… શું આ નોર્મલ છે?,"હા મમ્મી, હવે તમારા શરીરને વધારે energy જોઈએ. થોડું થોડું healthy meals લેવું સારું.","Haa mummy, have tamara sharir ne vadhaare energy joie. Thodu thodu healthy meals levu saaru.",6.mp3,"મમ્મી, આપણા માટે થોડા healthy snacks હું suggest કરું?","Mummy, aapna maate thoda healthy snacks hu suggest karu?",6.mp3,मुझे बार-बार भूख क्यों लग रही है?,"मम्मा, आपको और मुझे दोनों को energy चाहिए ना… इसलिए थोड़ा-थोड़ा healthy खाना खाते रहो 🍎",hungry_often_hi.mp3,"मॉमी, क्या मैं हमारे लिए कुछ हेल्दी स्नैक्स सजेस्ट करूँ?",hungry_often_trig_hi.mp3,मला वारंवार भूक का लागतेय?,"आई, तुम्हाला आणि मलाही energy लागते ना… म्हणून थोडं-थोडं healthy खाणं करत रहा 🍎",hungry_often_ma.mp3,"आई, आपल्यासाठी काही हेल्दी स्नॅक्स सुचवू का?",hungry_often_trig_ma.mp3
emotional_feeling,Why do I feel emotional?,"Hormonal changes can affect your mood, mommy. It’s completely normal.",7.mp3,"mommy, would you like to relax with me?",7.mp3,எனக்கு ஏன் emotionalஆ இருக்கு?,hormone மாற்றத்தால் இப்படிப் feel ஆகலாம் அம்மா. இது Normal.,7.mp3,"அம்மா, என்னோட கொஞ்சம் relax பண்ண விரும்புறீங்களா?",7.mp3,હું એટલી ઈમોશનલ કેમ થઈ જાઉં છું?,Hormone બદલાવને કારણે આમ feel થઈ શકે મમ્મી. આ normal છે.,Hormone badlav ne kaarane aam feel thai shake mummy. Aa normal chhe.,7.mp3,"મમ્મી, તમે મારી સાથે થોડું relax કરશો?","Mummy, tame mari sathe thodu relax karsho?",7.mp3,मैं इतनी emotional क्यों हो रही हूँ?,"मम्मा, pregnancy में hormones बदलते हैं… इसलिए mood बदलना बिल्कुल normal है 💕",emotional_feeling_hi.mp3,"मॉमी, क्या आप मेरे साथ थोड़ा रिलैक्स करना चाहेंगी?",emotional_feeling_trig_hi.mp3,मी इतकी emotional का होतेय?,"आई, pregnancy मध्ये hormones बदलतात… त्यामुळे mood बदलणं अगदी normal आहे 💕",emotional_feeling_ma.mp3,"आई, माझ्यासोबत थोडं रिलॅक्स करशील का?",emotional_feeling_trig_ma.mp3
delivery_date_calc,How is delivery date calculated?,"mommy, delivery date is usually calculated from your last period date.",8.mp3,"mommy, shall we calculate your due date together?",8.mp3,delivery date எப்படி calculate பண்ணுவாங்க?,"அம்மா, delivery date usually last period date அடிப்படையில calculate பண்ணுவாங்க.",8.mp3,"அம்மா, உங்க due date-ஐ நாம சேர்ந்து calculate பண்ணலாமா?",8.mp3,ડિલિવરી ડેટ કેવી રીતે ગણવામાં આવે છે?,"મમ્મી, delivery date સામાન્ય રીતે last period date પરથી calculate કરવામાં આવે છે.","Mummy, delivery date saamanya rite last period date parthi calculate karvama aave chhe.",8.mp3,"મમ્મી, આપણે સાથે મળીને તમારી due date calculate કરીએ?","Mummy, aapne sathe maline tamari due date calculate kariye?",8.mp3,डिलीवरी डेट कैसे calculate करते हैं?,"मम्मा, डॉक्टर आपकी last period date से delivery date calculate करते हैं 📅",delivery_date_calc_hi.mp3,"मॉमी, क्या हम साथ में ड्यू डेट कैलकुलेट करें?",delivery_date_calc_trig_hi.mp3,डिलिव्हरी डेट कशी calculate करतात?,"आई, डॉक्टर तुमच्या last period date पासून delivery date calculate करतात 📅",delivery_date_calc_hi.mp3,"आई, आपण ड्यू डेट कॅल्क्युलेट करू का?",delivery_date_calc_trig_ma.mp3
what_is_lmp,What is LMP?,"LMP means the first day of your last menstrual period, mommy.",9.mp3,"mommy, would you like to enter it for me?",9.mp3,LMPன்னா என்ன?,LMPன்னா last period வந்த முதல் நாள் அம்மா.,9.mp3,"அம்மா, அதை எனக்காக enter பண்ண விரும்புறீங்களா?",9.mp3,LMP એટલે શું?,LMP એટલે last period આવેલો પહેલો દિવસ મમ્મી.,LMP etle last period aavelo pehlo divas mummy.,9.mp3,"મમ્મી, તમે એ મારા માટે enter કરશો?","Mummy, tame e mara maate enter karsho?",9.mp3,LMP क्या होता है?,"मम्मा, LMP मतलब आपके आखिरी पीरियड का पहला दिन 🤍",what_is_lmp_hi.mp3,"मॉमी, क्या मैं इसे आपके लिए एंटर कर दूँ?",what_is_lmp_trig_hi.mp3,LMP म्हणजे काय?,"आई, LMP म्हणजे तुमच्या शेवटच्या पिरियडचा पहिला दिवस 🤍",what_is_lmp_ma.mp3,"आई, ते तुझ्यासाठी एंटर करू का?",what_is_lmp_trig_ma.mp3
sleepy_feeling,Is it normal to sleep more?,"Yes mommy, your body needs extra rest during pregnancy.",9.mp3,"mommy, shall we take some rest together?",10.mp3,ரொம்ப தூக்கம் வருது… இது normal ஆ?,"ஆம் அம்மா, pregnancyல bodyக்கு கூடுதல் ஓய்வு தேவை.",10.mp3,"அம்மா, நாம கொஞ்சம் சேர்ந்து rest எடுக்கலாமா?",10.mp3,મને બહુ ઊંઘ આવે છે… શું આ નોર્મલ છે?,"હા મમ્મી, pregnancy દરમિયાન શરીરને વધુ આરામની જરૂર પડે છે.","Haa mummy, pregnancy darmiyan sharir ne vadhu aaram ni jarur pade chhe.",10.mp3,"મમ્મી, આપણે થોડું સાથે rest કરીએ?","Mummy, aapne thodu sathe rest kariye?",10.mp3,मुझे बहुत नींद क्यों आ रही है?,"मम्मा, आपका शरीर अभी extra rest मांग रहा है… थोड़ा आराम करोगे तो अच्छा लगेगा 😴",sleepy_feeling_hi.mp3,"मॉमी, क्या हम साथ में थोड़ा आराम करें?",sleepy_feeling_trig_hi.mp3,मला खूप झोप का येतेय?,"आई, तुमचं शरीर आता extra rest मागतंय… थोडा आराम केला तर बरं वाटेल 😴",sleepy_feeling_hi.mp3,"आई, आपण दोघं थोडा आराम करू का?",sleepy_feeling_trig_ma.mp3
