Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voiceover,Next Trigger Question,Next Trigger Question(English),Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (tamil) Voiceover,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
anxious_feeling,Why do I feel anxious?,"mommy, your body and mind are going through many changes. You’re not alone in this.",1.mp3,Do you want to know what helps you feel calmer?,1.mp3,எனக்கு ஏன் இவ்வளவு பயமா / பதட்டமா இருக்கு?,"அம்மா, உங்க bodyயும் மனசும் நிறைய மாற்றங்கள் பார்க்குது. நீங்க தனியா இல்ல அம்மா.",1.mp3,உங்களுக்கு மனசு கொஞ்சம் calm ஆக feel ஆக என்ன help பண்ணும்னு தெரிஞ்சிக்கணுமா?,anxious_feeling_trig_ta.mp3,मुझे इतना डर या anxiety क्यों हो रही है?,"मम्मा, आपका शरीर और मन दोनों बहुत बदलावों से गुजर रहे हैं… आप इसमें अकेली नहीं हो 🤍",anxious_feeling_hi.mp3,"क्या आपको थोड़ा calm feel करने में क्या मदद करेगा, ये जानना है?",anxious_feeling_trig_gu.mp3,मला इतकी भीती किंवा anxiety का वाटतेय?,"आई, तुमचं शरीर आणि मन दोन्ही खूप बदलांमधून जात आहेत… तुम्ही यात एकट्या नाही आहात 🤍",anxious_feeling_ma.mp3,तुम्हाला मन थोडं calm feel व्हायला काय मदत होईल हे जाणून घ्यायचंय का?,anxious_feeling_trig_ma.mp3,મને ખૂબ ડર/ચિંતા કેમ લાગે છે?,"મા, તમારું શરીર અને મન ઘણી બદલાવમાંથી પસાર થઈ રહ્યું છે. તમે એકલા નથી મા.","Ma, tamaru body ane man ghana badlav mathi pasar thai rahyu chhe. Tame ekla nathi ma.",anxious_feeling_gu.mp3,તમને મન થોડું calm feel થાય એ માટે શું help કરે એ જાણવું છે?,Tamne man thodu calm feel thay e mate shu help kare e jaanvu che?,anxious_feeling_trig_gu.mp3
mood_swings,Are mood swings normal?,Yes mommy… mood changes are very common during this time.,2.mp3,Want small tips to handle it?,2.mp3,mood swing ஆ இருக்கு.. இது normalஆ?,ஆம் அம்மா… mood change ஆகுறது ரொம்ப சாதாரணம் தான்.,2.mp3,இதைக் handle பண்ண சின்ன சின்ன tips வேண்டுமா?,mood_swings_trig_ta.mp3,क्या mood swings normal हैं?,हाँ मम्मा… इस समय mood changes होना बहुत common है 💛,mood_swings_hi.mp3,इसे handle करने के लिए छोटे छोटे tips चाहिए?,mood_swings_trig_gu.mp3,mood swings होणं normal आहे का?,हो आई… या काळात mood changes होणं खूप common आहे 💛,mood_swings_ma.mp3,हे handle करायला छोटे छोटे tips हवेत का?,mood_swings_trig_ma.mp3,મૂડ સ્વિંગ કેમ થાય છે… આ નોર્મલ છે?,હા મા… મૂડ બદલાવ થવો બહુ સામાન્ય વાત છે.,Ha ma… mood badlav thavo bahu samanya vaat chhe.,mood_swings_gu.mp3,આને handle કરવા નાના નાના tips જોઈએ?,Aane handle karva nana nana tips joie?,mood_swings_trig_gu.mp3
feeling_low,Why am I feeling low?,"Some days feel heavy, mommy… it happens. But you don’t have to go through it alone.",3.mp3,Do you want to talk about what’s bothering you?,3.mp3,எனக்கு ரொம்ப lowஆ feel ஆகுது ஏன்?,சில நாட்கள் கஷ்டமா இருக்கும் அம்மா…ஆனா நீங்க இதை தனியா சமாளிக்க வேண்டியதில்லை.,3.mp3,உங்களை என்ன bother பண்ணுதுன்னு பேசணுமா?,feeling_low_trig_ta.mp3,मुझे इतना low क्यों feel हो रहा है?,"मम्मा, कुछ दिन थोड़े भारी लग सकते हैं… ऐसा होना normal है। लेकिन आपको ये सब अकेले नहीं संभालना 🤍",feeling_low_hi.mp3,क्या आपको जो परेशान कर रहा है उसके बारे में बात करनी है?,feeling_low_trig_gu.mp3,मला इतकं low का वाटतंय?,"आई, काही दिवस थोडे जड वाटू शकतात… असं होणं normal आहे. पण हे सगळं तुम्हाला एकट्याने सहन करायचं नाही 🤍",feeling_low_ma.mp3,तुम्हाला काय bother करतंय त्याबद्दल बोलायचंय का?,feeling_low_trig_ma.mp3,મને બહુ low કેમ લાગે છે?,કેટલાક દિવસો મુશ્કેલ લાગે છે મા… પણ તમને આ બધું એકલા હેન્ડલ કરવાની જરૂર નથી.,Ketlak divaso mushkil lage chhe ma… pan tamne aa badhu ekla handle karvani jarur nathi.,feeling_low_gu.mp3,તમને શું bother કરે છે એ વિશે વાત કરવી છે?,Tamne shu bother kare che e vishe vaat karvi che?,feeling_low_trig_gu.mp3
manage_stress,How do I manage stress?,"Small things can help, mommy… rest, good food, and talking to someone you trust.",4.mp3,Want a simple daily routine?,4.mp3,stress எப்படி manage பண்ணுவது?,"சின்ன சின்ன விஷயங்கள் help பண்ணும் அம்மா… ஓய்வு, நல்ல சாப்பாடு, யாரிடமாவது பேசுவது help பண்ணும்  அம்மா.",4.mp3,ஒரு simple daily routine try பண்ணலாமா?,manage_stress_trig_ta.mp3,stress कैसे manage करूँ?,"मम्मा, छोटी-छोटी चीज़ें मदद कर सकती हैं… थोड़ा आराम, अच्छा खाना और किसी भरोसे वाले इंसान से बात करना 💕",manage_stress_hi.mp3,एक simple daily routine try करें?,manage_stress_trig_gu.mp3,stress कसा manage करू?,"आई, छोट्या-छोट्या गोष्टी मदत करू शकतात… थोडा आराम, चांगलं खाणं आणि विश्वासू व्यक्तीशी बोलणं 💕",manage_stress_ma.mp3,एक simple daily routine try करूया का?,manage_stress_trig_ma.mp3,સ્ટ્રેસ કેવી રીતે મેનેજ કરવો?,"નાની નાની બાબતો મદદ કરે છે મા… આરામ, સારું ખાવું, કોઈ સાથે વાત કરવી મદદરૂપ થાય છે મા.","Nani nani babato madad kare chhe ma… aaram, saaru khavanu, koi sathe vaat karvi upyogi thai shake chhe ma.",manage_stress_gu.mp3,એક simple daily routine try કરીએ?,Ek simple daily routine try kariye?,manage_stress_trig_gu.mp3
crying_often,Is crying often okay?,"It’s okay to cry, mommy… it helps release feelings. But if it feels too much, let’s talk to someone you trust.",5.mp3,Shall we reach out to someone you trust?,5.mp3,அடிக்கடி அழுதுட்டே இருக்கேன்… இது ok ஆ?,அழுதது okதான் அம்மா… அது மனசை லைட்டா ஆக்கும். ஆனா ரொம்ப அதிகமா இருந்தா யாரிடமாவது பேசணும்.,5.mp3,நம்பிக்கையுள்ள யாரையாவது தொடர்பு கொள்ளலாமா?,crying_often_trig_ta.mp3,मुझे बार-बार रोना आता है… क्या ये okay है?,"मम्मा, रोना ठीक है… इससे feelings बाहर आती हैं। लेकिन अगर बहुत ज़्यादा लगे, तो किसी अपने या doctor से बात करना 🥺",crying_often_hi.mp3,क्या किसी भरोसे वाले इंसान से बात करें?,crying_often_trig_gu.mp3,मला वारंवार रडू येतं… हे okay आहे का?,"आई, रडणं ठीक आहे… त्यामुळे feelings बाहेर येतात. पण खूप जास्त वाटत असेल तर आपल्या माणसांशी किंवा doctor शी बोला 🥺",crying_often_ma.mp3,विश्वासू कुणाशी contact करूया का?,crying_often_trig_ma.mp3,હું વારંવાર રડી પડું છું… આ ઠીક છે?,રડવું ઠીક છે મા… તે મનને હળવું કરે છે. પણ જો બહુ વધારે થાય તો કોઈ સાથે વાત કરવી જોઈએ.,Radvu thik chhe ma… te man ne halku kare chhe. Pan jo bahu vadhu thay to koi sathe vaat karvi joie.,crying_often_gu.mp3,કોઈ વિશ્વાસુ વ્યક્તિને contact કરીએ?,Koi vishwasu vyakti ne contact kariye?,crying_often_trig_gu.mp3
avoid_talking,I don’t feel like talking to anyone,"That’s okay for a while, mommy… but staying alone too long can feel heavy. A small talk might help.",6.mp3,Shall we talk to someone close?,6.mp3,யார்டையும் பேச பிடிக்கல,கொஞ்ச நேரம் அப்படியே இருக்கலாம் அம்மா… ஆனா நீண்ட நேரம் தனியா இருந்தா இன்னும் கஷ்டமா இருக்கும். கொஞ்சம் பேசினா லைட்டா ஆகும்.,6.mp3,உங்களுக்கு நெருக்கமான யாரிடமாவது பேசலாமா?,avoid_talking_trig_ta.mp3,मुझे किसी से बात करने का मन नहीं करता,"मम्मा, थोड़ी देर अकेला रहना ठीक है… लेकिन बहुत लंबे समय तक अकेले रहना मन को भारी कर सकता है। थोड़ा बात करना मदद करेगा 🤍",avoid_talking_hi.mp3,क्या किसी अपने close इंसान से बात करें?,avoid_talking_trig_gu.mp3,मला कुणाशी बोलावंसं वाटत नाही,"आई, थोडावेळ एकटं राहणं ठीक आहे… पण खूप वेळ एकटं राहिल्यावर मन जड होऊ शकतं. थोडं बोलणं मदत करेल 🤍",avoid_talking_ma.mp3,तुमच्या जवळच्या कुणाशी बोलूया का?,avoid_talking_trig_ma.mp3,કોઈ સાથે વાત કરવાનું મન નથી થતું,થોડો સમય એમ જ રહી શકાય છે મા… પણ લાંબો સમય એકલા રહેશો તો વધારે મુશ્કેલ લાગશે. થોડી વાત કરવાથી હળવું લાગશે.,Thodu samay em j rahi shakai chhe ma… pan lamba samay ekla rahesho to vadhu mushkil lagse. Thodi vaat karvathi halku lagse.,avoid_talking_gu.mp3,તમારા નજીકના કોઈ સાથે વાત કરીએ?,Tamara najik na koi sathe vaat kariye?,avoid_talking_trig_gu.mp3
emotional_tired,I feel tired emotionally,"You’ve been strong, mommy… Take rest, both body and mind need it.",7.mp3,Want to try a small relaxation step?,7.mp3,எனக்கு மனசளவுல ரொம்ப சோர்வா இருக்கு.,நீங்க ரொம்ப strong அம்மா… உடம்புக்கும் மனசுக்கும் ஓய்வு வேணும்.,7.mp3,ஒரு சின்ன relaxation step try பண்ணலாமா?,emotional_tired_trig_ta.mp3,मैं emotionally बहुत tired feel कर रही हूँ,"मम्मा, आपने बहुत कुछ संभाला है… अब शरीर और मन दोनों को थोड़ा आराम चाहिए 💛",emotional_tired_hi.mp3,एक छोटा relaxation step try करें?,emotional_tired_trig_gu.mp3,मला emotionally खूप थकल्यासारखं वाटतंय,"आई, तुम्ही खूप काही सांभाळलं आहे… आता शरीर आणि मन दोघांनाही थोडा आराम हवा आहे 💛",emotional_tired_ma.mp3,एक छोटंसं relaxation step try करूया का?,emotional_tired_trig_ma.mp3,મને માનસિક રીતે બહુ થાક લાગ્યો છે.,તમે બહુ સ્ટ્રોંગ છો મા… શરીર અને મનને આરામ જોઈએ.,Tame bahu strong chho ma… body ane man ne aaram joiye.,emotional_tired_gu.mp3,એક નાનું relaxation step try કરીએ?,Ek nanu relaxation step try kariye?,emotional_tired_trig_gu.mp3
irritated_easily,I get irritated easily,your body is adjusting. Try to pause and breathe slowly.,8.mp3,Want a simple calming exercise?,8.mp3,ரொம்ப சீக்கிரம் கோபம் வருது,உங்க body adjust ஆகுது. கொஞ்சம் slowஆ மூச்சு விட try பண்ணுங்க.,8.mp3,ஒரு easy calming exercise பண்ணிப் பார்ப்போமா?,irritated_easily_trig_ta.mp3,मुझे बहुत जल्दी गुस्सा आ रहा है,"मम्मा, आपका शरीर अभी बहुत adjust कर रहा है… थोड़ा रुककर धीरे-धीरे सांस लेना मदद कर सकता है 🌿",irritated_easily_hi.mp3,एक easy calming exercise करके देखें?,irritated_easily_trig_gu.mp3,मला खूप पटकन राग येतोय,"आई, तुमचं शरीर आता खूप adjust करतंय… थोडं थांबून हळूहळू श्वास घेतल्याने बरं वाटू शकतं 🌿",irritated_easily_ma.mp3,एक easy calming exercise करून बघूया का?,irritated_easily_trig_ma.mp3,ઝડપથી ગુસ્સો કેમ આવે છે?,તમારું શરીર એડજસ્ટ થઈ રહ્યું છે. ધીમે ધીમે શ્વાસ લેવાનો પ્રયત્ન કરો મા.,Tamaru body adjust thai rahyu chhe. Dhime dhime shvas levano prayas karo ma.,irritated_easily_gu.mp3,એક easy calming exercise કરીને જોઈએ?,Ek easy calming exercise kari ne joiye?,irritated_easily_trig_gu.mp3
overwhelmed_feeling,I feel overwhelmed,pregnancy can feel overwhelming sometimes. Take some rest and don’t worry too much.a,9.mp3,Shall I help you plan your day simply?,9.mp3,எனக்கு ரொம்ப overwhelmedஆ feel ஆகுது.,"pregnancyல சில நேரம் இப்படி feel ஆகலாம். கொஞ்சம் rest எடுங்க, அதிகம் கவலைப்படாதீங்க.",9.mp3,உங்க நாளை simple ஆ plan பண்ண நான் help பண்ணட்டுமா?,overwhelmed_feeling_trig_ta.mp3,मुझे बहुत overwhelmed feel हो रहा है,"मम्मा, कभी-कभी pregnancy बहुत overwhelming लग सकती है… थोड़ा आराम करो और खुद पर इतना pressure मत डालो 🤍",overwhelmed_feeling_hi.mp3,क्या मैं आपका दिन थोड़ा simple तरीके से plan करने में help करूँ?,overwhelmed_feeling_trig_gu.mp3,मला खूप overwhelmed वाटतंय,"आई, कधी कधी pregnancy खूप overwhelming वाटू शकते… थोडा आराम करा आणि स्वतःवर इतका pressure टाकू नका 🤍",overwhelmed_feeling_ma.mp3,तुमचा दिवस simple पद्धतीने plan करायला मी help करू का?,overwhelmed_feeling_trig_ma.mp3,મને બહુ overwhelmed કેમ લાગે છે?,"pregnancy માં ક્યારેક આવું feel થવું સામાન્ય છે. થોડો આરામ લો, વધારે ચિંતા ન કરો.","Pregnancy ma kyarek aavu feel thavu samanya chhe. Thodo aaram lo, vadhu chinta na karo.",overwhelmed_feeling_gu.mp3,તમારો દિવસ simple રીતે plan કરવામાં હું help કરું?,Tamaro divas simple rite plan karvama hu help karu?,overwhelmed_feeling_trig_gu.mp3
not_happy,I am not feeling happy,"It’s okay not to feel happy all the time, mommy… your feelings matter. Let’s find small things that comfort you.",10.mp3,Want to try something that lifts your mood?,10.mp3,நா சந்தோஷமா இல்ல,எப்போதும் சந்தோஷமா இருக்க வேண்டிய அவசியம் இல்லை அம்மா… உங்க feelings முக்கியம். சின்ன சின்ன comfort பண்ற விஷயங்கள் try பண்ணலாம்.,10.mp3,மனசுக்கு கொஞ்சம் நல்லா feel ஆக ஏதாவது try பண்ணலாமா?,not_happy_trig_ta.mp3,मुझे खुशी महसूस नहीं हो रही,"मम्मा, हर समय खुश महसूस करना ज़रूरी नहीं है… आपकी feelings important हैं। छोटी-छोटी comforting चीज़ें मदद कर सकती हैं 💕",not_happy_hi.mp3,Mood थोड़ा better feel करने के लिए कुछ try करें?,not_happy_trig_gu.mp3,मला आनंदी वाटत नाही,"आई, सतत आनंदी वाटणं गरजेचं नाही… तुमच्या feelings खूप महत्त्वाच्या आहेत. छोट्या comforting गोष्टी मदत करू शकतात 💕",not_happy_ma.mp3,मन थोडं better feel व्हावं म्हणून काही try करूया का?,not_happy_trig_ma.mp3,હું ખુશ નથી,હંમેશા ખુશ રહેવું જરૂરી નથી મા… તમારી લાગણીઓ મહત્વની છે. નાની નાની comfort આપતી વસ્તુઓ try કરી શકો.,Hamesha khush rehvu jaruri nathi ma… tamari laganio mahatvni chhe. Nani nani comfort aapti babato try kari shako.,not_happy_gu.mp3,મન થોડું better feel થાય એ માટે કંઈ try કરીએ?,Man thodu better feel thay e mate kai try kariye?,not_happy_trig_gu.mp3
