Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby Response (eng voiceover),Next Trigger Question (Baby Voice),Next trigger Eng Voiceovers,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil Voiceover),Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
pregnancy_travel,Can I travel during pregnancy?,"mommy, short and comfortable travel is usually okay, but it depends on your pregnancy stage and health.",1.mp3,"mommy, shall I tell you safe travel tips for us?",1.mp3,pregnancy time ல travel பண்ணலாமா?,"அம்மா, சின்ன தூரமும் சௌகரியமான பயணமும் பொதுவாக பரவாயில்லை. ஆனால் pregnancy எந்த stageல இருக்கீங்க, உடல்நிலை எப்படி இருக்குனு பார்த்து doctor சொல்லுவாங்க.",1.mp3,"மம்மி, நம்ம இருவருக்கும் safe travel tips சொல்லட்டுமா?",pregnancy_travel_trig_ta.mp3,क्या मैं pregnancy में travel कर सकती हूँ?,"मम्मा, छोटा और comfortable travel usually ठीक होता है… लेकिन ये आपकी health और pregnancy stage पर depend करता है 🚗",pregnancy_travel_hi.mp3,"मम्मी, क्या मैं हमारे लिए safe travel tips बता दूँ?",pregnancy_travel_trig_hi.mp3,pregnancy मध्ये travel करू शकते का?,"आई, छोटा आणि comfortable travel सामान्यतः ठीक असतं… पण ते तुमच्या health आणि pregnancy stage वर depend करतं 🚗",pregnancy_travel_ma.mp3,"आई, मी आपल्या दोघांसाठी safe travel tips सांगू का?",pregnancy_travel_trig_ma.mp3,pregnancy time માં travel કરી શકાય છે?,"મા, નાની distance અને આરામદાયક travel સામાન્ય રીતે ઠીક છે. પણ pregnancy કયા stageમાં છે અને તમારી health કેવી છે એ જોઈને doctor જ સાચું કહેશે.","Ma, nani distance ane aaramdayak travel samany rite thik chhe. Pan pregnancy kaya stage ma chhe ane tamari health kevi chhe ae joi ne doctor j sachu kaheshe.",pregnancy_travel_gu.mp3,"મમ્મી, શું હું આપણા માટે safe travel tips કહી દઉં?","Mummy, shu hu aapna mate safe travel tips kahi dau?",pregnancy_travel_trig_gu.mp3
climb_stairs,Can I climb stairs?,"mommy, if your doctor says everything is normal, climbing stairs slowly is usually fine.",2.mp3,"mommy, would you like some simple safety tips?",2.mp3,மாடிப்படி ஏறலாமா?,"அம்மா, doctor எல்லாம் normalனு சொன்னா மெதுவாக மாடிப்படி ஏறுவது பரவாயில்லை.",2.mp3,"மம்மி, சில simple safety tips வேண்டுமா?",climb_stairs_trig_ta.mp3,क्या मैं सीढ़ियाँ चढ़ सकती हूँ?,"मम्मा, अगर doctor ने सब normal बताया है, तो धीरे-धीरे stairs चढ़ना usually safe होता है 🤍",climb_stairs_hi.mp3,"मम्मी, क्या तुम्हें कुछ simple safety tips चाहिए?",climb_stairs_trig_hi.mp3,मी जिने चढू शकते का?,"आई, जर doctor ने सगळं normal सांगितलं असेल, तर हळूहळू जिने चढणं सामान्यतः safe असतं 🤍",climb_stairs_ma.mp3,"आई, तुला काही simple safety tips हवेत का?",climb_stairs_trig_ma.mp3,માટે ચડવું/ઉતરવું (માટે પગથિયા) કરી શકાય છે?,"મા, doctor normal કહે તો ધીમે ધીમે સીડીઓ ચડવું ચાલે છે.","Ma, doctor normal kahe to dhime dhime seedhi chadvu chale chhe.",climb_stairs_gu.mp3,"મમ્મી, શું તને થોડા simple safety tips જોઈએ છે?","Mummy, shu tane thoda simple safety tips joie chhe?",climb_stairs_trig_gu.mp3
walking_benefits,Is walking good during pregnancy?,"Yes mommy, gentle walking helps your body stay active and supports a healthy pregnancy.",3.mp3,"mommy, shall we plan a small daily walk together?",3.mp3,pregnancyல walking நல்லதா?,"ஆம் அம்மா, லேசான walking body activeஆ இருக்கவும் pregnancy நல்லா போகவும் உதவும்.",3.mp3,"மம்மி, சேர்ந்து ஒரு சின்ன daily walk plan பண்ணலாமா?",walking_benefits_trig_ta.mp3,क्या walking pregnancy में अच्छी है?,"हाँ मम्मा, हल्की walking आपके शरीर को active रखती है और healthy pregnancy में मदद करती है 👣",walking_benefits_hi.mp3,"मम्मी, मम्मी, क्या हम साथ में छोटा daily walk प्लान करें?",walking_benefits_trig_hi.mp3,pregnancy मध्ये walking चांगली आहे का?,"हो आई, हलकी walking तुमचं शरीर active ठेवते आणि healthy pregnancy साठी मदत करते 👣",walking_benefits_ma.mp3,"आई, आपण दोघं मिळून छोटा daily walk plan करू का?",walking_benefits_trig_ma.mp3,pregnancy માં walking સારી છે?,"હા મા, હળવું walking કરવું શરીર active રાખે છે અને pregnancy માટે સારું છે.","Ha ma, halvu walking karvu sharir active rakhe chhe ane pregnancy mate saaru chhe.",walking_benefits_gu.mp3,"મમ્મી, શું આપણે મળીને નાનો daily walk plan કરીએ?","Mummy, shu aapde maline nano daily walk plan kariye?",walking_benefits_trig_gu.mp3
sleep_position,How should I sleep during pregnancy?,"mommy, sleeping on your side, especially the left side, is usually more comfortable and safe.",4.mp3,"mommy, shall I share comfy sleep tips for us?",4.mp3,pregnancyல எப்படி தூங்கணும்?,"அம்மா, பக்கவாட்டில், குறிப்பாக இடது பக்கம் திரும்பி தூங்குவது சௌகரியமாகவும் பாதுகாப்பாகவும் இருக்கும்.",4.mp3,"மம்மி, நம்முக்கு comfy sleep tips சொல்லட்டுமா?",sleep_position_trig_ta.mp3,pregnancy में कैसे सोना चाहिए?,"मम्मा, side में सोना, खासकर left side, ज़्यादा comfortable और safe माना जाता है 😴",sleep_position_hi.mp3,"मम्मी, क्या मैं हमारे लिए comfy sleep tips शेयर करूँ?",sleep_position_trig_hi.mp3,pregnancy मध्ये कसं झोपायला हवं?,"आई, बाजूला झोपणं, विशेषतः left side ला, जास्त comfortable आणि safe मानलं जातं 😴",sleep_position_ma.mp3,"आई, मी आपल्यासाठी comfy sleep tips सांगू का?",sleep_position_trig_ma.mp3,pregnancy માં કેવી રીતે સૂવું?,"મા, બાજુ પર, ખાસ કરીને ડાબી બાજુ સૂવું વધુ આરામદાયક અને safe હોય છે.","Ma, baju par, khas kari ne daabi baju sutu vadhu aaramdayak ane safe hoy chhe.",sleep_position_gu.mp3,"મમ્મી, શું હું આપણા માટે comfy sleep tips કહું?","Mummy, shu hu aapna mate comfy sleep tips kahu?",sleep_position_trig_gu.mp3
heavy_lifting,Can I lift heavy things?,"mommy, it’s better to avoid lifting heavy things because it can strain your body.",5.mp3,"mommy, would you like to know what activities to avoid?",5.mp3,கனமான பொருள் தூக்கலாமா?,"அம்மா, கனமான பொருட்கள் தூக்காமல் இருப்பது நல்லது. அது bodyக்கு அழுத்தம் தரலாம்.",5.mp3,"மம்மி, எந்த வேலைகளை தவிர்க்கணும்னு தெரிஞ்சுக்க வேண்டுமா?",heavy_lifting_trig_ta.mp3,क्या मैं भारी चीज़ें उठा सकती हूँ?,"मम्मा, heavy चीज़ें उठाने से शरीर पर strain आ सकता है… इसलिए avoid करना बेहतर है 🥺",heavy_lifting_hi.mp3,"मम्मी, क्या तुम्हें पता करना है कि कौन-से काम avoid करने चाहिए?",heavy_lifting_trig_hi.mp3,मी जड वस्तू उचलू शकते का?,"आई, जड वस्तू उचलल्याने शरीरावर strain येऊ शकतो… म्हणून टाळणं चांगलं 🥺",heavy_lifting_ma.mp3,"आई, कोणती कामं avoid करायची ते तुला जाणून घ्यायचं आहे का?",heavy_lifting_trig_ma.mp3,ભારે વસ્તુ ઉચકી શકાય છે?,"મા, ભારે વસ્તુઓ ઉચકવી નહીં એ સારું છે. એ શરીર પર દબાણ લાવે છે.","Ma, bhare vastu uchkavi nahi ae saaru chhe. Ae sharir par dabaan lave chhe.",heavy_lifting_gu.mp3,"મમ્મી, કયા કામો avoid કરવા જોઈએ એ જાણવું છે?","Mummy, kaya kaam avoid karva joie e janvu chhe?",heavy_lifting_trig_gu.mp3
safe_exercise,Is exercise safe during pregnancy?,"mommy, light exercise like walking or simple stretches can be safe, but always follow your doctor’s advice.",6.mp3,"mommy, shall I suggest pregnancy-safe exercises?",6.mp3,pregnancyல exercise செய்யலாமா?,"அம்மா, walking அல்லது லேசான stretching போன்ற exercise பரவாயில்லை. ஆனா doctor adviceப்படி செய்வது நல்லது.",6.mp3,"மம்மி, pregnancy-safe exercises சொல்லட்டுமா?",safe_exercise_trig_ta.mp3,क्या pregnancy में exercise safe है?,"मम्मा, हल्की exercise जैसे walking या simple stretches safe हो सकते हैं… लेकिन doctor की advice ज़रूर follow करना 💛",safe_exercise_hi.mp3,"मम्मी, क्या मैं pregnancy-safe exercises बता दूँ?",safe_exercise_trig_hi.mp3,pregnancy मध्ये exercise safe आहे का?,"आई, हलका exercise जसं walking किंवा simple stretches safe असू शकतात… पण doctor ची advice नक्की follow करा 💛",safe_exercise_ma.mp3,"आई, मी pregnancy-safe exercises सांगू का?",safe_exercise_trig_ma.mp3,pregnancy માં exercise કરી શકાય છે?,"મા, walking અથવા હળવું stretching જેવી exercise ચાલે છે. પણ doctorની સલાહ પ્રમાણે કરવું સારું છે.","Ma, walking athva halvu stretching jevi exercise chale chhe. Pan doctor ni salah pramane karvu saaru chhe.",safe_exercise_gu.mp3,"મમ્મી, શું હું pregnancy-safe exercises કહું?","Mummy, shu hu pregnancy-safe exercises kahu?",safe_exercise_trig_gu.mp3
continue_work,Can I continue working?,"mommy, if you feel well and your doctor agrees, you can continue working with proper rest and care.",7.mp3,"mommy, shall I share some work-life balance tips for us?",7.mp3,pregnancyல வேலைக்கு போகலாமா?,"அம்மா, உடம்பு நன்றாக இருந்தாலும் doctor okay சொன்னாலும், ஓய்வுடன் வேலைக்கு போகலாம்.",7.mp3,"மம்மி, work-life balance tips share பண்ணலாமா?",continue_work_trig_ta.mp3,क्या मैं काम पर जाना continue कर सकती हूँ?,"मम्मा, अगर आपको ठीक लग रहा है और doctor agree करते हैं, तो proper rest के साथ काम continue कर सकती हो 💼",continue_work_hi.mp3,"मम्मी, क्या मैं work-life balance के tips शेयर करूँ?",continue_work_trig_hi.mp3,pregnancy मध्ये कामावर जाऊ शकते का?,"आई, जर तुम्हाला ठीक वाटत असेल आणि doctor agree असतील, तर proper rest घेऊन काम continue करू शकता 💼",continue_work_ma.mp3,"आई, work-life balance चे tips share करू का?",continue_work_trig_ma.mp3,pregnancy માં કામ પર જઈ શકાય છે?,"મા, શરીર સારું હોય અને doctor OK કહે તો થોડું કામ કરીને પણ જઈ શકાય છે.","Ma, sharir saaru hoy ane doctor OK kahe to thodu kaam kari ne pan jai shakai chhe.",continue_work_gu.mp3,"મમ્મી, શું હું work-life balance ના tips share કરું?","Mummy, shu hu work-life balance na tips share karu?",continue_work_trig_gu.mp3
mobile_usage,Is it okay to use mobile phones often?,"mommy, using your phone normally is okay, but too much screen time can make you tired.",8.mp3,"mommy, shall we take a little screen break together?",8.mp3,mobile அதிகம் use பண்ணலாமா?,"அம்மா, சாதாரணமாக mobile use பண்ணுவது பரவாயில்லை. ஆனால் அதிக screen time சோர்வை தரலாம்.",8.mp3,"மம்மி, கொஞ்ச நேரம் screen break எடுக்கலாமா?",mobile_usage_trig_ta.mp3,क्या मैं mobile ज़्यादा use कर सकती हूँ?,"मम्मा, normal mobile use ठीक है… लेकिन बहुत ज़्यादा screen time आपको tired कर सकता है 📱",mobile_usage_hi.mp3,"मम्मी, क्या हम थोड़ी देर screen break लें?",mobile_usage_trig_hi.mp3,mobile जास्त वापरू शकते का?,"आई, normal mobile वापरणं ठीक आहे… पण खूप जास्त screen time तुम्हाला tired करू शकतो 📱",mobile_usage_ma.mp3,"आई, आपण थोडा screen break घेऊ का?",mobile_usage_trig_ma.mp3,mobile વધારે use કરી શકાય છે?,"મા, સામાન્ય રીતે mobile use કરવું ઠીક છે. પણ વધારે screen time થાક લાવે છે.","Ma, samany rite mobile use karvu thik chhe. Pan vadhu screen time thaak lave chhe.",mobile_usage_gu.mp3,"મમ્મી, શું આપણે થોડો screen break લઈએ?","Mummy, shu aapde thodo screen break laiye?",mobile_usage_trig_gu.mp3
sitting_long_hours,Can I sit for long hours?,"mommy, sitting too long can make you uncomfortable. Small breaks and movement help a lot.",9.mp3,"mommy, shall I remind you to stretch a little?",9.mp3,நீண்ட நேரம் உட்கார்ந்து இருக்கலாமா?,"அம்மா, நீண்ட நேரம் உட்கார்ந்தா சிரமமாக இருக்கும். நடுவில் கொஞ்சம் எழுந்து நடப்பது நல்லது.",9.mp3,"மம்மி, கொஞ்சம் stretch பண்ண நினைவூட்டட்டுமா?",sitting_long_hours_trig_ta.mp3,क्या मैं लंबे समय तक बैठ सकती हूँ?,"मम्मा, बहुत देर तक बैठने से discomfort हो सकता है… बीच-बीच में थोड़ा चलना मदद करेगा 🤍",sitting_long_hours_hi.mp3,"मम्मी, क्या मैं तुम्हें थोड़ा stretch करने की याद दिलाऊँ?",sitting_long_hours_trig_hi.mp3,मी खूप वेळ बसून राहू शकते का?,"आई, खूप वेळ बसून राहिल्याने discomfort होऊ शकतो… मध्ये मध्ये थोडं चालणं मदत करेल 🤍",sitting_long_hours_ma.mp3,"आई, तुला थोडं stretch करायला आठवण करून देऊ का?",sitting_long_hours_trig_ma.mp3,લાંબા સમય સુધી બેસી રહી શકાય છે?,"મા, લાંબા સમય સુધી બેસી રહેવું મુશ્કેલ બની શકે છે. વચ્ચે વચ્ચે ઊભા થઈને થોડું ચાલવું સારું છે.","Ma, lamba samay sudhi besi rehvu mushkil bani shake chhe. Vache vache ubha thai ne thodu chalvu saaru chhe.",sitting_long_hours_gu.mp3,"મમ્મી, શું હું તને થોડું stretch કરવાનું યાદ અપાવું?","Mummy, shu hu tane thodu stretch karvanu yaad apavu?",sitting_long_hours_trig_gu.mp3
pregnancy_fasting,Can I fast during pregnancy?,"mommy, fasting may affect your energy and baby’s growth, so it’s best to ask your doctor first.",10.mp3,"mommy, would you like safer food options during fasting days?",10.mp3,pregnancyல fasting இருக்கலாமா?,"அம்மா, fasting உங்க energyக்கும் baby வளர்ச்சிக்கும் பாதிப்பு தரலாம். அதனால் doctor கிட்ட கேட்டுப் பார்ப்பது நல்லது.",10.mp3,"மம்மி, fasting days-ல safe food options சொல்லட்டுமா?",pregnancy_fasting_trig_ta.mp3,क्या मैं pregnancy में fasting कर सकती हूँ?,"मम्मा, fasting आपकी energy और मेरी growth को affect कर सकता है… इसलिए पहले doctor से पूछना बेहतर है 🌿",pregnancy_fasting_hi.mp3,"मम्मी, क्या तुम्हें fasting days के लिए safe food options चाहिए?",pregnancy_fasting_trig_hi.mp3,pregnancy मध्ये fasting करू शकते का?,"आई, fasting मुळे तुमची energy आणि माझी growth प्रभावित होऊ शकते… म्हणून आधी doctor ना विचारणं चांगलं 🌿",pregnancy_fasting_ma.mp3,"आई, fasting days साठी safe food options सांगू का?",pregnancy_fasting_trig_ma.mp3,pregnancy માં fasting રાખી શકાય છે?,"મા, fasting રાખવાથી energy અને babyની growth પર અસર પડી શકે છે. એટલે doctorને પૂછવું સારું છે.","Ma, fasting rakhvathi energy ane baby ni growth par asar padi shake chhe. Etle doctor ne puchvu saaru chhe.",pregnancy_fasting_gu.mp3,"મમ્મી, fasting days માટે safe food options કહું?","Mummy, fasting days mate safe food options kahu?",pregnancy_fasting_trig_gu.mp3
pregnancy_food_avoid,What are the foods to be avoided during pregnancy? ,"Some foods may not be safe during pregnancy, so it’s best to avoid raw or undercooked food and eat healthy, safe meals, mommy.",pregnancy_food_avoid_en.mp3,Is this food safe to eat during pregnancy?,pregnancy_food_avoid_trig_en.mp3,என்ன உணவு சாப்பிடக்கூடாது?,"கர்ப்ப காலத்துல சில உணவுகள் safe இல்லாம இருக்கலாம், அதனால raw அல்லது நன்றாக வேகவைக்காத உணவுகளை தவிர்த்து, ஆரோக்கியமான சாப்பாடு சாப்பிடணும், mommy.",pregnancy_food_avoid_trig_en.mp3,கர்ப்ப காலத்துல இந்த சாப்பாடு சாப்பிடலாமா?,pregnancy_food_avoid_trig_ta.mp3,Pregnancy में कौन-कौन से foods avoid करने चाहिए?,"Pregnancy में कुछ foods safe नहीं होते, इसलिए raw या अधपका खाना avoid करना चाहिए और healthy, safe meals लेना चाहिए, mommy.",pregnancy_food_avoid_hi.mp3,क्या यह खाना pregnancy में safe है?,pregnancy_food_avoid_trig_hi.mp3,Pregnancy मध्ये कोणते foods avoid करायला पाहिजेत?,"Pregnancy मध्ये काही foods safe नसू शकतात, म्हणून raw किंवा नीट न शिजवलेले अन्न टाळून healthy, safe जेवण घ्यावं लागेल, mommy.",pregnancy_food_avoid_ma.mp3,गर्भधारणेत हे अन्न खाणं safe आहे का?,pregnancy_food_avoid_trig_ma.mp3,કયા ખોરાક ખાવા નહીં જોઈએ?,"pregnancy દરમિયાન કેટલાક ખોરાક safe ન હોઈ શકે, એટલે raw અથવા સારી રીતે ન રાંધેલા ખોરાક ટાળવા અને હેલ્ધી ખાવું, મા.","Pregnancy darmiyan ketlak khorak safe na hoi shake, etle raw athva sari rite na randhela khorak talva ane healthy khavu, ma.",pregnancy_food_avoid_gu.mp3,ગર્ભાવસ્થામાં આ ખોરાક ખાવું safe છે?,Garbha avastha ma aa khorak khavu safe chhe?,pregnancy_food_avoid_trig_gu.mp3
pregnancy_housework,Is it safe to do household work during pregnancy?,"Light household work is okay, mom, but rest is important because tiredness comes easily.",pregnancy_housework_en.mp3,Is it safe to do household work during pregnancy?,pregnancy_housework_trig_en.mp3,"வீட்டு வேலை செய்யலாமா, safe-ஆ இருக்குமா?","லைட் வீட்டு வேலை செய்யலாம், mom, ஆனா சோர்வு சீக்கிரம் வர்றதால rest ரொம்ப முக்கியம்.",pregnancy_housework_trig_en.mp3,கர்ப்ப காலத்துல வீட்டு வேலை செய்யலாமா?,pregnancy_housework_trig_ta.mp3,Pregnancy में घर का काम करना safe है क्या?,"हल्का household work ठीक है, mom, लेकिन जल्दी थकान लगती है इसलिए rest बहुत जरूरी है।",pregnancy_housework_hi.mp3,क्या pregnancy में घर का काम करना safe है?,pregnancy_housework_trig_hi.mp3,Pregnancy मध्ये घरकाम करणं safe आहे का?,"हलकं घरकाम चालतं, mom, पण लवकर थकवा येतो म्हणून rest खूप महत्त्वाचा आहे.",pregnancy_housework_ma.mp3,गर्भधारणेत घरकाम करणं safe आहे का?,pregnancy_housework_trig_ma.mp3,"ઘરના કામ કરી શકાય છે, તે safe છે?","હળવું ઘરકામ કરી શકાય છે મા, પણ થાક ઝડપથી આવે છે એટલે આરામ બહુ જરૂરી છે.","Halvu gharkam kari shakai chhe ma, pan thaak jadpi aave chhe etle aaram bahu jaruri chhe.",pregnancy_housework_gu.mp3,ગર્ભાવસ્થામાં ઘરકામ કરવું safe છે?,Garbha avastha ma ghar kaam karvu safe chhe?,pregnancy_housework_trig_gu.mp3
pregnancy_sun_exposure,Can I go out in the sun during pregnancy?,"A little sun is fine, mommy, but long exposure should be avoided to prevent overheating and fatigue.",pregnancy_sun_exposure_en.mp3,How much sun exposure is safe during pregnancy?,pregnancy_sun_exposure_trig_en.mp3,வெயிலுக்கு போலாமா?,"கொஞ்சம் வெயிலுக்கு போகலாம், mommy, ஆனா நீண்ட நேரம் இருக்கக்கூடாது, அப்போ உடம்பு சூடாகி சோர்வு வரும்.",pregnancy_sun_exposure_trig_en.mp3,கர்ப்ப காலத்துல எவ்வளவு வெயிலில் இருக்கலாம்?,pregnancy_sun_exposure_trig_ta.mp3,Pregnancy में धूप में बाहर जाना ठीक है क्या?,"थोड़ी धूप लेना ठीक है, mommy, लेकिन बहुत देर तक नहीं रहना चाहिए वरना body गर्म होकर थक सकती है।",pregnancy_sun_exposure_hi.mp3,Pregnancy में कितना धूप लेना safe है?,pregnancy_sun_exposure_trig_hi.mp3,Pregnancy मध्ये उन्हात बाहेर जाणं ठीक आहे का?,"थोडा उन्हात जाणं ठीक आहे, mommy, पण जास्त वेळ थांबू नये नाहीतर body गरम होऊन थकवा येऊ शकतो.",pregnancy_sun_exposure_ma.mp3,गर्भधारणेत किती वेळ ऊन्हात बसणं safe आहे?,pregnancy_sun_exposure_trig_ma.mp3,ગરમીમાં બહાર જઈ શકાય છે?,"થોડું વેઈલમાં જઈ શકાય છે મા, પણ લાંબો સમય નહીં, નહીં તો ગરમીથી થાક લાગી શકે છે.","Thodu wel ma jai shakai chhe ma, pan lamba samay nahi, nahi to garmi thi thaak lagi shake.",pregnancy_sun_exposure_gu.mp3,ગર્ભાવસ્થામાં કેટલો સમય ધુપમાં રહેવું safe છે?,Garbha avastha ma ketlo samay dhoop ma rehvu safe chhe?,pregnancy_sun_exposure_trig_gu.mp3
