key,Category,Use Case / Focus Area,Sample Questions
pregnancy_basics ,Pregnancy Basics,Early awareness & understanding,Am I really pregnant?What symptoms are normal?Why am I feeling tired?Is spotting normal?How is due date calculated?What is LMP?
physical_changes_and_symptoms,Physical Changes & Symptoms,Managing body changes & discomfort,Why am I having nausea?Is daily vomiting okay?Why do I feel dizzy?Is back pain normal?What causes swelling?When should I worry?
nutrition_diet,Nutrition & Diet,Food guidance & safety,What should I eat daily?Which foods to avoid?Can I drink coffee or tea?How much water is enough?Do I need supplements?Is outside food safe?
baby_growth_development,Baby Growth & Development,Emotional connection & awareness,How is my baby growing?Can my baby hear me?When will I feel movements?Is development normal?What affects growth?
medical_care_anc_visits,Medical Care & ANC Visits,Doctor visits & compliance,When is my next ANC visit?What tests are needed?Why are tests important?What should I ask my doctor?What if I miss a visit?
lab_tests_reports,Lab Tests & Reports,Understanding medical data,What does this report mean?Are my results normal?Why blood tests?When are scans needed?Which reports should I track?
emotional_mental_health,Emotional & Mental Health,Emotional stability & reassurance,Why do I feel anxious?Are mood swings normal?Why am I feeling low?How to manage stress?Is crying often okay?
lifestyle_daily_activities,Lifestyle & Daily Activities,Daily routine decisions,Can I travel?Is exercise safe?How much rest is needed?Can I lift weight?Best sleeping position?
risk_warning_signs  ,Risk & Warning Signs,Safety & emergency awareness,When should I see a doctor immediately?What symptoms are dangerous?What is high-risk pregnancy?How to know something is wrong?
special_cases_miscarriage,Special Cases – Miscarriage,Sensitive recovery guidance,Why did this happen?Can I try again?What precautions next time?
special_cases_twins,Special Cases – Twins,Personalized pregnancy care,How do I know if it’s twins?Is care different?Will I need more checkups?
delivery_preparation  ,Delivery Preparation,Pre-delivery readiness,How to prepare for delivery?Signs of labor?What to pack for hospital?Normal vs C-section?
postnatal_preparation,Postnatal Preparation,Continuity beyond pregnancy,How to care for baby after birth?Breastfeeding guidance?Vaccination schedule?Mother recovery tips?
app_feature_usage,App & Technology Usage,Product usability,How to upload reports?How does wearable help?What is baby voice feature?How to track health here?
